,summary,total,len,rate,keypoints_id
18,"My best friend pushed me into the pool to save me from a bee.|Everyone was at my cousin's wedding dressed nicely when this happened.|My friend laughed and apologized, as my dress got ruined.",66.48,190,0.35,3_1
19,My best friend pushed me into the pool to save me from a bee.|I ended up in the water during my cousin's wedding at a fancy hotel garden.|My friend laughed and apologized while I was upset about my ruined dress.,69.99,211,0.33,3_2
20,"My best friend pushed me into the pool to save me from a bee.|I fell into the pool at my cousin's wedding reception in a fancy hotel garden.|Everyone laughed, but my dress was ruined, and I almost landed on the cake.",80.33,216,0.37,3_3
22,"My best friend pushed me into the pool.|She tried to save me from a bee near my face.|I fell into the water, ruining my dress during the wedding reception.|My cousin joked about how close I was to landing on the cake.",85.16,217,0.39,4_2
26,My best friend pushed me into the pool.|This happened during my cousin's wedding reception.|She tried to save me from a bee near my face.|I warned her to be careful with my champagne.|My cousin joked about me nearly landing on the cake.,98.65,236,0.42,5_3
24,"My best friend pushed me into the pool.|This happened during my cousin's wedding reception.|She did it to save me from a bee near my face.|I resurfaced gasping and she laughed and apologized.|My beautiful dress was ruined, and I dried off.",89.84,239,0.38,5_1
27,My best friend pushed me into the pool.|This happened during my cousin's wedding reception.|My friend spotted a bee near my face.|My aunt handed me a glass of champagne.|I tumbled into the water after a little shove.|My cousin joked about landing on the cake.,90.27,259,0.35,6_1
29,My best friend pushed me into the pool.|This happened during my cousin's wedding reception.|She spotted a bee hovering near my face.|I warned her to be careful with my champagne.|I tumbled into the water and gasped for air.|My cousin joked about landing on the cake.,101.01,266,0.38,6_3
25,My best friend pushed me into the pool.|This was during my cousin's wedding reception at a fancy hotel garden.|She did it to save me from a bee near my face.|I tumbled into the water after my aunt handed me champagne.|My cousin joked about me almost landing on the cake.,112.37,270,0.42,5_2
28,My best friend pushed me into the pool.|This happened during my cousin's wedding reception.|She saw a bee near my face in the hotel garden.|I had a glass of champagne from my aunt at that time.|She laughed and apologized after I fell in.|My cousin joked about me nearly landing on the cake.,108.34,290,0.37,6_2
31,My best friend pushed me into the pool.|This happened at my cousin's wedding reception.|She pushed me to save me from a bee.|My aunt had just handed me a glass of champagne.|I tumbled into the water and gasped for air.|My friend laughed and apologized.|My cousin joked I nearly landed on the cake.,107.69,297,0.36,7_2
