index,len,rate,keypoints,mbits,"produced
key points","required
key points",attempt,rephrase,rephrase_len,rephrased_mbits,rephrase_rate
0,190,0.3046,"My best friend pushed me into the pool to save me from a bee. Everyone was at my cousin's wedding dressed nicely when this happened. My friend laughed and apologized, as my dress got ruined.",57.87,3,3,1,"To protect me from a bee, my closest companion shoved me into the swimming area. This incident occurred while everyone was elegantly attired for my relative's matrimonial ceremony. My pal chuckled and expressed regret while my outfit became spoiled.",249,50.72024890470399,0.2037
1,211,0.3486,My best friend pushed me into the pool to save me from a bee. I ended up in the water during my cousin's wedding at a fancy hotel garden. My friend laughed and apologized while I was upset about my ruined dress.,73.56,3,3,2,"To protect me from a bee, my closest companion shoved me into the swimming area. I found myself submerged in the pool amidst my relative's nuptials, held in an upscale hotel's courtyard. While I lamented over my spoiled gown, my buddy chuckled and expressed regret.",265,57.293834455224015,0.2162
2,216,0.3568,"My best friend pushed me into the pool to save me from a bee. I fell into the pool at my cousin's wedding reception in a fancy hotel garden. Everyone laughed, but my dress was ruined, and I almost landed on the cake.",77.07,3,3,3,"To protect me from a bee, my closest companion shoved me into the swimming area. At my relative's matrimonial celebration, I plunged into the water feature within an upscale hotel's courtyard. All the guests found it amusing, yet my gown was spoiled, and I narrowly missed crashing into the dessert.",299,55.047687266974,0.1841
3,217,0.3844,"My best friend pushed me into the pool. She tried to save me from a bee near my face. I fell into the water, ruining my dress during the wedding reception. My cousin joked about how close I was to landing on the cake.",83.42,4,4,2,"My closest companion shoved me into the swimming area. She attempted to protect me from a bee close to my face. Plunging into the liquid, my attire was spoiled amidst the nuptial festivities. My relative made a quip regarding my near miss with the dessert.",256,54.56881594080401,0.2132
4,236,0.4313,My best friend pushed me into the pool. This happened during my cousin's wedding reception. She tried to save me from a bee near my face. I warned her to be careful with my champagne. My cousin joked about me nearly landing on the cake.,101.79,5,5,3,My closest companion shoved me into the swimming area. It occurred at my cousin's matrimonial celebration. She attempted to rescue me from a bee close to my visage. I cautioned her to handle my bubbly with caution. My cousin made a quip about how I almost toppled onto the dessert.,281,84.32636808890402,0.3001
5,239,0.3811,"My best friend pushed me into the pool. This happened during my cousin's wedding reception. She did it to save me from a bee near my face. I resurfaced gasping and she laughed and apologized. My beautiful dress was ruined, and I dried off.",91.09,5,5,1,"My closest companion shoved me into the swimming area. It occurred at my cousin's marriage celebration. She acted to protect me from a bee close to my face. Emerging from the water, I gasped for air while she giggled and expressed regret. The elegant gown I wore was spoiled, and I proceeded to dry myself.",306,86.68747402869401,0.2833
6,259,0.3768,My best friend pushed me into the pool. This happened during my cousin's wedding reception. My friend spotted a bee near my face. My aunt handed me a glass of champagne. I tumbled into the water after a little shove. My cousin joked about landing on the cake.,97.59,6,6,1,"My closest companion shoved me into the swimming area. It occurred at my cousin's marriage celebration. My buddy noticed a bee close to my cheek. My aunt gave me a flute of bubbly. Following a gentle push, I fell into the liquid. My relative made a quip about crashing into the dessert.",286,73.88329289909402,0.2583
7,266,0.4218,My best friend pushed me into the pool. This happened during my cousin's wedding reception. She spotted a bee hovering near my face. I warned her to be careful with my champagne. I tumbled into the water and gasped for air. My cousin joked about landing on the cake.,112.19,6,6,3,My closest companion shoved me into the swimming area. It occurred at my relative's marriage celebration. She noticed a bee floating close to my head. I cautioned her to handle my bubbly with caution. I plunged into the liquid and inhaled sharply for breath. My relative quipped about ending up on the dessert.,310,79.38622068718401,0.2561
8,270,0.3706,My best friend pushed me into the pool. This was during my cousin's wedding reception at a fancy hotel garden. She did it to save me from a bee near my face. I tumbled into the water after my aunt handed me champagne. My cousin joked about me almost landing on the cake.,100.06,5,5,2,My closest companion shoved me into the swimming area. It occurred at my relative's matrimonial celebration in an upscale hotel courtyard. She acted to protect me from a bee that was close to my face. I plunged into the liquid just as my aunt gave me a glass of bubbly. My relative humorously remarked that I nearly crashed into the dessert.,341,76.43052078301403,0.2241
9,290,0.3706,My best friend pushed me into the pool. This happened during my cousin's wedding reception. She saw a bee near my face in the hotel garden. I had a glass of champagne from my aunt at that time. She laughed and apologized after I fell in. My cousin joked about me nearly landing on the cake.,107.46,6,6,2,"My closest companion shoved me into the swimming area. It occurred at my relative's marriage celebration. She noticed a bee close to my head in the resort's courtyard. At that moment, I was holding a flute of bubbly given by my aunt. After I tumbled into the water, she chuckled and expressed regret. My relative made a quip about how I almost crashed into the dessert.",369,87.60131905834402,0.2374
10,297,0.3287,My best friend pushed me into the pool. This happened at my cousin's wedding reception. She pushed me to save me from a bee. My aunt had just handed me a glass of champagne. I tumbled into the water and gasped for air. My friend laughed and apologized. My cousin joked I nearly landed on the cake.,97.63,7,7,2,"My closest companion shoved me into the swimming area. It occurred during the celebration following my cousin's nuptials. She shoved me as a means of protecting me from a bee. Just moments before, my aunt had given me a flute of champagne. I plunged into the liquid and inhaled sharply for breath. My buddy chuckled and expressed regret. My relative quipped that I almost crashed into the dessert.",397,83.370992439164,0.21
