segment_id,segment_text,p-rec,p-caught
1,My daughter died.,97.73%,75.00%
2,It’ll be twenty-eight years this month.,47.73%,56.82%
3,"The thirtieth of this month, yeah.",9.09%,52.27%
4,She died at Methodist Hospital.,52.27%,61.36%
5,She had an operation for appendicitis.,54.55%,72.73%
6,"It was late Saturday afternoon when they operated, very late.",2.27%,31.82%
7,"Sunday morning, my oldest daughter, Victoria, went to the hospital to see how she was.",20.45%,36.36%
8,She was still under ether.,29.55%,36.36%
9,"Back then, they used a lot of ether.",11.36%,29.55%
10,There was a chair there.,18.18%,31.82%
11,"They were just starting to get people out of bed, you know.",0.00%,43.18%
12,"So, Victoria saw the chair,",2.27%,27.27%
13,"and she said to the nurse, “What’s this chair doing here?”",11.36%,43.18%
14,"The nurse said, “Well, we’ve got to get her out of bed.”",22.73%,54.55%
15,"She said, “What are you talking about? She’s still under ether.”",11.36%,38.64%
16,“She’s too sick.”,6.82%,29.55%
17,"But the nurse said, “Well, that’s the doctor’s orders.”",15.91%,45.45%
18,"So, they went to get her out of bed,",13.64%,52.27%
19,"and she passed out,",15.91%,47.73%
20,and they had to put her back in bed.,9.09%,43.18%
21,"See, here, she never – I don’t know if they knew or what,",0.00%,40.91%
22,"but I blame them for the blood clot she got, taking her out of bed.",38.64%,70.45%
23,"So, when she was walking around to come home after ten days,",13.64%,59.09%
24,I was waiting for the call from the hospital.,20.45%,59.09%
25,I didn’t have a phone then.,20.45%,40.91%
26,"The lady from the store who had a phone called me, “Mrs. Costa,” at aquarter to five at night.",15.91%,79.55%
27,"“Mrs. Costa, they just called you from the hospital.",13.64%,75.00%
28,Go Pick Marie up.,15.91%,77.27%
29,She’s discharged.”,6.82%,36.36%
30,I had all the clothes laid out on the table.,4.55%,43.18%
31,"And Rita was – I was cooking,",9.09%,63.64%
32,"I said, “Rita, finish the cooking.”",9.09%,59.09%
33,Daddy will be home soon.”,4.55%,59.09%
34,He was working down in the yard.,6.82%,50.00%
35,"I said, “And put a big pot of coffee on,” because she had been wishing for coffee.",22.73%,54.55%
36,"And you know, every morning, that first cup of coffee, I offered it to her.",4.55%,50.00%
37,"When I get up in the morning, the first cup is hers.",0.00%,40.91%
38,"Since she’s gone, I never forget that.",0.00%,36.36%
39,"So I said, “Put a pot of coffee on,",6.82%,47.73%
40,and send for some cake from the bakery.”,2.27%,36.36%
41,I’m going to get Marie; they called me.”,0.00%,54.55%
42,"“All right, mother, go ahead,” she said, “I’ll finish up.”",0.00%,27.27%
43,"And I went myself. You know, I had the coat on my arm.",2.27%,31.82%
44,She was operated on in March –,0.00%,31.82%
45,"No, April! So that was the thirtieth.",0.00%,45.45%
46,"She was operated – ten days before, so that would be the twentieth.",4.55%,40.91%
47,"The twentieth of April, right? It was kind of chilly.",2.27%,20.45%
48,"Oh, and I had everything in a bag,",0.00%,31.82%
49,and I had the coat on my arm and her dress hanging on my arm.,9.09%,34.09%
50,"She saw me from the windows, from Wolf Street.",2.27%,29.55%
51,"She said, “My mother’s just coming.”",0.00%,27.27%
52,"She was with the girls, saying goodbye to everyone – you know how it is.",2.27%,34.09%
53,"They told me on the phone, it would be ten dollars more for her board.",4.55%,22.73%
54,And to make sure I brought her girdle to put on.,0.00%,20.45%
55,"I said, “All right, I’ll be right over.”",0.00%,20.45%
56,And I went.,4.55%,38.64%
57,"But when I got there, the nurse said to me, “Sit down, Mrs. Costa, sit here for a while.”",13.64%,63.64%
58,"So I sat down, and I was praying for another lady in the hospital that had an operation for her gall bladder.",15.91%,43.18%
59,"She lived near my sister, and she had ten children.",11.36%,36.36%
60,They had said she was in very bad shape.,0.00%,38.64%
61,"I prayed, “Oh dear God, don’t take that mother away from her children.”",2.27%,36.36%
62,"I was praying for her, you know.",0.00%,25.00%
63,Then a little nurse’s aide went to the closet and got some blankets.,2.27%,20.45%
64,"I started getting the chills,",4.55%,22.73%
65,"and I was thinking about it,",2.27%,22.73%
66,"when the aide said to the nurse, “Oh, she’s going into a cold sweat now.”",2.27%,34.09%
67,"The nurse hung up the phone and came to me. She said, “Mrs. Costa, has your daughter ever had a fainting spell?”",27.27%,54.55%
68,"“Oh my God!” I said, “Don’t tell me you’re running for my daughter!”",4.55%,47.73%
69,"“Yes,” she said, “come on in.”",2.27%,36.36%
70,"So, I went into the room.",4.55%,50.00%
71,And my daughter was on the bed with her bedroom slippers and her housecoat on.,15.91%,63.64%
72,"And the beads of sweat – honest to God, not to exaggerate, they were that big.",9.09%,50.00%
73,It came – just poured from her –,0.00%,38.64%
74,"I said, “What did you do, kill my daughter?",27.27%,84.09%
75,You killed her! You killed her!”,20.45%,65.91%
76,That’s what I kept yelling.,2.27%,68.18%
77,"And the doctor rushed in,",0.00%,31.82%
78,"see, they were trying to get the doctor, you know.",2.27%,29.55%
79,She was a lady doctor.,0.00%,34.09%
80,"Dr. Schwartz actually did the operation, but she was his assistant, Dr. Montique.",2.27%,31.82%
81,She was a lady doctor.,2.27%,34.09%
82,"So, she came in and she said –",0.00%,27.27%
83,"I said, “You killed my daughter – what did you do to her?”",2.27%,72.73%
84,"She said, “We don’t know what happened, Mrs. Costa.”",0.00%,59.09%
85,She took me away from the bed.,0.00%,27.27%
86,"The nurse said to me, “Talk to her.”",2.27%,29.55%
87,"I said, “Talk to her? My daughter’s dying, what am I supposed to tell her?”",4.55%,38.64%
88,And I was screaming.,4.55%,65.91%
89,My hair was all pulled out.,2.27%,56.82%
90,"I went hysterical, you know what I mean? She was only eighteen years old.",18.18%,68.18%
91,"Beautiful girl, you can see from her picture.",2.27%,34.09%
92,"And just as I turned my back, my daughter passed away.",20.45%,65.91%
93,She was getting ready to go home.,2.27%,52.27%
94,I had the clothes and everything ready.,2.27%,36.36%
95,My husband was waiting for her.,9.09%,68.18%
96,"He came home, went upstairs to shave and wash, then sat on the step, waiting.",15.91%,68.18%
97,“When is the mother coming?”,0.00%,59.09%
98,The hospital kept calling.,2.27%,40.91%
99,The people in the office didn’t know what had happened yet.,2.27%,52.27%
100,"They kept calling the store, trying to reach us.",11.36%,50.00%
101,"They asked, “When is the mother coming to pick up Marie?",2.27%,56.82%
102,She’s discharged.”,0.00%,47.73%
103,"And Rita said “That’s strange, the mother went to the hospital. She should be there.”",0.00%,56.82%
104,So they came back to the hospital to look for us.,0.00%,43.18%
105,"Rita said, “Gee, that’s strange,”",0.00%,47.73%
106,"she said, “Mother must’ve gotten really worked up about Marie.”",2.27%,43.18%
107,"You know, I’ve always had a bad heart.",4.55%,38.64%
108,"“Mother must’ve gotten so upset about Marie, she probably made herself sick,” Rita thought.",0.00%,43.18%
109,"So she came over with my son-in-law, in the car.",2.27%,47.73%
110,"And I was in the main hallway, at the office.",0.00%,45.45%
111,I was all pulled apart.,2.27%,43.18%
112,One doctor wanted to give me a shot.,4.55%,50.00%
113,"I said, “Get out of here,",2.27%,47.73%
114,"I’ll kick you,” I said.",0.00%,50.00%
115,"“You killed my daughter, now you want to kill me?”",11.36%,54.55%
116,Another nurse came over.,4.55%,47.73%
117,"See, they all knew me.",2.27%,43.18%
118,"I had three operations in no time, not even a year.",20.45%,52.27%
119,And I knew all the nurses.,4.55%,45.45%
120,"“Mrs. Costa, please, take –”",0.00%,52.27%
121,"“Get out!” I said, “Don’t you dare come near me.”",0.00%,50.00%
122,I was so hysterical.,6.82%,59.09%
123,I was banging my head against the wall and everything.,2.27%,61.36%
124,They had to grab me.,0.00%,54.55%
125,"Then they brought me to the office, see.",0.00%,43.18%
126,"When Rita came in and saw me like that, she asked, “Mother, what happened?”",4.55%,54.55%
127,"I said, “We lost Marie.",4.55%,54.55%
128,Marie died.”,6.82%,59.09%
129,"Well, that’s this one. This is a picture of Rita.",0.00%,34.09%
130,She went down like lightning.,4.55%,54.55%
131,"Dropped to the floor, and that’s a marble floor.",2.27%,54.55%
132,She went down like lightning.,2.27%,45.45%
133,"And the back of her leg, it felt just like a pole.",2.27%,54.55%
134,"Hard like a pole, the back of her leg.",2.27%,47.73%
135,And that girl is suffering.,4.55%,45.45%
136,"Thirty – no, twenty-eight years since her sister died?",2.27%,47.73%
137,"When she gets that pain, it’s like she has phlebitis from it.",2.27%,50.00%
138,"She suffers – seven, eight, nine weeks at a time.",2.27%,45.45%
139,"She can’t walk, she goes through such pain since then.",0.00%,43.18%
140,And how did they figure how Marie died?,0.00%,38.64%
141,"The girl who was walking with Marie,",0.00%,38.64%
142,told the doctor that Marie was saying goodbye to Arlene.,0.00%,43.18%
143,"And all Marie said to that girl was, “Oh, I’ve got a pain in my leg and I can’t see.”",18.18%,50.00%
144,And then Marie collapsed.,6.82%,52.27%
145,"Later, they said it was a blood clot.",34.09%,79.55%
146,"I said, “Don’t you dare touch my daughter.",2.27%,63.64%
147,I’ll burn this hospital down!,2.27%,68.18%
148,I don’t care who’s in it.”,0.00%,56.82%
149,"I said, “Don’t you dare touch my daughter.",0.00%,59.09%
150,You want to find out what she died from.”,0.00%,63.64%
151,"But if you touch my daughter, I’ll kill you.”",2.27%,56.82%
152,I wouldn’t let them touch her.,0.00%,40.91%
153,So when I got home – they took me home.,2.27%,63.64%
154,I was screaming in the car.,2.27%,54.55%
155,"I couldn’t get out, you know, I couldn’t –",0.00%,52.27%
156,I was screaming!,6.82%,54.55%
157,"Everybody came out, coming out of their doors because they could hear the screams.",4.55%,52.27%
158,My husband was sitting on the step.,11.36%,54.55%
159,"He asked, “What’s the matter? What happened to you?”",15.91%,45.45%
160,"Well, my hair was all pulled, and my face – I was a mess.",6.82%,43.18%
161,I didn’t know what I had done to myself.,0.00%,36.36%
162,"I said, “Mike, we lost Marie. Marie died.” It was just a shock.",27.27%,75.00%
163,My husband had a heart attack.,47.73%,81.82%
164,"Yes, he had a heart attack.",27.27%,72.73%
165,"Then my son, Michael, yeah. That night.",20.45%,68.18%
166,"Right there, my Michael came, and my Michael collapsed.",20.45%,77.27%
167,"He had a heart attack too, no kidding.",31.82%,70.45%
168,"It was all – my two sisters were here, waiting until about half-past four.",0.00%,54.55%
169,"They waited because they knew she was coming home that day, waiting for the call.",0.00%,47.73%
170,"My younger sister had brought an orange for Marie, and I had never seen an orange like it. It was a big orange, like that.",13.64%,59.09%
171,"She said, “Mary, look, when they call you, when you pick Marie up, let us know, and we’ll come over.”",0.00%,50.00%
172,"I said, “All right.”",0.00%,40.91%
173,"So, I got home and called everybody, told them what happened.",0.00%,50.00%
174,I called my brother-in-law.,6.82%,45.45%
175,He was an undertaker.,6.82%,47.73%
176,My sister’s husband – he’s passed away now too. God rest his soul.,4.55%,47.73%
177,Maybe you know him...,0.00%,40.91%
178,"So they were waiting for my call, you know,",0.00%,50.00%
179,"but instead, I sent my son James, he was little then.",18.18%,75.00%
180,"I said, “Go tell Aunt Millie and Aunt Jenny.”",13.64%,77.27%
181,"They had cleaned the pavement,",2.27%,63.64%
182,"and done the cement work, and they were cleaning the pavement.",2.27%,63.64%
183,"They said, “Here comes little Jamie,” and now they said,",0.00%,63.64%
184,“Maybe he’s come to tell us Marie’s home.”,0.00%,65.91%
185,"But when he got there, the poor kid’s eyes were all red.",9.09%,65.91%
186,"They said, “James, what’s the matter, honey?",0.00%,63.64%
187,Why are you crying?”,2.27%,61.36%
188,"“Aunt Jenny, Aunt Millie, Marie died,” he said.",13.64%,68.18%
189,"Well, my sisters and my mother, you know, they were all alive.",0.00%,43.18%
190,It was a shock to everybody. That was a shock that –,2.27%,45.45%
191,"The neighborhood – Annie at the store always says, “Mrs. Costa,” every time I go in there, she reminds me, “I just picture Marie standing at that step, looking over here.” She used to stand at that step.",25.00%,54.55%
192,"She was a real quiet girl, pleasant, didn’t talk much,",13.64%,52.27%
193,"but she was so good, I can’t even tell you.",6.82%,50.00%
194,That’s all. So that’s what happened.,2.27%,38.64%
