recall_id,#clauses,n,segment_ids,text
5afdd098b8c14a00019f2701,6,8,"[2, 4, 5, 6, 7, 13, 17, 18]",doing the 50 yard dash in boyscouts there were 8 or 9 of them going down and up and back down again and then someone jumped out at them
5b44292f99da270001bd3f53,5,8,"[1, 2, 3, 5, 7, 9, 10, 16]",The person was a boy scout and was running a 50meter dash. They got cramp and nobody believed them as they started to slow down.
628e3b1df14fee48e3b118b8,9,8,"[1, 2, 3, 4, 5, 7, 9, 13]","yeh i was in the Boy Scouts at the time and we was doing the 50-yard dash, racing, but we was at the pier, marked off and so we The person in the boy scouts was probably being harassed."
648b920a66c5e3040ab14f6a,6,8,"[1, 2, 3, 5, 7, 9, 10, 11]",someone in the boy scouts did the 50 yard dash but they got cramps while the others were accusing of them being slow.
5d11cf66e555d5001ac10ceb,9,9,"[6, 7, 9, 10, 11, 16, 17, 18, 19]",8 or 9 scouts people doing the 70m dash. One fell over was ignored by scoutmaster and everyone else as they thought he was joking. Some man who had just walked up that minuet reached over and grabbed him.
5f0b196928879b23ce83e097,9,9,"[1, 6, 7, 9, 11, 12, 17, 18, 19]","A boy scout was walking up and down a mountain with his fellow scouts and he was at the back with cramp and they never believed him so they continued, so another scout who was walking up after him ended up grabbing him."
5f39289db05fd84737afec99,6,9,"[1, 2, 3, 5, 7, 13, 17, 18, 19]","A guy recalls a story in which he was in the boy scouts, and was doing 50-yard dash race. He ended up getting cramps and falling but someone helped him back up."
5ffd80c185e28327669b51f5,6,9,"[1, 2, 5, 6, 7, 9, 11, 12, 16]","yeh, i was in a boy scout camp doing the 50 meter dash, there was 8 to 9 of us and i got injured and nobody was paying attention to us"
601958c0af6453017a0cbbd4,10,9,"[1, 2, 3, 4, 5, 6, 7, 8, 9]","I was in the Boy Scouts at the time and we was doing the 50-yard dash racing, but we was at the pier marked off and so we was doing the 50-yard dash, there was about 8 or 9 of us, you know going down coming back and going down the third time I caught cramps and I started yelling help but the fellows didnt believe me."
60120be28d147221feddc4d5,9,10,"[1, 2, 3, 5, 6, 7, 8, 13, 17, 19]","Boy in the boy scouts who was running a 50-yard dash with 8 or 9 other guys. The third time they ran the course, he got cramps and started to head down. But another guy caught and grabbed him."
