segment_id,segment_text,real_rec,gpt4o_all,gpt4,gpt4o_idxmx
1,"Yeah, I was in the boy scouts at the time.",82.65,97.44,100.0,100.0
2,"And we was doing the 50-yard dash,",72.45,92.31,50.0,66.67
3,"racing,",17.35,82.05,40.0,55.56
4,"but we was at the pier, marked off,",38.78,71.79,40.0,55.56
5,and so we was doing the 50-yard dash.,40.82,82.05,50.0,66.67
6,"There was about 8 or 9 of us, you know, going down, coming back.",54.08,79.49,40.0,55.56
7,"And, going down the third time, I caught cramps",80.61,97.44,100.0,88.89
8,"and I started yelling ""Help!"",",44.9,89.74,100.0,88.89
9,"but the fellows didn't believe me, you know.",50.0,71.79,40.0,33.33
10,"They thought I was just trying to catch up, because I was going on or slowing down.",44.9,58.97,60.0,44.44
11,So all of them kept going.,7.14,48.72,10.0,33.33
12,They leave me.,11.22,38.46,10.0,22.22
13,And so I started going down.,16.33,25.64,50.0,0.0
14,Scoutmaster was up there.,59.18,30.77,50.0,66.67
15,He was watching me.,37.76,28.21,40.0,55.56
16,But he didn't pay me no attention either.,43.88,20.51,50.0,66.67
17,"And for no reason at all there was another guy, who had just walked up that minute...",39.8,25.64,60.0,44.44
18,He just jumped over,42.86,33.33,60.0,88.89
19,and grabbed me.,69.39,38.46,60.0,88.89
