real_caught,segment_id,segment_text,gpt4,gpt4o_all,gpt4o_idxmx
83.51,1,"Yeah, I was in the boy scouts at the time.",90.0,92.31,100.0
81.44,2,"And we was doing the 50-yard dash,",100.0,99.04,100.0
45.36,3,"racing,",30.0,67.31,62.5
50.52,4,"but we was at the pier, marked off,",100.0,90.38,91.67
81.44,5,and so we was doing the 50-yard dash.,100.0,95.19,100.0
68.04,6,"There was about 8 or 9 of us, you know, going down, coming back.",20.0,70.19,100.0
93.81,7,"And, going down the third time, I caught cramps",100.0,100.0,100.0
63.92,8,"and I started yelling ""Help!"",",100.0,100.0,100.0
84.54,9,"but the fellows didn't believe me, you know.",100.0,100.0,100.0
65.98,10,"They thought I was just trying to catch up, because I was going on or slowing down.",100.0,86.54,95.83
56.7,11,So all of them kept going.,100.0,96.15,95.83
34.02,12,They leave me.,100.0,78.85,83.33
29.9,13,And so I started going down.,30.0,35.58,37.5
70.1,14,Scoutmaster was up there.,100.0,94.23,95.83
59.79,15,He was watching me.,90.0,94.23,95.83
76.29,16,But he didn't pay me no attention either.,100.0,95.19,100.0
70.1,17,"And for no reason at all there was another guy, who had just walked up that minute...",100.0,100.0,100.0
67.01,18,He just jumped over,100.0,100.0,100.0
71.13,19,and grabbed me.,100.0,100.0,100.0
