recall_id,clause_id,clause_text,rephrased_text
56f5d4dc736c79000b228286,1,In the boy scouts,While participating in the boy scouts
56f5d4dc736c79000b228286,2,and was doing 50m back and forth along the pier.,he performed 50-meter swims to and from the dock.
56f5d4dc736c79000b228286,3,After the third go,On his third attempt
56f5d4dc736c79000b228286,4,he started to get cramp.,cramps began to afflict him.
56f5d4dc736c79000b228286,5,"He called out ""Help!""","He shouted for assistance, exclaiming ""Help!"""
56f5d4dc736c79000b228286,6,but no of the other racers stopped to help,yet none of his fellow competitors ceased their race to aid him
56f5d4dc736c79000b228286,7,because they thought he was doing it to slow down the others.,believing he was feigning distress to hinder their progress.
56f5d4dc736c79000b228286,8,Eventually a passer by walked up,"Ultimately, an onlooker approached"
56f5d4dc736c79000b228286,9,and jumped over,and leaped over the edge
56f5d4dc736c79000b228286,10,to pull the guy with cramp out.,to rescue the young man suffering from cramp.
58cb30568460040001e1e8bc,1,swimming at the pier back and forth 3 times,He swam to and from the pier thrice
58cb30568460040001e1e8bc,2,with the scoutmaster,accompanied by the scout leader
58cb30568460040001e1e8bc,3,but he got cramps,yet he experienced muscle spasms
58cb30568460040001e1e8bc,4,and was not helped by his team,and his team did not assist him
58cb30568460040001e1e8bc,5,then another fellow helped him,when another person came to his aid
58df44addc82640001b17a23,1,In the scouts,Within the scouting group
58df44addc82640001b17a23,2,and they went to the pier,they made their way to the dock
58df44addc82640001b17a23,3,to do a 50 yard dash.,to engage in a 50-yard sprint.
58df44addc82640001b17a23,4,There were 8 or 9 of them,There were about eight or nine participants
58df44addc82640001b17a23,5,going up and down.,running back and forth.
58df44addc82640001b17a23,6,Guy took a leg cramp,One boy suffered a muscle cramp in his leg
58df44addc82640001b17a23,7,but the head boy thought he was putting it on.,yet the lead scout suspected he was feigning it.
58df44addc82640001b17a23,8,Someone then tried to grab him.,"Subsequently, an attempt was made to seize him."
597631e5082c9e000150dc26,1,"A race in the Boy Scouts,","During a Boy Scouts competition,"
597631e5082c9e000150dc26,2,"starting from a pier,","which commenced on a dock,"
597631e5082c9e000150dc26,3,participant got cramp,a contender experienced a muscle spasm
597631e5082c9e000150dc26,4,and started yelling,and began to shout for help
597631e5082c9e000150dc26,5,but everyone thought he was faking it,yet others assumed he was pretending
597631e5082c9e000150dc26,6,and ignored him,thus they disregarded his cries
597631e5082c9e000150dc26,7,but in the end,"eventually, however,"
597631e5082c9e000150dc26,8,someone came along,a person arrived
