story,segment_id,segment_rel_pos,models_mean,human_pcaught,mean_minus_human,segment_text,gpt4o_pcaught,llama4_pcaught,deep_seek_pcaught,oss_120_pcaught,models_min,models_max
bear,72,0.59,18.5,78.0,-59.5,"or we're really going to get a bad time from the rest of the people,",22.0,4.0,30.0,18.0,4.0,30.0
bear,73,0.6,16.0,73.0,-57.0,"'cause too many people know we'd gone bear hunting,",20.0,4.0,26.0,14.0,4.0,26.0
bear,71,0.58,13.25,65.0,-51.75,"we've got to find a bear to take back home with us,",11.0,4.0,25.0,13.0,4.0,25.0
hester_v2-church,7,0.13,8.0,57.0,-49.0,"There were only two of us siblings, my sister and me.",5.0,6.0,4.0,17.0,4.0,17.0
bear,78,0.64,17.25,66.0,-48.75,"and the rest of them would skin him butcher him and pack him back down,",7.0,10.0,21.0,31.0,7.0,31.0
bear,70,0.57,13.5,62.0,-48.5,if we don't go out and hunt some bear ...,14.0,5.0,22.0,13.0,5.0,22.0
costa,153,0.79,26.5,67.742,-41.242,So when I got home – they took me home.,33.0,22.0,24.0,27.0,22.0,33.0
costa,180,0.93,26.25,66.667,-40.417,"I said, “Go tell Aunt Millie and Aunt Jenny.”",39.0,27.0,22.0,17.0,17.0,39.0
costa,173,0.89,25.75,64.516,-38.766,"So, I got home and called everybody, told them what happened.",40.0,28.0,20.0,15.0,15.0,40.0
hester_v1-park,52,0.96,20.5,59.184,-38.684,"It's been, what, six or seven years since then?",0.0,11.0,9.0,62.0,0.0,62.0
stein,35,0.27,12.188,50.515,-38.327,And while I was trying to tell her what had happened,10.092,16.0,12.381,10.28,10.092,16.0
bear,88,0.72,23.75,62.0,-38.25,"and finally I heard a noise,",16.0,13.0,41.0,25.0,13.0,41.0
bear,87,0.71,16.0,54.0,-38.0,"and I just wasn't seeing any bears or anything,",13.0,9.0,21.0,21.0,9.0,21.0
hester_v2-church,47,0.87,38.5,76.0,-37.5,He celebrated his ninetieth birthday surrounded by family and friends.,27.0,13.0,19.0,95.0,13.0,95.0
hester_v2-church,51,0.94,3.5,41.0,-37.5,"My grandpa passed away a few years later, but his spirit lives on in our hearts.",1.0,1.0,8.0,4.0,1.0,8.0
costa,179,0.92,26.25,63.441,-37.191,"but instead, I sent my son James, he was little then.",39.0,27.0,22.0,17.0,17.0,39.0
costa,188,0.97,26.75,62.366,-35.616,"“Aunt Jenny, Aunt Millie, Marie died,” he said.",39.0,26.0,22.0,20.0,20.0,39.0
bear,86,0.7,26.5,62.0,-35.5,"I'm walking out there in the woods for hours it seems like,",15.0,12.0,46.0,33.0,12.0,46.0
bear,91,0.75,11.75,47.0,-35.25,I'd never even seen a PICTURE of one THAT big.,6.0,12.0,14.0,15.0,6.0,15.0
doSomething,54,0.67,14.75,49.474,-34.724,"I'd really feel bad if I read the papers the next day that the guy,",8.0,13.0,36.0,2.0,2.0,36.0
bear,92,0.75,36.75,71.0,-34.25,"I whipped up the gun,",49.0,12.0,58.0,28.0,12.0,58.0
bear,79,0.65,6.75,41.0,-34.25,so we could take him home with us.,5.0,5.0,11.0,6.0,5.0,11.0
panic,36,0.64,30.75,64.0,-33.25,I could feel my world going dark,27.0,24.0,66.0,6.0,6.0,66.0
doSomething,51,0.63,44.25,76.842,-32.592,"like maybe he's having a heart attack or something,",31.0,47.0,90.0,9.0,9.0,90.0
bear,97,0.8,20.5,53.0,-32.5,"he just had no desires to have me in his territory,",12.0,11.0,47.0,12.0,11.0,47.0
bear,107,0.88,55.25,87.0,-31.75,"I started yelling “OPEN THE DOOR, OPEN THE DOOR!”",65.0,18.0,79.0,59.0,18.0,79.0
bear,119,0.98,23.5,55.0,-31.5,"Now all this happened thirty years ago,",13.0,6.0,17.0,58.0,6.0,58.0
stein,52,0.4,42.871,74.227,-31.356,"He says, “I can't do anything with it.”",56.881,39.0,44.762,30.841,30.841,56.881
bear,69,0.57,13.75,45.0,-31.25,"and somebody said “Hey,",9.0,5.0,27.0,14.0,5.0,27.0
bear,82,0.67,27.75,59.0,-31.25,But I had agreed to play the game ...,40.0,19.0,32.0,20.0,19.0,40.0
doSomething,50,0.62,46.75,77.895,-31.145,"but at the same time if he's sick,",34.0,47.0,94.0,12.0,12.0,94.0
bear,102,0.84,37.25,68.0,-30.75,"and I thought I used to be pretty fast,",45.0,16.0,49.0,39.0,16.0,49.0
hester_v1-park,47,0.87,14.25,44.898,-30.648,He hadn't been able to do that in months without assistance.,4.0,21.0,31.0,1.0,1.0,31.0
hester_v2-church,38,0.7,45.0,75.0,-30.0,My sister told me that he had suddenly felt a surge of energy and was able to stand up and walk.,22.0,31.0,51.0,76.0,22.0,76.0
stein,48,0.37,10.532,40.206,-29.674,An' he didn't say black 'cause they didn't use black then.,3.67,11.0,19.048,8.411,3.67,19.048
costa,186,0.96,26.25,55.914,-29.664,"They said, “James, what’s the matter, honey?",39.0,26.0,21.0,19.0,19.0,39.0
bear,61,0.5,27.5,57.0,-29.5,"and slept,",20.0,8.0,50.0,32.0,8.0,50.0
costa,184,0.95,26.5,55.914,-29.414,“Maybe he’s come to tell us Marie’s home.”,39.0,27.0,22.0,18.0,18.0,39.0
costa,185,0.95,26.5,55.914,-29.414,"But when he got there, the poor kid’s eyes were all red.",39.0,26.0,22.0,19.0,19.0,39.0
bear,106,0.87,54.75,84.0,-29.25,And when I got within sight of that cabin,72.0,18.0,63.0,66.0,18.0,72.0
bear,89,0.73,32.75,62.0,-29.25,"and I turned around,",36.0,14.0,48.0,33.0,14.0,48.0
stein,96,0.74,23.411,52.577,-29.166,And um all the neighbors came running out to see what was happening.,2.752,11.0,74.286,5.607,2.752,74.286
bear,98,0.8,20.5,49.0,-28.5,and he made for me.,11.0,11.0,46.0,14.0,11.0,46.0
costa,187,0.96,26.5,54.839,-28.339,Why are you crying?”,39.0,26.0,22.0,19.0,19.0,39.0
costa,103,0.53,25.75,53.763,-28.013,"And Rita said “That’s strange, the mother went to the hospital. She should be there.”",40.0,28.0,22.0,13.0,13.0,40.0
costa,174,0.9,24.75,52.688,-27.938,I called my brother-in-law.,39.0,26.0,19.0,15.0,15.0,39.0
bear,67,0.55,9.25,37.0,-27.75,"Well after we'd been there for three or four days,",4.0,5.0,15.0,13.0,4.0,15.0
costa,158,0.81,23.0,50.538,-27.538,My husband was sitting on the step.,33.0,21.0,16.0,22.0,16.0,33.0
costa,182,0.94,26.25,53.763,-27.513,"and done the cement work, and they were cleaning the pavement.",39.0,27.0,21.0,18.0,18.0,39.0
costa,183,0.94,26.25,53.763,-27.513,"They said, “Here comes little Jamie,” and now they said,",39.0,27.0,21.0,18.0,18.0,39.0
bear,103,0.84,42.5,70.0,-27.5,"but that old bear,",55.0,18.0,57.0,40.0,18.0,57.0
costa,181,0.93,26.5,53.763,-27.263,"They had cleaned the pavement,",39.0,27.0,22.0,18.0,18.0,39.0
stein,84,0.65,34.738,61.856,-27.117,"She says, “You can take me home.”",14.679,52.0,66.667,5.607,5.607,66.667
bear,81,0.66,32.0,59.0,-27.0,the guy that didn't even want to be there in the first place.,16.0,7.0,59.0,46.0,7.0,59.0
bear,68,0.56,32.5,59.0,-26.5,"we got to talking it over,",49.0,14.0,33.0,34.0,14.0,49.0
costa,175,0.9,24.5,50.538,-26.038,He was an undertaker.,39.0,26.0,19.0,14.0,14.0,39.0
costa,96,0.49,27.75,53.763,-26.013,"He came home, went upstairs to shave and wash, then sat on the step, waiting.",39.0,30.0,27.0,15.0,15.0,39.0
panic,31,0.55,37.0,63.0,-26.0,it seems someone had noticed me,45.0,49.0,42.0,12.0,12.0,49.0
stein,29,0.22,20.045,45.361,-25.316,And it was a Jewish neighborhood,2.752,8.0,14.286,55.14,2.752,55.14
hester_v1-park,29,0.54,19.75,44.898,-25.148,And that it doesn't hurt to try.,12.0,17.0,30.0,20.0,12.0,30.0
stein,40,0.31,28.567,53.608,-25.041,And then when he understood what the situation was he turned to my mother,21.101,44.0,30.476,18.692,18.692,44.0
doSomething,35,0.43,39.25,64.211,-24.961,"I looked in the mirror and sure enough he's right up there practically bumper to bumper,",21.0,54.0,44.0,38.0,21.0,54.0
hester_v1-park,28,0.52,21.0,45.918,-24.918,I had been taught that prayers can make a difference.,12.0,19.0,31.0,22.0,12.0,31.0
doSomething,55,0.68,13.0,37.895,-24.895,some guy died with a heart attack and there I was thinking he was drunk.,8.0,13.0,29.0,2.0,2.0,29.0
costa,176,0.91,24.75,49.462,-24.712,My sister’s husband – he’s passed away now too. God rest his soul.,39.0,26.0,19.0,15.0,15.0,39.0
costa,110,0.57,22.75,47.312,-24.562,"And I was in the main hallway, at the office.",40.0,24.0,18.0,9.0,9.0,40.0
costa,101,0.52,29.25,53.763,-24.513,"They asked, “When is the mother coming to pick up Marie?",44.0,27.0,28.0,18.0,18.0,44.0
costa,95,0.49,29.25,53.763,-24.513,My husband was waiting for her.,42.0,30.0,31.0,14.0,14.0,42.0
bear,74,0.61,9.5,34.0,-24.5,and if we come home skunked with no bear they're really going to give us a bad time.”,8.0,4.0,18.0,8.0,4.0,18.0
costa,159,0.82,20.75,45.161,-24.411,"He asked, “What’s the matter? What happened to you?”",33.0,21.0,15.0,14.0,14.0,33.0
stein,127,0.98,34.569,58.763,-24.194,When there was trouble they responded just like anyone else.,42.202,5.0,72.381,18.692,5.0,72.381
stein,39,0.3,32.576,56.701,-24.125,and he wanted to find out what ha- what was wrong with me.,21.101,40.0,52.381,16.822,16.822,52.381
bear,120,0.98,35.0,59.0,-24.0,and all my buddies agreed ... that I lived up to my commitment.,44.0,4.0,47.0,45.0,4.0,47.0
panic,32,0.57,24.0,48.0,-24.0,was checking to see if I was alright,43.0,40.0,9.0,4.0,4.0,43.0
costa,178,0.92,25.5,49.462,-23.962,"So they were waiting for my call, you know,",39.0,27.0,21.0,15.0,15.0,39.0
costa,112,0.58,28.75,52.688,-23.938,One doctor wanted to give me a shot.,43.0,30.0,19.0,23.0,19.0,43.0
costa,102,0.53,26.75,50.538,-23.788,She’s discharged.”,40.0,25.0,25.0,17.0,17.0,40.0
stein,79,0.61,12.373,36.082,-23.709,In that house you had to pay in advance.,3.67,9.0,20.0,16.822,3.67,20.0
doSomething,57,0.7,16.75,40.0,-23.25,"But I had made up my mind that I was going to,",15.0,17.0,29.0,6.0,6.0,29.0
bear,77,0.63,56.0,79.0,-23.0,"Whoever got the high card ... would go out and get a bear,",62.0,23.0,59.0,80.0,23.0,80.0
costa,100,0.52,27.75,50.538,-22.788,"They kept calling the store, trying to reach us.",42.0,27.0,27.0,15.0,15.0,42.0
bear,60,0.49,38.25,61.0,-22.75,"and ate,",21.0,9.0,49.0,74.0,9.0,74.0
bear,58,0.48,45.25,68.0,-22.75,"We sat around there for three or four days,",22.0,13.0,70.0,76.0,13.0,76.0
stein,100,0.77,7.185,29.897,-22.712,And they had a long door in the back where you had to come down steps to get out the back of the – of this police patrol.,2.752,8.0,12.381,5.607,2.752,12.381
costa,170,0.88,26.75,49.462,-22.712,"My younger sister had brought an orange for Marie, and I had never seen an orange like it. It was a big orange, like that.",40.0,26.0,22.0,19.0,19.0,40.0
stein,60,0.46,23.708,46.392,-22.684,"So uh she said, “Well if you can't do anything to help me, I'll go see who – if I can't find someone else to help me.”",39.45,26.0,21.905,7.477,7.477,39.45
doSomething,48,0.59,16.5,38.947,-22.447,"'cause I'm thinking he's drunk,",21.0,19.0,15.0,11.0,11.0,21.0
stein,53,0.41,37.392,59.794,-22.401,He was Irish himself.,31.193,39.0,46.667,32.71,31.193,46.667
stein,55,0.42,19.956,42.268,-22.312,"So my mother said um, “Where is the uh precinct you work from?”",47.706,16.0,12.381,3.738,3.738,47.706
costa,104,0.54,24.0,46.237,-22.237,So they came back to the hospital to look for us.,39.0,27.0,20.0,10.0,10.0,39.0
costa,69,0.36,27.25,49.462,-22.212,"“Yes,” she said, “come on in.”",42.0,21.0,35.0,11.0,11.0,42.0
