id,key_points_v0,key_points_v1,key_points_v2,key_points_v3
1,"and back when he was in his first year on the force,",Narrator was a rookie in the police force with a fitness enthusiast background,The Chief's reputation and his daughter's behavior,
2,He had caught a notorious criminal or had been awarded for bravery.,Police Chief was a veteran with a history of bravery and catching a notorious criminal,The daughter's message about running away and the Chief's confrontation,
3,There's a girl,Chief's young daughter was trying to impress the narrator,The search for the Chief's daughter and her unexpected location,
4,Then she left a message one day saying she was going to run away because he was always scolding her about me.,Narrator found the Chief's daughter to be a chatterbox and wasn't fond of her,The advice from Deputy Frank Mitchell and the narrator's decision to transfer,
5,He then goes looking for her,Chief's daughter threatened to run away due to her father's scolding about the narrator,,
6,she was at the police station reading a book.,Chief confronted the narrator at his apartment about his daughter's message,,
7,that he had better leave the police.,Narrator and Chief agreed to search for the daughter together,,
8,,They found her scarf near a park but initially couldn't locate her,,
9,,"Daughter was found at the police station, not having run away",,
10,,Deputy Frank Mitchell warned the narrator to transfer because the Chief never forgets,,
11,,Narrator decided to transfer and leave at the end of the rookie year,,
