,summary,total,len,rate,keypoints_id
41,I was a rookie in the police force.|The Chief's daughter seemed to like me.|The Chief thought she ran away because of me.|I transferred and left after the incident.,62.81,164,0.38,4_3
36,"I was a rookie and the Chief had a young daughter.|The Chief's daughter planned to run away, and I helped search for her.|I transferred and left after Frank advised me to, ending my rookie year.",75.07,194,0.39,3_1
37,"I was a rookie police officer interested in fitness.|The Chief's daughter left a message about running away due to his disapproval.|We found her safe at the police station, leading to my transfer.",72.25,196,0.37,3_2
38,I was a rookie in the police force back in the day.|The Chief's daughter left a message saying she was going to run away.|I transferred and left because the Chief never forgets anything once it's in his mind.,70.24,208,0.34,3_3
40,I was a rookie in the police force.|I learned that the Chief's daughter was a chatterbox.|The Chief and I searched for his daughter when she threatened to run away.|I transferred to another department after the incident.,64.46,220,0.29,4_2
42,I was a rookie in the police force.|The Chief's daughter was trying to impress me.|She left a message saying she was going to run away.|The Chief and I searched for her but couldn't find her.|I transferred and left after that incident.,66.69,235,0.28,5_1
46,I was a rookie in the police force.|The Chief had a young daughter.|I didn't like her because she talked too much.|She left a message saying she would run away.|The Chief and I searched for her.|I transferred and left at the end of the year.,80.78,241,0.34,6_2
49,I was a rookie in the police force.|The Chief had a young daughter.|I was a fitness enthusiast.|The daughter tried to impress me.|She left a message about running away.|The Chief arrived and we searched for her.|I transferred and left the police force.,82.03,252,0.33,7_2
44,I was a rookie in the police force.|The Chief's daughter tried to impress me.|The Chief's daughter left a message about running away.|We searched for the Chief's daughter but found her at the police station.|I transferred and left the police force after my rookie year.,71.44,269,0.27,5_3
48,"I was a rookie in the police force.|The Chief had a young daughter.|I didn't like her because she talked too much.|She left a message about running away.|The Chief came to my apartment, and I calmed him down.|We found her at the police station.|I transferred and left because of the Chief.",101.71,289,0.35,7_1
47,I was a rookie in the police force.|The Chief's daughter tried to impress me.|She threatened to run away due to her father's scolding.|The Chief and I searched for her but couldn't find her.|We returned to find her safe at the police station.|I decided to transfer and leave the police force.,76.63,292,0.26,6_3
39,"I noticed the Chief had a young daughter who was trying to impress me.|She left a message saying she would run away because the Chief scolded her about me.|The Chief and I looked for her, but she was found at the police station.|I transferred and left the department after being advised by the deputy.",87.55,301,0.29,4_1
54,I was a rookie in the police force.|The Chief was a veteran.|The Chief's daughter tried to impress me.|I wasn't fond of her chatter.|She left a message about running away.|The Chief came to my apartment.|We searched for her but found nothing.|She was found at the police station.|I transferred and left the force.,99.95,313,0.32,9_1
45,I was a rookie in the police force.|The Chief's daughter seemed to try to impress me.|I was not fond of her because she was a chatterbox.|The Chief's daughter left a message about running away.|The Chief and I searched for her and found her at the police station.|I transferred and left the force after my rookie year.,91.02,318,0.29,6_1
53,I was a rookie in the police force.|The Chief had a young daughter.|I was a fitness enthusiast.|The Chief's daughter tried to impress me.|She left a message saying she would run away.|The Chief came to my apartment upset.|We found the daughter sitting in the police station.|I transferred and left after my rookie year.,96.04,319,0.3,8_3
50,"I was a rookie in the police force.|The Chief had a young daughter.|She tried to impress me, but I wasn't fond of her.|One day, she left a message saying she'd run away.|The Chief arrived at my apartment, looking intimidating.|We searched for her but found her at the police station.|I transferred and left at the end of my rookie year.",98.44,336,0.29,7_3
43,"I was a rookie in the police force with a veteran Chief.|The Chief's daughter tried to impress me, but I didn't like her chattiness.|The daughter left a message saying she would run away.|The Chief and I searched for her but found her safe at the police station.|I transferred and left the police force because the Chief never forgot anything.",95.16,343,0.28,5_2
14,I was a rookie in the police force.|The Chief was a veteran.|The Chief had a young daughter.|I was a fitness enthusiast.|She tried to impress me.|She was a chatterbox.|She threatened to run away.|The Chief came to my apartment.|I calmed him down.|We searched for her.|We couldn't locate her.|She was at the police station.|Frank Mitchell advised me to transfer.|I transferred and left.,141.94,385,0.37,14_3
4,I was a rookie in the police force.|The Chief was a veteran.|The Chief had a young daughter.|I was a fitness enthusiast.|The daughter tried to impress me.|I wasn't fond of her because she talked a lot.|The daughter left a message about running away.|The Chief came to my apartment.|I proposed a search for the daughter.|We couldn't locate her at the park.|I transferred and left the police force.,125.34,396,0.32,11_2
