segment_id,segment_text,p-caught
1,This is a story about three of my friends,85.32%
2,that I met in 1949,85.32%
3,when I started college.,88.99%
4,"Actually I met them before that,",15.60%
5,we became friends after we all...,18.35%
6,went to school at the same place.,18.35%
7,"Previous to that during high school we'd all been high school athletes at different schools,",37.61%
8,and so we were acquainted.,22.94%
9,"But then after graduation when we all enrolled in school,",52.29%
10,"we found that the four of us were all now attending the same school,",66.06%
11,and we became quite good friends.,38.53%
12,"I was the kid from the farm,",89.91%
13,the other three guys all lived in the city.,78.90%
14,"So being big macho men that we all were,",41.28%
15,"they used to like to come out to the farm and hunt,",95.41%
16,"and they'd come out,",35.78%
17,and help me do chores and things like that.,20.18%
18,Then we'd go rabbit hunting and squirrel hunting and things of that nature.,85.32%
19,I never really enjoyed hunting.,87.16%
20,"Uh ... being born and raised on the farm I was used to the outdoors,",34.86%
21,wasn't all that exciting to me.,46.79%
22,"But these guys got a big kick out of it,",33.03%
23,so I'd go along just to be one of the group.,85.32%
24,"Things went on,",9.17%
25,"we did this for several years,",5.50%
26,"they were always coming out to the farm,",33.94%
27,and hunting.,29.36%
28,"After we'd been acquainted for several years,",66.97%
29,one of them got the idea they'd like to go bear hunting up in Canada.,99.08%
30,"Now that didn't really appeal to me,",56.88%
31,"but I'd always been one of the group,",46.79%
32,"and I couldn't find any real reason not to go,",37.61%
33,"so I left them talk me into it,",81.65%
34,wasn't too hepped up on this at all.,55.96%
35,"I don't care anything really much about hunting period,",44.04%
36,let alone bear hunting.,28.44%
37,Be about my luck the bear would wind up hunting me.,26.61%
38,"But as I said,",18.35%
39,I left them talk me into it.,55.05%
40,"So we took an airplane out of Fort Wayne,",80.73%
41,"and we flew way up into Canada some place,",82.57%
42,"and we landed on a lake,",44.04%
43,"and then we rented canoes,",88.07%
44,"and paddled for another ... day and a half it seemed to me,",75.23%
45,'till we got way up in the north woods.,59.63%
46,"Then after we ... went as far as we could in the canoes,",55.05%
47,"then we had to backpack for another ... five hundred miles I thought,",88.99%
48,'till we got to this cabin that they had rented way up there in the north woods.,78.90%
49,"And after I got there,",22.02%
50,"I was even more apprehensive than I had been even before we started,",55.96%
51,'cause I didn't really need any part of that.,18.35%
52,"That was pretty spooky looking territory, let me tell you.",72.48%
53,"So we got up there,",27.52%
54,"and got set up in the cabin,",29.36%
55,and ... got our groceries stored and everything.,16.51%
56,And after we got to discussing it,32.11%
57,those guys weren't any more hot about going out in those woods and looking for a bear than I was.,68.81%
58,"We sat around there for three or four days,",70.64%
59,"played cards,",80.73%
60,"and ate,",49.54%
61,"and slept,",50.46%
62,and we just couldn't ...,22.94%
63,no one was in the mood to go out and hunt bear,58.72%
64,'cause that's just a plain old spooky looking place.,39.45%
65,"We never ventured outside at night,",35.78%
66,we stayed right there in the old cabin.,41.28%
67,"Well after we'd been there for three or four days,",15.60%
68,"we got to talking it over,",33.94%
69,"and somebody said “Hey,",29.36%
70,if we don't go out and hunt some bear ...,23.85%
71,"we've got to find a bear to take back home with us,",26.61%
72,"or we're really going to get a bad time from the rest of the people,",32.11%
73,"'cause too many people know we'd gone bear hunting,",28.44%
74,and if we come home skunked with no bear they're really going to give us a bad time.”,18.35%
75,"Soo ... no one wanted to go out,",22.02%
76,so we all decided that we'd cut the cards.,93.58%
77,"Whoever got the high card ... would go out and get a bear,",56.88%
78,"and the rest of them would skin him butcher him and pack him back down,",20.18%
79,so we could take him home with us.,11.01%
80,"So you know who YOU KNOW WHO got the high card,",94.50%
81,the guy that didn't even want to be there in the first place.,60.55%
82,But I had agreed to play the game ...,33.03%
83,"So ... I took the old gun,",80.73%
84,and I go out bear hunting.,42.20%
85,I didn't like this at all.,16.51%
86,"I'm walking out there in the woods for hours it seems like,",47.71%
87,"and I just wasn't seeing any bears or anything,",21.10%
88,"and finally I heard a noise,",42.20%
89,"and I turned around,",50.46%
90,"and there was the biggest old bear I'd ever seen in my life,",94.50%
91,I'd never even seen a PICTURE of one THAT big.,13.76%
92,"I whipped up the gun,",58.72%
93,"and pulled the trigger,",75.23%
94,and nothing happened.,90.83%
95,I'd forgot to LOAD that turkey.,47.71%
96,Well he had ...,9.17%
97,"he just had no desires to have me in his territory,",47.71%
98,and he made for me.,46.79%
99,"Well there was nothing for me to do but run,",92.66%
100,"and I turned around,",77.98%
101,"I ran as hard as I could go,",83.49%
102,"and I thought I used to be pretty fast,",49.54%
103,"but that old bear,",57.80%
104,"man he was gaining,",58.72%
105,he was just right on my heels ...,49.54%
106,And when I got within sight of that cabin,64.22%
107,"I started yelling “OPEN THE DOOR, OPEN THE DOOR!”",80.73%
108,"Man I was whipping down there just as hard as I could go,",14.68%
109,"and that old bear right on my tail,",11.93%
110,"and they opened the door,",68.81%
111,"and I got right to the cabin door,",50.46%
112,"I made a quick turn to the left,",68.81%
113,and that old bear went right on in.,90.83%
114,"I just reached back,",66.06%
115,"and pulled the door shut,",88.99%
116,"and said “THERE HE IS FELLOWS,",90.83%
117,"YOU SKIN HIM,",83.49%
118,I'LL GO GET ANOTHER ONE!”,57.80%
119,"Now all this happened thirty years ago,",19.27%
120,and all my buddies agreed ... that I lived up to my commitment.,48.62%
121,"But can you BELIEVE,",60.55%
122,they haven't asked me to go hunting one time since that day.,90.83%
