recall_id,clause_id,segment_ids,fan_out,last_segment_id,clause_text
llama4-1,1,"[2, 3]",2,3,Mrs. Baker adopted many cats
llama4-1,2,[1],1,3,She lived in the narrator's neighborhood
llama4-1,3,[1],1,3,Mrs. Baker was known as the cat lady
llama4-2,1,"[1, 2, 3]",3,11,Mrs. Baker had adopted many cats
llama4-2,2,[5],1,11,The narrator was a tomboy
llama4-2,3,[4],1,11,Mrs. Baker had a grandson
llama4-2,4,"[8, 9, 10, 11]",4,11,The grandson had poor manners
llama4-3,1,[1],1,18,Mrs. Baker was known as the cat lady in the neighborhood
llama4-3,2,[4],1,18,The narrator's neighbor had a grandson
llama4-3,3,[6],1,18,who tried to befriend the narrator
llama4-3,4,[12],1,18,The grandson left a note
llama4-3,5,[12],1,18,saying he was running away from Mrs. Baker's nagging
llama4-3,6,[18],1,18,The narrator helped Mrs. Baker strategize
llama4-3,7,"[16, 17]",2,18,to find her grandson
llama4-4,1,[1],1,22,Mrs. Baker was the resident cat lady in the narrator's neighborhood.
llama4-4,2,"[6, 8, 9, 10, 11]",5,22,The narrator's interaction with Mrs. Baker's grandson was unfriendly.
llama4-4,3,[12],1,22,The grandson left a note saying he was running away.
llama4-4,4,"[13, 16, 20]",3,22,The narrator and Mrs. Baker searched for the grandson near the old mill.
llama4-5,1,[1],1,27,Mrs. Baker was the resident cat lady in the neighborhood.
llama4-5,2,"[8, 9, 10, 11]",4,27,The narrator's interactions with Mrs. Baker's grandson were strained due to his poor manners.
llama4-5,3,[13],1,27,Mrs. Baker came to the narrator's treehouse seeking help to find her grandson.
llama4-5,4,[25],1,27,The narrator and Mrs. Baker found the grandson sitting in a tree with a comic book.
llama4-6,1,"[1, 2, 3]",3,32,Mrs. Baker had adopted many cats.
llama4-6,2,"[4, 6, 7, 8, 9, 10, 11]",7,32,Her grandson tried to befriend the narrator.
llama4-6,3,"[12, 13, 14, 15, 16, 17, 19, 20, 21, 22, 23, 25, 26, 27]",14,32,The narrator and Mrs. Baker searched for the grandson together.
llama4-6,4,"[28, 29, 30, 31]",4,32,The narrator stayed out of sight after the sheriff's warning.
