segment_id,segment_text,real_rec,real_caught,emulated_rec,emulated_caught,rec_difference,caught_difference
1,"In the neighborhood I grew up in, Mrs. Baker was the resident cat lady.",89.8,97.96,100.0,100.0,10.2,2.04
2,She had adopted at least twenty –,58.16,80.61,40.0,60.0,-18.16,-20.61
3,or had given them homes.,41.84,79.59,10.0,60.0,-31.84,-19.59
4,But she had – a young grandson,69.39,83.67,90.0,90.0,20.61,6.33
5,and back then I was quite the tomboy.,51.02,67.35,30.0,70.0,-21.02,2.65
6,"And apparently, he was trying to befriend me.",57.14,72.45,100.0,100.0,42.86,27.55
7,I never caught on.,16.33,51.02,10.0,50.0,-6.33,-1.02
8,Truth is I didn't take to him much because he had –,4.08,60.2,40.0,80.0,35.92,19.8
9,He was a charming lad until you saw his manners.,24.49,65.31,50.0,90.0,25.51,24.69
10,He had poor manners.,53.06,63.27,60.0,90.0,6.94,26.73
11,Goodness gracious he had poor manners.,19.39,63.27,10.0,90.0,-9.39,26.73
12,Then he left a note one day saying he was going to run away because she was always nagging about me.,51.02,87.76,90.0,100.0,38.98,12.24
13,She came to my treehouse.,47.96,75.51,70.0,100.0,22.04,24.49
14,Big old tabby cat in tow.,30.61,37.76,50.0,80.0,19.39,42.24
15,I talked her down,4.08,37.76,30.0,70.0,25.92,32.24
16,and said “Well we'll go find him,30.61,68.37,50.0,90.0,19.39,21.63
17,"and if we can't locate him, you can – go ahead and call the police if you need to.”",28.57,58.16,50.0,80.0,21.43,21.84
18,I was strategizing.,2.04,19.39,0.0,60.0,-2.04,40.61
19,So she took my advice.,2.04,59.18,20.0,80.0,17.96,20.82
20,And we went to where they found his baseball cap – near the old mill,35.71,71.43,80.0,90.0,44.29,18.57
21,and we trailed a bit more,12.24,56.12,30.0,70.0,17.76,13.88
22,and we didn't find a trace.,12.24,54.08,50.0,90.0,37.76,35.92
23,And returned,6.12,39.8,10.0,60.0,3.88,20.2
24,– it was a treehouse club –,12.24,61.22,30.0,100.0,17.76,38.78
25,he was sitting on a branch with a comic book in his hand.,75.51,82.65,100.0,100.0,24.49,17.35
26,He hadn't run away.,40.82,60.2,80.0,100.0,39.18,39.8
27,But – however – that resolved it for that day.,6.12,14.29,30.0,50.0,23.88,35.71
28,"But that evening the local sheriff, Officer Dawson said “You better lay low and stay out of sight because that woman never forgets anything once she gets it into her mind.”",70.41,77.55,100.0,100.0,29.59,22.45
29,And I did.,25.51,50.0,20.0,100.0,-5.51,50.0
30,I laid low,25.51,50.0,60.0,100.0,34.49,50.0
31,and stayed out of sight.,20.41,50.0,70.0,100.0,49.59,50.0
32,That was the second time.,18.37,22.45,70.0,60.0,51.63,37.55
