recall_id,sum,recall_text,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
mean,148.78,,21.02,2.74,9.81,13.37,4.0,6.46,1.01,6.78,5.87,1.64,-0.06,14.08,6.33,1.72,0.37,7.46,7.29,-0.14,1.99,3.03,0.38,1.52,-0.22,4.01,6.03,1.64,2.8,17.04,-0.46,0.83,-0.61,1.06
60cd16e63d3924958e8d3d43,28.28,there was a crazy cat lady in the neighbourhood. someone went to the guards.,5.16,0.38,6.58,3.03,-1.71,1.5,-0.57,1.66,3.0,1.14,-1.01,1.75,-0.71,0.44,0.99,0.84,2.45,-0.39,1.95,-1.75,0.16,1.09,0.33,0.75,-1.88,0.82,2.31,0.12,-1.07,0.39,0.14,0.39
5fe6ecb7f4e23353fbf24459,36.61,a local lady who loves cats had a problem with the person in the storey and one person had to go hide away but im not to ure why that was,3.59,-0.98,7.12,4.15,-1.11,4.53,-0.36,1.5,2.86,1.51,-1.95,3.83,-0.47,-1.3,0.3,3.19,3.72,-0.62,1.4,-2.01,-0.16,0.62,-0.08,1.0,-1.47,0.39,2.69,3.21,0.68,0.62,-0.2,0.41
63e51cdb4193829cb19b2ebf,40.93,"About a woman who tried to get close and approach a guy in the neighborhood, but was said that she never forget things easily.",0.56,-0.98,7.58,5.39,-0.92,3.19,0.64,1.71,2.34,1.68,-1.82,2.46,-1.36,-1.18,-0.67,1.15,3.85,-0.26,0.97,-2.38,-0.02,0.51,0.45,1.12,-0.35,0.7,2.68,13.64,-0.51,0.65,0.13,-0.02
5ecae8f0edb40e0009671064,48.5,A woman who was staying in her house one day adopted cats and one day the cat got missing and one day left a note to go look for the cat and found it in a comic book in a treehouse.,3.37,1.8,6.02,2.07,-0.72,0.75,-0.79,0.55,1.95,1.5,-1.32,14.73,3.8,-2.37,0.33,6.54,3.64,-0.51,0.61,-3.93,-0.49,2.1,0.62,5.72,5.69,0.7,0.64,-4.06,-0.99,0.48,-0.02,0.09
627966f3451caac7a46ca880,49.0,It was really confusing someone's grandma liked cats and went to a treehouse to persuade the narrator to come down. The grandson was rude to the narrator.,6.01,-0.95,7.88,10.04,0.39,3.35,-0.99,2.87,3.26,1.36,-1.65,-0.14,12.56,-0.11,-0.55,0.37,5.27,-0.75,0.68,-1.23,-0.29,-0.36,0.3,1.03,-0.71,1.58,1.26,-1.14,-0.76,0.39,-0.11,0.14
60ba46327fecef005d8eeb87,52.61,The author who is a tomboy talked about her neighbour who liked cats. She kept about 20 cats. She also mentioned that she had a grandchild whom the grandmother was bothering because of the author.,8.68,2.74,7.23,14.11,6.36,5.28,-0.29,-0.11,-1.02,1.35,-1.84,5.1,-2.71,-1.82,1.01,1.42,4.79,-0.45,1.87,-3.62,-0.55,0.19,0.36,1.48,0.07,0.71,2.11,-0.34,0.23,0.72,0.03,-0.48
59f39daef4217300016cbed4,54.8,"A lady had a cat and she was very fond of them and either kept 20 or so or tried to re-home them. This lady also had a nephew who was fond of another person in the story, but this nephew had terrible manners and the other person in the story was not interested in them.",5.74,3.49,14.66,10.2,-1.66,4.53,0.03,6.8,7.3,0.66,-0.66,-1.79,-1.22,-1.73,0.6,2.4,4.94,-0.75,1.23,-2.05,-0.08,0.12,0.28,1.27,-0.39,0.99,1.72,-1.0,-0.98,0.41,-0.01,-0.25
606f66766e39073d51680a26,58.529999999999994,"Someone lived in a neighbourhood with Mrs Baker who had lots of cats, at least 20 but had rehomed some. Something about a treehouse and being a tomboy.",26.47,4.58,9.11,4.66,8.03,1.24,-2.21,0.29,0.72,1.05,-1.86,0.06,1.91,-3.27,0.23,2.91,5.14,-0.66,1.3,-1.38,-0.14,0.07,0.83,2.59,-1.16,0.98,0.11,-2.45,-1.42,0.62,-0.05,0.23
5dc5c2dfe0089e56432b4d6c,58.88,There was a cat lady who had 20 cats her grandson went missing one day and she went to a tree house to try and find him.,7.84,2.61,5.91,13.98,-3.67,-1.62,-0.39,1.22,1.42,1.34,-1.2,8.62,11.51,-0.64,0.79,6.25,4.67,-0.85,1.32,1.08,-0.41,0.42,0.2,1.2,-3.77,0.73,1.41,-0.52,-1.01,0.47,-0.28,0.25
