segment_ids,text,keypoint
"(1, 3)","In the neighborhood I grew up in, Mrs. Baker was the resident cat lady. She had adopted at least twenty – or had given them homes.","Mrs. Baker, the neighborhood cat lady"
"(4, 5)",But she had – a young grandson and back then I was quite the tomboy.,Mrs. Baker's grandson and my tomboy past
"(6, 7)","And apparently, he was trying to befriend me. I never caught on.",His unnoticed attempts to befriend me
"(8, 11)",Truth is I didn't take to him much because he had – He was a charming lad until you saw his manners. He had poor manners. Goodness gracious he had poor manners.,The grandson's poor manners
"(12, 12)",Then he left a note one day saying he was going to run away because she was always nagging about me.,His note about running away
"(13, 17)","She came to my treehouse. Big old tabby cat in tow. I talked her down and said “Well we'll go find him and if we can't locate him, you can – go ahead and call the police if you need to.”",Convincing Mrs. Baker to search for him
"(18, 19)",I was strategizing. So she took my advice.,Taking Mrs. Baker's problem seriously
"(20, 23)",And we went to where they found his baseball cap – near the old mill and we trailed a bit more and we didn't find a trace. And returned,Searching for the grandson near the mill
"(24, 27)",– it was a treehouse club – he was sitting on a branch with a comic book in his hand. He hadn't run away. But – however – that resolved it for that day.,Finding the grandson in the treehouse
"(28, 31)","But that evening the local sheriff, Officer Dawson said “You better lay low and stay out of sight because that woman never forgets anything once she gets it into her mind.” And I did. I laid low and stayed out of sight.",Officer Dawson's advice to stay hidden
"(32, 32)",That was the second time.,Reflecting on the second incident
