index,keypoints,keypoints_len_in_chars,original_mbits,rephrased_mbits,"produced
key points","required
key points",attempt
0,I didn't really like Mrs. Baker's grandson because he had poor manners. I helped Mrs. Baker when her grandson left a note saying he was going to run away. Officer Dawson advised me to stay out of sight after the incident.,221,119.78,99.33,3,3,1
1,I didn't take to Mrs. Baker's grandson because he had poor manners. I helped Mrs. Baker when her grandson left a note saying he was running away. Officer Dawson advised me to stay out of sight because Mrs. Baker never forgets.,226,136.25,107.32,3,3,2
2,"I grew up near Mrs. Baker who had many cats and a grandson who tried to befriend me. Mrs. Baker's grandson left a note about running away due to her nagging about me. We found him in the treehouse later, and I stayed out of sight as advised by Officer Dawson.",259,134.03,113.97,3,3,3
3,"I grew up near Mrs. Baker, the cat lady. I didn't like her grandson due to his poor manners. I helped Mrs. Baker find her runaway grandson. Officer Dawson told me to stay out of sight afterward.",194,109.26,98.84,4,4,1
4,I didn't get along with Mrs. Baker's grandson because of his poor manners. He left a note saying he would run away because of Mrs. Baker's nagging. I helped Mrs. Baker search for her grandson at the old mill. Officer Dawson advised me to lay low after the incident.,265,126.82,106.01,4,4,2
5,"I grew up near Mrs. Baker, who had many cats. Her grandson with poor manners tried to befriend me. He left a note about running away, and I helped Mrs. Baker look for him. Officer Dawson advised me to stay out of sight because of Mrs. Baker.",241,138.37,119.74,4,4,3
6,I grew up near Mrs. Baker who adopted many cats. Her grandson tried to befriend me despite his poor manners. He left a note saying he would run away due to nagging. Mrs. Baker and I looked for him and found him in the treehouse. Officer Dawson advised me to lay low to avoid Mrs. Baker's memory.,295,144.67,131.6,5,5,1
7,"I grew up in a neighborhood with Mrs. Baker, the cat lady. I didn't like her grandson because he had poor manners. He left a note saying he was running away due to her nagging. I helped find him at the treehouse, realizing he hadn't run away. I stayed out of sight after Officer Dawson's warning about Mrs. Baker.",313,143.34,126.22,5,5,2
8,"I was a tomboy in my neighborhood. Mrs. Baker's grandson tried to befriend me. He had poor manners, so I didn't like him. I helped Mrs. Baker search for her runaway grandson. Officer Dawson advised me to stay out of sight.",222,129.02,98.3,5,5,3
9,"I grew up in a neighborhood with a cat lady named Mrs. Baker. Mrs. Baker had a grandson who tried to befriend me. I didn't like him because he had poor manners. He left a note saying he would run away due to nagging about me. We searched for him but found him in my treehouse reading a comic. Officer Dawson advised me to lay low, and I did.",341,175.81,160.07,6,6,1
10,"I grew up with Mrs. Baker, the neighborhood cat lady. Her grandson tried to befriend me, but had poor manners. He left a note saying he would run away because of her nagging. I suggested we look for him and call the police if needed. We found him in the treehouse reading a comic book. The sheriff advised me to lay low because she never forgets.",346,175.09,151.16,6,6,2
11,"I grew up in a neighborhood with Mrs. Baker, the cat lady. I didn't like her grandson because of his poor manners. He left a note saying he wanted to run away. Mrs. Baker and I searched for him. We found him safe in the treehouse reading a comic book. Officer Dawson warned me to lay low around Mrs. Baker.",306,138.39,125.26,6,6,3
12,"I grew up in a neighborhood with Mrs. Baker, the cat lady. Mrs. Baker had a young grandson who tried to befriend me. I didn't like him because he had poor manners. He left a note saying he would run away due to his grandmother's nagging. I helped Mrs. Baker look for him at the old mill. We found him in my treehouse with a comic book. The sheriff advised me to lay low because Mrs. Baker holds grudges.",403,169.49,154.67,7,7,1
