recall_id,sum,mbits_to_chars,recall_text,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
mean,307.46,0.3,,32.02,4.01,5.82,17.08,0.34,13.08,0.34,12.44,8.6,1.41,-0.63,37.88,12.41,10.25,3.06,9.91,14.85,0.53,4.18,20.07,0.04,3.84,2.5,8.98,15.11,4.61,11.07,49.26,1.19,0.78,-0.27,2.69
17,236.58,0.29,"In the narrator's childhood neighborhood, Mrs. Baker was known as the local ""cat lady"" due to her numerous feline companions. She also had a young grandson who tried to befriend the narrator, a tomboy, but she didn't warm up to him because of his poor manners. One day, he left a note claiming he was going to run away because his grandmother kept nagging him about the narrator. Mrs. Baker sought the narrator's help, and together they attempted to find him. They searched around the old mill, discovering only his baseball cap, but eventually found him back at the treehouse, reading a comic book. The situation seemed resolved for the day, but later that evening, the sheriff warned the narrator to stay out of sight, as Mrs. Baker never forgot once she formed an opinion. Following his advice, the narrator stayed out of view,",29.77,-2.3,7.05,17.6,6.79,13.02,0.88,14.61,6.77,1.66,-0.53,37.92,5.01,-0.48,-0.74,10.27,1.78,-0.48,1.94,14.5,0.29,1.1,0.92,4.14,11.7,-0.03,12.54,40.57,1.25,0.91,0.1,-1.95
10,257.61,0.28,"In the narrator's childhood neighborhood, Mrs. Baker was known for adopting many cats, and she also had a young grandson. The narrator, a tomboy, found the grandson's attempts at friendship off-putting due to his poor manners. One day, the grandson left a note saying he was running away because Mrs. Baker often nagged him about the narrator. Worried, Mrs. Baker sought the narrator's help. Together, they decided to search for him instead of immediately involving the police. They discovered his baseball cap near an old mill but found no other signs of him. Upon returning to the treehouse, they found him sitting on a branch, reading a comic book, revealing he hadn't run away after all. Later, the local sheriff, Officer Dawson, warned the narrator to stay out of Mrs. Baker's sight, as she tends to hold onto things once she focuses on them. Heeding this advice, the narrator decided to keep a low profile.",28.89,2.64,5.03,17.52,8.11,11.48,-0.36,11.02,5.82,0.92,-1.14,36.04,8.99,-1.16,0.03,9.62,11.47,-0.01,1.8,18.5,0.23,5.09,2.73,6.2,17.36,5.54,3.14,43.87,0.29,1.23,-1.79,-1.49
16,277.81,0.27,"In the narrator's childhood neighborhood, Mrs. Baker was known for her many adopted cats and her troublesome young grandson, who attempted to befriend the narrator without success due to his poor manners. One day, the grandson left a note claiming he would run away because his grandmother was constantly nagging about the narrator. Worried, Mrs. Baker visited the narrator's treehouse, bringing her tabby cat along. The narrator calmed her and suggested they search for him, offering to involve the police if they couldn’t find him. They ventured to the old mill where they found the boy’s baseball cap, but no other clues. However, upon returning to the treehouse, they discovered the grandson was never truly missing; he was merely sitting on a branch reading a comic book. This seemingly resolved the situation for the moment. Later that evening, Officer Dawson warned the narrator to stay out of Mrs. Baker’s sight, as she held onto things firmly once they settled in her mind, prompting the narrator to remain inconspicuous for a while.",29.08,2.74,3.73,15.68,-3.71,12.57,0.31,7.89,5.83,1.32,-0.43,39.55,15.18,10.02,7.37,11.68,13.23,-0.48,2.69,17.2,-0.88,3.94,2.61,4.78,16.0,2.74,13.87,45.68,0.52,1.17,-2.24,-1.83
19,280.32,0.27,"In the narrator's childhood neighborhood, Mrs. Baker was known for her love of cats, having adopted at least twenty of them. She also had a young grandson who tried to befriend the narrator, a self-described tomboy. Although he was charming, his poor manners put off the narrator, which led to some tension. One day, the grandson left a note saying he planned to run away because Mrs. Baker was always nagging him about the narrator. Concerned, Mrs. Baker approached the narrator, who persuaded her that they should search for him before involving the police. They began looking near the old mill, where they found his baseball cap, but returned empty-handed. Surprisingly, they found him sitting in the narrator's treehouse with a comic book, seemingly never having left. While the situation was temporarily resolved, the local sheriff, Officer Dawson, later advised the narrator to keep a low profile, warning that Mrs. Baker had a long memory. The narrator followed his advice, implying this wasn't their first encounter with such drama.",30.1,10.32,5.18,17.08,8.07,13.46,-1.49,11.06,12.46,2.12,-0.57,38.39,6.22,-1.24,6.1,8.89,13.44,0.06,4.02,20.0,0.07,3.81,2.28,0.48,11.63,2.59,9.83,43.38,0.66,0.9,-0.78,1.8
4,285.18,0.29,"In the narrator's childhood neighborhood, Mrs. Baker was known for adopting many cats. She also had a young grandson who attempted to befriend the narrator, though his poor manners put them off. One day, the grandson left a note saying he planned to run away, claiming that Mrs. Baker frequently nagged him about the narrator. Concerned, Mrs. Baker visited the narrator’s treehouse, bringing her tabby cat along, to ask for help. The narrator suggested they search for him before calling the police if necessary. Following the advice, they started searching and found his baseball cap near the old mill but did not find him. Returning to the treehouse, they discovered the boy had been there all along, sitting on a branch with a comic book. The immediate situation was resolved, but later, Officer Dawson, the local sheriff, advised the narrator to stay out of sight, warning them about Mrs. Baker's persistent nature. The narrator took this advice seriously and kept a low profile thereafter.",29.76,1.78,4.59,16.77,-3.41,12.98,-0.47,10.56,6.34,1.28,-0.26,37.05,15.48,9.8,0.89,10.03,18.11,0.18,7.19,21.36,-1.09,3.29,3.33,5.64,17.48,0.69,10.03,45.76,1.41,0.86,-0.61,-1.62
12,287.03,0.32,"In the neighborhood where I grew up, Mrs. Baker was known for adopting numerous cats, and she had a young grandson who tried to be friends with me. Despite being charming, his poor manners made it hard for me to warm up to him. One day, he left a note saying he was planning to run away because Mrs. Baker frequently nagged him about me. She approached me, accompanied by a large tabby cat, seeking my help. I suggested we search for him before considering calling the police. We followed clues, like finding his baseball cap near the old mill, but couldn't locate him. However, when we returned, we discovered him sitting in the treehouse with a comic book, realizing he hadn't actually run away. That evening, Officer Dawson advised me to keep a low profile, suggesting Mrs. Baker could hold onto her notions for a long time, so I obliged and stayed out of sight, marking the second incident involving her.",34.7,0.02,3.86,17.82,-3.78,12.38,-0.75,12.71,10.37,1.42,-0.36,37.7,5.82,13.63,0.73,8.91,16.29,0.22,2.53,19.07,2.8,3.65,1.92,4.79,14.38,5.84,5.6,44.38,1.5,0.49,0.84,7.55
3,289.47,0.29,"The narrator recounts growing up in a neighborhood where Mrs. Baker, known for having many cats, lived. Mrs. Baker had a young grandson, who tried to befriend the narrator, a tomboy at the time. However, the narrator was put off by the boy's poor manners. One day, the boy left a note saying he would run away because Mrs. Baker constantly nagged him about the narrator. Mrs. Baker, worried, sought help from the narrator, bringing along a big tabby cat. The narrator advised looking for him first before involving the police. They searched near the old mill, following the trail that ended at his abandoned baseball cap, but found no other signs of him. When they returned, they discovered the boy was actually at a club in the treehouse, reading a comic book, having not run away after all. Later, the local sheriff, Officer Dawson, advised the narrator to keep a low profile, as Mrs. Baker was not one to easily forget things. The narrator took this advice to heart and stayed out of the way.",29.78,-1.59,6.68,16.74,8.37,12.1,0.42,11.39,6.3,1.31,-0.34,38.03,3.47,14.34,2.28,9.37,14.5,-0.22,3.94,16.03,3.2,4.4,2.62,14.99,14.01,5.91,3.94,47.39,1.38,0.82,-0.04,-2.05
9,297.61,0.31,"In the narrator's childhood neighborhood, Mrs. Baker was well-known for adopting many cats. She had a young grandson who tried to befriend the narrator, who was a tomboy at the time. Despite his charming nature, his poor manners put the narrator off. One day, the grandson left a note saying he planned to run away because Mrs. Baker frequently nagged him about the narrator. Mrs. Baker sought help from the narrator in her treehouse, bringing a large tabby cat with her. The narrator suggested they search for him together and only involve the police if necessary. Following the trail to where his baseball cap was found near the old mill, they eventually returned to find him in the treehouse, reading a comic book. Though the crisis seemed resolved, Officer Dawson later advised the narrator to keep a low profile as Mrs. Baker tended to hold onto things once she focused on them. The narrator heeded this advice, choosing to stay out of sight.",29.51,2.12,3.86,16.15,9.41,12.02,-0.07,11.37,12.03,1.64,-0.68,38.71,15.11,14.6,1.06,11.02,16.31,0.06,4.01,25.3,2.81,-0.34,2.41,3.06,10.92,0.25,10.66,43.81,1.44,0.65,0.34,-1.94
13,298.69,0.3,"In the narrator's childhood neighborhood, Mrs. Baker was known as the cat lady who adopted many cats. She also had a young grandson who tried to befriend the narrator, a self-described tomboy, but she didn't take kindly to him due to his poor manners. One day, the grandson left a note claiming he intended to run away because his grandmother constantly nagged him about the narrator. Mrs. Baker approached the narrator for help, bringing along her cat. The narrator suggested they search for him before considering calling the police. They followed a clue to the old mill, where they found his baseball cap but not him. However, upon returning to the narrator’s treehouse club, they discovered him sitting on a branch reading a comic book— he hadn't run away after all. Although that issue seemed resolved, Officer Dawson later advised the narrator to stay out of sight, warning her that Mrs. Baker had a long memory for grievances. The narrator heeded this advice and kept a low profile thereafter.",30.01,1.29,4.98,17.32,7.79,13.1,-0.07,14.45,5.87,1.58,-0.44,38.3,12.69,7.85,1.95,10.28,15.04,0.03,4.05,17.68,-1.04,2.23,2.12,14.53,16.95,6.36,11.71,41.26,1.39,1.05,-0.31,-1.31
