segment_id,segment_text,p-caught
1,"In the neighborhood I grew up in, Mrs. Baker was the resident cat lady.",97.96%
2,She had adopted at least twenty –,80.61%
3,or had given them homes.,79.59%
4,But she had – a young grandson,83.67%
5,and back then I was quite the tomboy.,67.35%
6,"And apparently, he was trying to befriend me.",72.45%
7,I never caught on.,51.02%
8,Truth is I didn't take to him much because he had –,60.20%
9,He was a charming lad until you saw his manners.,65.31%
10,He had poor manners.,63.27%
11,Goodness gracious he had poor manners.,63.27%
12,Then he left a note one day saying he was going to run away because she was always nagging about me.,87.76%
13,She came to my treehouse.,75.51%
14,Big old tabby cat in tow.,37.76%
15,I talked her down,37.76%
16,and said “Well we'll go find him,68.37%
17,"and if we can't locate him, you can – go ahead and call the police if you need to.”",58.16%
18,I was strategizing.,19.39%
19,So she took my advice.,59.18%
20,And we went to where they found his baseball cap – near the old mill,71.43%
21,and we trailed a bit more,56.12%
22,and we didn't find a trace.,54.08%
23,And returned,39.80%
24,– it was a treehouse club –,61.22%
25,he was sitting on a branch with a comic book in his hand.,82.65%
26,He hadn't run away.,60.20%
27,But – however – that resolved it for that day.,14.29%
28,"But that evening the local sheriff, Officer Dawson said “You better lay low and stay out of sight because that woman never forgets anything once she gets it into her mind.”",77.55%
29,And I did.,50.00%
30,I laid low,50.00%
31,and stayed out of sight.,50.00%
32,That was the second time.,22.45%
