recall_id,keypoints,attempt,summary_text,segment_ids,correlation,max_clause_id
summary_gpt4o_18_5.json,18,5,1. I grew up in a neighborhood with Mrs. Baker. 2. Mrs. Baker was the resident cat lady. 3. She had adopted at least twenty cats. 4. Mrs. Baker had a young grandson. 5. I was quite the tomboy back then. 6. Her grandson was trying to befriend me. 7. I didn't take to him much. 8. He had poor manners. 9. He left a note saying he'd run away. 10. Mrs. Baker came to my treehouse. 11. I talked her down from panicking. 12. We decided to search for him. 13. We found his baseball cap near the old mill. 14. We trailed more but found no trace. 15. We returned to the treehouse club. 16. He was sitting on a branch with a comic book. 17. The local sheriff warned me to lay low. 18. I laid low and stayed out of sight.,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 15, 16, 17, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31]",0.7095136126110564,19
summary_gpt4o_19_2.json,19,2,"1. I grew up in a neighborhood with Mrs. Baker. 2. Mrs. Baker was known as the resident cat lady. 3. She had adopted at least twenty cats. 4. Mrs. Baker had a young grandson. 5. I was quite the tomboy back then. 6. The grandson was trying to befriend me. 7. I didn't take to him much. 8. He seemed charming until you saw his manners. 9. He had poor manners, which was off-putting. 10. He left a note saying he was going to run away. 11. Mrs. Baker came to my treehouse looking for help. 12. I talked her down from panicking. 13. I suggested we look for him before involving police. 14. We searched where his baseball cap was found. 15. We trailed more but found no trace of him. 16. We returned to the treehouse club. 17. He was sitting on a branch with a comic book. 18. Officer Dawson advised me to lay low. 19. I laid low and stayed out of sight after that incident.","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 15, 16, 17, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31]",0.7095136126110564,20
summary_gpt4o_17_1.json,17,1,1. I grew up in a neighborhood. 2. Mrs. Baker was the resident cat lady. 3. She had adopted at least twenty cats. 4. Mrs. Baker had a young grandson. 5. I was quite the tomboy back then. 6. Her grandson was trying to befriend me. 7. I didn't take to him much. 8. He had poor manners. 9. He left a note saying he'd run away. 10. Mrs. Baker came to my treehouse. 11. She brought a big old tabby cat. 12. I talked her down from calling the police. 13. We went to find her grandson. 14. We found his baseball cap near the old mill. 15. He was in the treehouse club with a comic book. 16. Officer Dawson warned me to lay low. 17. I laid low and stayed out of sight.,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31]",0.6825835645717343,18
summary_gpt4o_19_5.json,19,5,"1. I grew up in a neighborhood with Mrs. Baker, the cat lady. 2. She had adopted or given homes to at least twenty cats. 3. Mrs. Baker had a young grandson. 4. Back then, I was quite the tomboy. 5. Apparently, her grandson was trying to befriend me. 6. I never caught on to him trying to befriend me. 7. I didn't like him because he had poor manners. 8. His charm faded because of his poor manners. 9. One day, he left a note saying he would run away. 10. He said she nagged about me constantly. 11. Mrs. Baker came to my treehouse with a big tabby cat. 12. I convinced her to go find him before calling the police. 13. We went to where we found his baseball cap. 14. We searched near the old mill but found no trace. 15. We returned to the treehouse club. 16. He was sitting on a branch with a comic book. 17. It turned out he hadn't run away. 18. Officer Dawson advised me to lay low. 19. I followed his advice and laid low.","[1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 9, 12, 13, 14, 15, 16, 17, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31]",0.6825835645717343,20
summary_gpt4o_19_1.json,19,1,1. I grew up in a neighborhood with Mrs. Baker. 2. Mrs. Baker was known as the resident cat lady. 3. Mrs. Baker had adopted at least twenty cats. 4. She had a young grandson. 5. I was quite the tomboy back then. 6. Her grandson was trying to befriend me. 7. I didn't take to him much. 8. He was charming but had poor manners. 9. He left a note saying he was going to run away. 10. The note said she was nagging about me. 11. Mrs. Baker came to my treehouse with a cat. 12. I talked her down from worrying. 13. I suggested we go find him and call the police if needed. 14. She took my advice to search for him. 15. We found his baseball cap near the old mill. 16. We searched more but didn't find him. 17. We returned and found him in the treehouse. 18. Officer Dawson advised me to lay low. 19. I followed Officer Dawson's advice to stay out of sight.,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31]",0.6825835645717343,20
summary_gpt4o_17_2.json,17,2,1. I grew up in a neighborhood with Mrs. Baker. 2. Mrs. Baker was the resident cat lady. 3. She had at least twenty cats. 4. Mrs. Baker had a young grandson. 5. I was quite the tomboy back then. 6. He was trying to befriend me. 7. I didn't take to him much. 8. He had poor manners. 9. One day he left a note. 10. He was going to run away. 11. Mrs. Baker came to my treehouse. 12. I talked her down. 13. We went to find him. 14. We reached where his baseball cap was. 15. We found him in the treehouse. 16. The local sheriff warned me. 17. I laid low and stayed out of sight.,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 15, 16, 19, 20, 21, 24, 25, 28, 30, 31]",0.6560205324857273,18
summary_gpt4o_19_4.json,19,4,"1. I grew up in a neighborhood with Mrs. Baker as the resident cat lady. 2. She had adopted at least twenty cats. 3. Mrs. Baker's young grandson was trying to befriend me. 4. I was quite the tomboy back then. 5. I didn't take to her grandson much due to his poor manners. 6. He was a charming lad until you noticed his manners. 7. He had poor manners, goodness gracious he did. 8. He left a note saying he was running away. 9. He said Mrs. Baker was always nagging about me. 10. Mrs. Baker came to my treehouse with a big old tabby cat. 11. I talked her down and offered to help find her grandson. 12. I advised her to call the police if we couldn't find him. 13. We found his baseball cap near the old mill. 14. We didn't find any trace of him initially. 15. We returned to my treehouse club. 16. He was sitting on a branch with a comic book. 17. He hadn't run away as we thought. 18. Officer Dawson advised me to lay low and stay out of sight. 19. I laid low and stayed out of sight as advised.","[1, 2, 3, 4, 6, 5, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31]",0.6450123751009602,20
summary_gpt4o_19_3.json,19,3,1. I grew up in the neighborhood with Mrs. Baker. 2. Mrs. Baker was the resident cat lady. 3. She had adopted at least twenty cats. 4. Mrs. Baker had a young grandson. 5. I was a tomboy back then. 6. Her grandson was trying to befriend me. 7. I didn't catch on to his attempts. 8. I didn't like him because of his poor manners. 9. He was charming but had poor manners. 10. He left a note saying he'd run away. 11. Mrs. Baker came to my treehouse for help. 12. She brought an old tabby cat with her. 13. I convinced her to search for him. 14. We found his baseball cap by the old mill. 15. We didn't find any trace of him. 16. We returned to the treehouse club. 17. He was sitting on a branch with a comic book. 18. Officer Dawson advised me to lay low. 19. I laid low and stayed out of sight.,"[1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 9, 12, 13, 14, 15, 16, 17, 19, 20, 22, 23, 24, 25, 26, 28, 29, 30, 31]",0.6202042068278464,20
summary_gpt4o_18_1.json,18,1,1. I grew up in a neighborhood with Mrs. Baker. 2. Mrs. Baker was the cat lady. 3. Mrs. Baker adopted at least twenty cats. 4. She had a young grandson. 5. I was a tomboy back then. 6. Her grandson tried to befriend me. 7. I didn't take to him much. 8. He was charming but had poor manners. 9. He left a note about running away. 10. He said his grandmother was nagging. 11. Mrs. Baker came to my treehouse. 12. I talked her down from worrying. 13. We planned to search for him together. 14. We found his baseball cap at the old mill. 15. We didn't find him immediately. 16. He was in the treehouse with a comic. 17. Officer Dawson warned me to lay low. 18. I laid low and stayed out of sight.,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 15, 16, 17, 18, 19, 20, 21, 22, 24, 25, 26, 28, 29, 30, 31]",0.6102809395186009,19
summary_gpt4o_17_3.json,17,3,1. I grew up in a neighborhood with Mrs. Baker. 2. Mrs. Baker was the resident cat lady. 3. She had at least twenty cats. 4. Mrs. Baker had a young grandson. 5. I was quite the tomboy. 6. He was trying to befriend me. 7. I didn't like him much. 8. He had poor manners. 9. He left a note saying he'd run away. 10. She came to my treehouse. 11. I talked her down from calling the police. 12. We went to look for him. 13. We found his baseball cap near the old mill. 14. He hadn't run away and was at the treehouse club. 15. That resolved it for the day. 16. Officer Dawson advised me to lay low. 17. I laid low and stayed out of sight.,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 15, 16, 17, 19, 20, 21, 22, 24, 25, 26, 27, 28, 29, 30, 31]",0.585472771245487,18
