segment_id,pcaught,prec,mbits,segment_text
1,0.9795918367346939,0.8979591836734694,21.02,"In the neighborhood I grew up in, Mrs. Baker was the resident cat lady."
2,0.8061224489795918,0.5816326530612245,2.74,She had adopted at least twenty –
3,0.7959183673469388,0.41836734693877553,9.81,or had given them homes.
4,0.8367346938775511,0.6938775510204082,13.37,But she had – a young grandson
5,0.673469387755102,0.5102040816326531,4.0,and back then I was quite the tomboy.
6,0.7244897959183674,0.5714285714285714,6.46,"And apparently, he was trying to befriend me."
7,0.5102040816326531,0.16326530612244897,1.01,I never caught on.
8,0.6020408163265306,0.04081632653061224,6.78,Truth is I didn't take to him much because he had –
9,0.6530612244897959,0.24489795918367346,5.87,He was a charming lad until you saw his manners.
10,0.6326530612244898,0.5306122448979592,1.64,He had poor manners.
11,0.6326530612244898,0.19387755102040816,-0.06,Goodness gracious he had poor manners.
12,0.8775510204081632,0.5102040816326531,14.08,Then he left a note one day saying he was going to run away because she was always nagging about me.
13,0.7551020408163265,0.47959183673469385,6.33,She came to my treehouse.
14,0.37755102040816324,0.30612244897959184,1.72,Big old tabby cat in tow.
15,0.37755102040816324,0.04081632653061224,0.37,I talked her down
16,0.6836734693877551,0.30612244897959184,7.46,and said “Well we'll go find him
17,0.5816326530612245,0.2857142857142857,7.29,"and if we can't locate him, you can – go ahead and call the police if you need to.”"
18,0.19387755102040816,0.02040816326530612,-0.14,I was strategizing.
19,0.5918367346938775,0.02040816326530612,1.99,So she took my advice.
20,0.7142857142857143,0.35714285714285715,3.03,And we went to where they found his baseball cap – near the old mill
21,0.5612244897959183,0.12244897959183673,0.38,and we trailed a bit more
22,0.5408163265306123,0.12244897959183673,1.52,and we didn't find a trace.
23,0.3979591836734694,0.061224489795918366,-0.22,And returned
24,0.6122448979591837,0.12244897959183673,4.01,– it was a treehouse club –
25,0.826530612244898,0.7551020408163265,6.03,he was sitting on a branch with a comic book in his hand.
26,0.6020408163265306,0.40816326530612246,1.64,He hadn't run away.
27,0.14285714285714285,0.061224489795918366,2.8,But – however – that resolved it for that day.
28,0.7755102040816326,0.7040816326530612,17.04,"But that evening the local sheriff, Officer Dawson said “You better lay low and stay out of sight because that woman never forgets anything once she gets it into her mind.”"
29,0.5,0.25510204081632654,-0.46,And I did.
30,0.5,0.25510204081632654,0.83,I laid low
31,0.5,0.20408163265306123,-0.61,and stayed out of sight.
32,0.22448979591836735,0.1836734693877551,1.06,That was the second time.
