segment_id,segment_text,real_p_caught,emulated_p_caught,diff,abs_diff
9,"Back then, they used a lot of ether.",66.66666666666667,45.945945945945944,20.720720720720728,20.720720720720728
18,"So, they went to get her out of bed,",83.33333333333333,67.56756756756756,15.765765765765764,15.765765765765764
90,"I went hysterical, you know what I mean? She was only eighteen years old.",74.44444444444444,89.1891891891892,-14.74474474474475,14.74474474474475
23,"So, when she was walking around to come home after ten days,",48.888888888888886,35.13513513513514,13.753753753753749,13.753753753753749
10,There was a chair there.,34.44444444444444,21.62162162162162,12.822822822822822,12.822822822822822
7,"Sunday morning, my oldest daughter, Victoria, went to the hospital to see how she was.",66.66666666666667,54.054054054054056,12.612612612612615,12.612612612612615
4,She died at Methodist Hospital.,68.88888888888889,56.75675675675676,12.132132132132128,12.132132132132128
68,"“Oh my God!” I said, “Don’t tell me you’re running for my daughter!”",74.44444444444444,86.48648648648648,-12.042042042042041,12.042042042042041
137,"When she gets that pain, it’s like she has phlebitis from it.",60.0,70.27027027027027,-10.270270270270274,10.270270270270274
191,"The neighborhood – Annie at the store always says, “Mrs. Costa,” every time I go in there, she reminds me, “I just picture Marie standing at that step, looking over here.” She used to stand at that step.",71.11111111111111,81.08108108108108,-9.969969969969966,9.969969969969966
44,She was operated on in March –,42.22222222222222,32.432432432432435,9.789789789789786,9.789789789789786
30,I had all the clothes laid out on the table.,61.111111111111114,51.351351351351354,9.75975975975976,9.75975975975976
28,Go Pick Marie up.,80.0,89.1891891891892,-9.189189189189193,9.189189189189193
88,And I was screaming.,61.111111111111114,70.27027027027027,-9.15915915915916,9.15915915915916
19,"and she passed out,",71.11111111111111,62.16216216216216,8.948948948948953,8.948948948948953
162,"I said, “Mike, we lost Marie. Marie died.” It was just a shock.",83.33333333333333,91.89189189189189,-8.558558558558559,8.558558558558559
145,"Later, they said it was a blood clot.",88.88888888888889,97.29729729729729,-8.408408408408405,8.408408408408405
46,"She was operated – ten days before, so that would be the twentieth.",43.333333333333336,35.13513513513514,8.198198198198199,8.198198198198199
17,"But the nurse said, “Well, that’s the doctor’s orders.”",75.55555555555556,67.56756756756756,7.987987987987992,7.987987987987992
91,"Beautiful girl, you can see from her picture.",48.888888888888886,56.75675675675676,-7.867867867867872,7.867867867867872
64,"I started getting the chills,",30.0,37.83783783783784,-7.837837837837839,7.837837837837839
139,"She can’t walk, she goes through such pain since then.",54.44444444444444,62.16216216216216,-7.7177177177177185,7.7177177177177185
89,My hair was all pulled out.,54.44444444444444,62.16216216216216,-7.7177177177177185,7.7177177177177185
74,"I said, “What did you do, kill my daughter?",78.88888888888889,86.48648648648648,-7.5975975975975985,7.5975975975975985
133,"And the back of her leg, it felt just like a pole.",46.666666666666664,54.054054054054056,-7.387387387387392,7.387387387387392
77,"And the doctor rushed in,",47.77777777777778,40.54054054054054,7.237237237237238,7.237237237237238
