segment_id,segment_text,p-caught
1,We moved down to Third and Wharton.,98.10%
2,We had gotten moved,32.38%
3,"but it was like – you remember I told you my father drank,",31.43%
4,"but it was still day,",1.90%
5,"and after he had gotten in and put the furniture where it was supposed to go, my mother left, to go to market to get some food to bring into the house.",99.05%
6,And my father went to take the horses – take the team of horses back.,92.38%
7,But he didn't come home.,81.90%
8,"He – stopped somewhere on – I dunno,",38.10%
9,but he – how he – why he wasn't in the house.,31.43%
10,And of course I was left there with the kids.,45.71%
11,Well no sooner did my mother get out of the house – my father went first – then – oh it was such an awful crash came through the window.,99.05%
12,And I – and I looked and it was a big stone.,85.71%
13,And then of course they – they – well they stoned the house.,97.14%
14,And I had sense enough to get the kids into the stairway so that they wouldn't get hurt by flyin' glass.,97.14%
15,"And I said to them, “Now you stay there.",63.81%
16,Don't move 'cause nothing will reach you here.,60.95%
17,And I'm gonna go and see if I can find mom” –,55.24%
18,(We call our mother mom.),5.71%
19,And they were crying,8.57%
20,and carryin' on.,7.62%
21,"I was scared to death,",80.00%
22,I really was frightened out of my wits.,80.95%
23,"And I didn't know what to do,",20.00%
24,but I remember saying a prayer as I went out the front door because I didn't know what was gonna hit me when I went out that door.,47.62%
25,And I ran –,60.00%
26,I was ten years old at the time this happened –,76.19%
27,"I ran to Fourth street, because I knew my mother wa-",89.52%
28,"They had push carts in those days, on Fourth street.",35.24%
29,And it was a Jewish neighborhood,14.29%
30,and they – they stayed open until – until all hours.,7.62%
31,"Because they would, you know, however much money they could get they wanted.",16.19%
32,So uh that's where she was going to do her shopping.,43.81%
33,And I finally found my mother.,85.71%
34,I did find her.,47.62%
35,And while I was trying to tell her what had happened,12.38%
36,a policeman went by.,68.57%
37,And my voice was such that you could hardly make out what I was saying.,55.24%
38,"I was so nervous and – and – my voice was shaking so,",72.38%
39,and he wanted to find out what ha- what was wrong with me.,52.38%
40,And then when he understood what the situation was he turned to my mother,30.48%
41,"and says, “This is a bad neighborhood.",95.24%
42,It's Irish.”,79.05%
43,"And he said, “They're known to do things like that,",71.43%
44,Better move out of there.”,85.71%
45,"My mother said, “I just moved in, how am I gonna move out?”",50.48%
46,"He says, “I dunno.”",8.57%
47,"He says, “But they don't want any black people in there.”",86.67%
48,An' he didn't say black 'cause they didn't use black then.,19.05%
49,But “they don't want anybody in there.”,21.90%
50,"So uh, she said, “Well you're the law.",24.76%
51,You're supposed to protect us.”,21.90%
52,"He says, “I can't do anything with it.”",44.76%
53,He was Irish himself.,46.67%
54,“I can't do anything about it.”,40.00%
55,"So my mother said um, “Where is the uh precinct you work from?”",12.38%
56,And he told her.,9.52%
57,I forgot now.,8.57%
58,I was right there with her,9.52%
59,but I've forgotten where he told her.,8.57%
60,"So uh she said, “Well if you can't do anything to help me, I'll go see who – if I can't find someone else to help me.”",21.90%
61,"Well in those days black people were so cowed by circumstances an' uniforms and white people, you know, they uh many times didn't assert themselves.",18.10%
62,But thankfully my mother was not one of those kind.,28.57%
63,And she – well I always thought of her as an educated person which she was because she was the only one I knew who had completed high school.,47.62%
64,She went to Lackawanna high school.,16.19%
65,"And this was – let me see what year was this happening – well it must have been nineteen twenty-five, so you can see what – what the times were.",22.86%
