segment_id,segment_text,p-caught
1,"Yeah, I was in the boy scouts at the time.",54.13%
2,"And we was doing the 50-yard dash,",100.00%
3,"racing,",67.89%
4,"but we was at the pier, marked off,",100.00%
5,and so we was doing the 50-yard dash.,100.00%
6,"There was about 8 or 9 of us, you know, going down, coming back.",94.50%
7,"And, going down the third time, I caught cramps",100.00%
8,"and I started yelling ""Help!"",",100.00%
9,"but the fellows didn't believe me, you know.",100.00%
10,"They thought I was just trying to catch up, because I was going on or slowing down.",85.32%
11,So all of them kept going.,97.25%
12,They leave me.,47.71%
13,And so I started going down.,52.29%
14,Scoutmaster was up there.,80.73%
15,He was watching me.,72.48%
16,But he didn't pay me no attention either.,81.65%
17,"And for no reason at all there was another guy, who had just walked up that minute...",88.99%
18,He just jumped over,88.99%
19,and grabbed me.,88.99%
