segment_id,segment_text,p-caught
1,We moved down to Third and Wharton.,100.00%
2,We had gotten moved,11.21%
3,"but it was like – you remember I told you my father drank,",12.15%
4,"but it was still day,",2.80%
5,"and after he had gotten in and put the furniture where it was supposed to go, my mother left, to go to market to get some food to bring into the house.",100.00%
6,And my father went to take the horses – take the team of horses back.,100.00%
7,But he didn't come home.,91.59%
8,"He – stopped somewhere on – I dunno,",3.74%
9,but he – how he – why he wasn't in the house.,2.80%
10,And of course I was left there with the kids.,22.43%
11,Well no sooner did my mother get out of the house – my father went first – then – oh it was such an awful crash came through the window.,100.00%
12,And I – and I looked and it was a big stone.,79.44%
13,And then of course they – they – well they stoned the house.,98.13%
14,And I had sense enough to get the kids into the stairway so that they wouldn't get hurt by flyin' glass.,100.00%
15,"And I said to them, “Now you stay there.",87.85%
16,Don't move 'cause nothing will reach you here.,52.34%
17,And I'm gonna go and see if I can find mom” –,70.09%
18,(We call our mother mom.),0.93%
19,And they were crying,1.87%
20,and carryin' on.,1.87%
21,"I was scared to death,",46.73%
22,I really was frightened out of my wits.,45.79%
23,"And I didn't know what to do,",7.48%
24,but I remember saying a prayer as I went out the front door because I didn't know what was gonna hit me when I went out that door.,78.50%
25,And I ran –,65.42%
26,I was ten years old at the time this happened –,67.29%
27,"I ran to Fourth street, because I knew my mother wa-",78.50%
28,"They had push carts in those days, on Fourth street.",66.36%
29,And it was a Jewish neighborhood,55.14%
30,and they – they stayed open until – until all hours.,38.32%
31,"Because they would, you know, however much money they could get they wanted.",3.74%
32,So uh that's where she was going to do her shopping.,20.56%
33,And I finally found my mother.,100.00%
34,I did find her.,74.77%
35,And while I was trying to tell her what had happened,10.28%
36,a policeman went by.,45.79%
37,And my voice was such that you could hardly make out what I was saying.,14.02%
38,"I was so nervous and – and – my voice was shaking so,",13.08%
39,and he wanted to find out what ha- what was wrong with me.,16.82%
40,And then when he understood what the situation was he turned to my mother,18.69%
41,"and says, “This is a bad neighborhood.",92.52%
42,It's Irish.”,83.18%
43,"And he said, “They're known to do things like that,",42.06%
44,Better move out of there.”,76.64%
45,"My mother said, “I just moved in, how am I gonna move out?”",22.43%
46,"He says, “I dunno.”",4.67%
47,"He says, “But they don't want any black people in there.”",100.00%
48,An' he didn't say black 'cause they didn't use black then.,8.41%
49,But “they don't want anybody in there.”,16.82%
50,"So uh, she said, “Well you're the law.",3.74%
51,You're supposed to protect us.”,3.74%
52,"He says, “I can't do anything with it.”",30.84%
53,He was Irish himself.,32.71%
54,“I can't do anything about it.”,23.36%
55,"So my mother said um, “Where is the uh precinct you work from?”",3.74%
56,And he told her.,3.74%
57,I forgot now.,3.74%
58,I was right there with her,3.74%
59,but I've forgotten where he told her.,3.74%
60,"So uh she said, “Well if you can't do anything to help me, I'll go see who – if I can't find someone else to help me.”",7.48%
61,"Well in those days black people were so cowed by circumstances an' uniforms and white people, you know, they uh many times didn't assert themselves.",3.74%
62,But thankfully my mother was not one of those kind.,3.74%
63,And she – well I always thought of her as an educated person which she was because she was the only one I knew who had completed high school.,88.79%
64,She went to Lackawanna high school.,85.98%
65,"And this was – let me see what year was this happening – well it must have been nineteen twenty-five, so you can see what – what the times were.",42.06%
66,"And we went – she took me, and we went to the police station.",37.38%
67,And they also had police wagons with horses attached to them. Believe it or not in those days.,18.69%
68,"So my mother said, to the captain, “What are you going to do about it?”",23.36%
69,"And he says, “Well lady there's nothing we can do about it.”",76.64%
70,"And she says, “You mean to tell me that I have to live under those circumstances and there's nothing that you can do about it?”",10.28%
71,"She says – he says, “Well uh the only thing I can tell you to do is to move.”",80.37%
72,"He says, “Because” – he said to me, “Did you see anyone?”",3.74%
73,"And I said, “No.”",3.74%
74,"He says, “Well how can – how can you” – to my mother – “how can you do anything if you don't know who – who to put the blame on?”",5.61%
75,"An' he says, “I'm sure there was more than one person.”",3.74%
76,"So my mother said, “Well I don't know what I'm going to do.”",14.02%
77,"She says, “But one thing I know I'm not going to do is move. Because I have no money to move with.”",80.37%
78,"They took all we had to, to pay the rent.",57.94%
79,In that house you had to pay in advance.,16.82%
80,"And she said, “If they didn't want me there they should not have rented the house to me.",38.32%
81,Now the real estate agent should be accountable.”,17.76%
82,"So anyhow, she said to him, “Well I know one thing you can do.”",9.35%
83,"And he says, “What's that?”",3.74%
84,"She says, “You can take me home.”",5.61%
85,"He said, “Take you home?”",3.74%
86,"She said, “Yes in the police patrol.”",5.61%
87,So – I guess they figured “Let's get this lady out of here because she's talking loud and long.”,4.67%
88,And they had never come up with anybody like that.,4.67%
89,So they put us in the police patrol,100.00%
90,and they took us home.,87.85%
91,We weren't far from – from where it was – maybe Fifth street – from where we had moved.,33.64%
92,"And – course with the horses and the police patrol, and the clang –",12.15%
93,they had a bell that clanged. Clang clang clang –,66.36%
94,you know they told you about the trolley that went “Clang.”,18.69%
95,"Well this police patrol that bell they had, it went “Clang clang clang.”",19.63%
96,And um all the neighbors came running out to see what was happening.,5.61%
97,And of course they saw the man came around the back –,5.61%
98,"I can see it right now – from where he was sitting up front there where the horses came around,",5.61%
99,and opened the door in the back.,5.61%
100,And they had a long door in the back where you had to come down steps to get out the back of the – of this police patrol.,5.61%
101,Well we got out of that police patrol –,6.54%
102,Before the patrol ever left my mother turned,74.77%
103,"and faced all those people that were standing around,",63.55%
104,"and she says, “Why you're doing this to me I don't know.”",15.89%
