segment_ids,text,keypoint
"(1, 4)","We moved down to Third and Wharton. We had gotten moved but it was like – you remember I told you my father drank, but it was still day,",We moved to a new place; father drank
"(5, 8)","and after he had gotten in and put the furniture where it was supposed to go, my mother left, to go to market to get some food to bring into the house. And my father went to take the horses – take the team of horses back. But he didn't come home. He – stopped somewhere on – I dunno,",Parents left; father didn't return home
"(9, 12)",but he – how he – why he wasn't in the house. And of course I was left there with the kids. Well no sooner did my mother get out of the house – my father went first – then – oh it was such an awful crash came through the window. And I – and I looked and it was a big stone.,"Alone with kids, a stone crashed through window"
"(13, 16)","And then of course they – they – well they stoned the house. And I had sense enough to get the kids into the stairway so that they wouldn't get hurt by flyin' glass. And I said to them, “Now you stay there. Don't move 'cause nothing will reach you here.",I protected the kids from flying glass
"(17, 20)",And I'm gonna go and see if I can find mom” – (We call our mother mom.) And they were crying and carryin' on.,I reassured the kids and planned to find mom
"(21, 24)","I was scared to death, I really was frightened out of my wits. And I didn't know what to do, but I remember saying a prayer as I went out the front door because I didn't know what was gonna hit me when I went out that door.","Scared, I prayed and left to find mom"
"(25, 28)","And I ran – I was ten years old at the time this happened – I ran to Fourth street, because I knew my mother wa- They had push carts in those days, on Fourth street.",I ran to Fourth street to find mom
"(29, 32)","And it was a Jewish neighborhood and they – they stayed open until – until all hours. Because they would, you know, however much money they could get they wanted. So uh that's where she was going to do her shopping.",Fourth street was a busy Jewish market
"(33, 36)",And I finally found my mother. I did find her. And while I was trying to tell her what had happened a policeman went by.,I found mom and tried to explain
"(37, 40)","And my voice was such that you could hardly make out what I was saying. I was so nervous and – and – my voice was shaking so, and he wanted to find out what ha- what was wrong with me. And then when he understood what the situation was he turned to my mother","Nervous, I struggled to explain to a policeman"
"(41, 44)","and says, “This is a bad neighborhood. It's Irish.” And he said, “They're known to do things like that, Better move out of there.”",Policeman warned us about the Irish neighborhood
