segment_id,segment_text,real_p_caught,gpt4o_emulated_p_caught,diff,abs_diff
122,"If you don't want me here then you people get together and give me enough money to move somewhere else, because I do not have it.”",72,11,61,61
40,And then when he understood what the situation was he turned to my mother,52,0,52,52
47,"He says, “But they don't want any black people in there.”",81,33,48,48
6,And my father went to take the horses – take the team of horses back.,54,100,-46,46
26,I was ten years old at the time this happened –,46,0,46,46
27,"I ran to Fourth street, because I knew my mother wa-",57,100,-43,43
102,Before the patrol ever left my mother turned,58,100,-42,42
48,An' he didn't say black 'cause they didn't use black then.,39,0,39,39
53,He was Irish himself.,58,22,36,36
65,"And this was – let me see what year was this happening – well it must have been nineteen twenty-five, so you can see what – what the times were.",36,0,36,36
79,In that house you had to pay in advance.,35,0,35,35
116,"She said, “It is winter time and it is cold.",45,11,34,34
5,"and after he had gotten in and put the furniture where it was supposed to go, my mother left, to go to market to get some food to bring into the house.",66,100,-34,34
111,And they had paid that rent for a month.,55,22,33,33
117,And I cannot afford to be buying windows.”,42,11,31,31
72,"He says, “Because” – he said to me, “Did you see anyone?”",30,0,30,30
14,And I had sense enough to get the kids into the stairway so that they wouldn't get hurt by flyin' glass.,71,100,-29,29
2,We had gotten moved,29,0,29,29
89,So they put us in the police patrol,71,100,-29,29
74,"He says, “Well how can – how can you” – to my mother – “how can you do anything if you don't know who – who to put the blame on?”",40,11,29,29
73,"And I said, “No.”",28,0,28,28
104,"and she says, “Why you're doing this to me I don't know.”",50,77,-27,27
38,"I was so nervous and – and – my voice was shaking so,",37,11,26,26
49,But “they don't want anybody in there.”,26,0,26,26
86,"She said, “Yes in the police patrol.”",51,77,-26,26
87,So – I guess they figured “Let's get this lady out of here because she's talking loud and long.”,26,0,26,26
113,She did not know beyond the month.,57,33,24,24
80,"And she said, “If they didn't want me there they should not have rented the house to me.",46,22,24,24
37,And my voice was such that you could hardly make out what I was saying.,35,11,24,24
67,And they also had police wagons with horses attached to them. Believe it or not in those days.,24,0,24,24
1,We moved down to Third and Wharton.,76,100,-24,24
30,and they – they stayed open until – until all hours.,24,0,24,24
118,"“Now” she said, “Whoever threw the stones I don't know.",34,11,23,23
33,And I finally found my mother.,77,100,-23,23
119,But you can all see what has happened.,34,11,23,23
