,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
1,5.66,10.52,10.28,11.22,7.78,5.77,2.49,3.66,2.35,0.04,0.0,2.61,0.0,0.0,0.47,0.0,0.0,0.0,0.59,2.17,0.0,0.63,0.69,0.0,0.0,0.0,0.22,0.0,0.19,0.0,0.0,0.0,0.0,0.22,0.0,0.0
2,8.34,6.78,6.74,12.3,8.31,5.46,1.86,1.16,2.12,0.0,0.14,2.56,0.54,0.0,1.6,0.0,0.0,1.59,0.0,2.58,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.68,0.48,0.0,0.0,0.0,0.0
3,8.13,10.26,7.04,13.16,4.69,5.74,3.5,1.74,2.31,0.0,1.04,3.66,0.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.64,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,12.03,6.31,8.13,6.4,9.17,2.68,0.0,0.98,2.13,2.34,1.31,0.0,0.0,0.0,0.0,0.0,1.83,0.0,0.0,1.71,0.0,0.85,0.0,0.0,0.0,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,7.19,6.87,6.39,8.06,5.11,4.15,0.45,1.04,0.0,0.0,0.0,0.0,0.0,1.96,0.0,0.0,0.0,0.0,0.0,0.84,0.0,0.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,6.32,1.99,1.46,4.19,4.54,5.19,0.0,1.92,0.0,0.25,0.0,0.0,0.0,0.07,2.56,0.89,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,1.45,3.0,0.35,1.01,2.14,2.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.0
8,2.23,3.81,13.06,2.92,3.16,3.37,0.0,8.84,1.01,0.0,0.0,1.63,2.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9
9,12.79,5.05,5.0,4.36,1.7,1.94,0.0,9.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.0,0.0
10,0.0,0.0,0.0,1.08,1.4,0.46,0.0,0.0,0.0,2.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
