segment_id,segment_text
43,"And I went myself. You know, I had the coat on my arm."
44,"She was operated on in March."
45,"No, April! So that was the thirtieth."
46,"She was operated – ten days before, so that would be the twentieth."
47,"The twentieth of April, right? It was kind of chilly."
48,"Oh, and I had everything in a bag."
49,"and I had the coat on my arm and her dress hanging on my arm."
50,"She saw me from the windows, from Wolf Street."
51,"She said, 'My mother’s just coming.'"
52,"She was with the girls, saying goodbye to everyone – you know how it is."
