segment_id,segment_text
129,"Well, that’s this one. This is a picture of Rita."
130,"She went down like lightning."
131,"Dropped to the floor, and that’s a marble floor."
132,"She went down like lightning."
133,"And the back of her leg, it felt just like a pole."
134,"Hard like a pole, the back of her leg."
135,"And that girl is suffering."
136,"Thirty – no, twenty-eight years since her sister died?"
137,"When she gets that pain, it’s like she has phlebitis from it."
138,"She suffers – seven, eight, nine weeks at a time."
139,"She can’t walk, she goes through such pain since then."
