,1,2,3,4,5,6,7,8,9,10,11,12
1,2.03,7.55,7.22,3.77,1.67,0.0,1.58,0.54,0.0,0.44,0.0,0.09
2,3.35,6.28,8.87,5.38,3.45,0.29,1.1,0.22,0.0,0.0,0.48,0.0
3,4.85,7.25,8.54,9.09,1.1,0.37,4.48,1.39,0.04,0.0,0.0,0.0
4,2.36,4.33,8.55,3.71,1.07,4.04,3.42,0.0,1.57,0.0,0.0,0.0
5,1.82,1.82,0.0,1.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,1.83,0.53,0.51,2.18,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0
7,0.99,0.28,0.5,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,1.22,1.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.74,0.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
