recall_id,sum,recall_text,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54
mean,84.56,,8.47,-1.24,0.94,5.02,13.42,1.33,12.63,1.17,1.18,7.42,14.27,1.1,1.6,1.09,0.43,0.4,0.47,-1.13,-0.97,1.08,-3.01,-0.09,0.5,4.42,-0.84,0.39,-0.69,2.32,-0.14,-0.72,-1.24,2.2,-0.74,0.05,0.16,-0.52,-0.66,1.16,-0.36,0.16,7.97,2.56,0.01,-0.7,0.22,-0.7,-1.17,-0.5,0.03,-0.39,-1.19,4.99,-1.18,3.6
601d1a51f8ab7f060c6638fe,-3.2700000000000005,"There father was ill. Other say I wish him a quick recovery,",-3.79,-2.43,1.6,2.87,7.89,-0.68,1.08,-1.05,-0.94,-0.39,-2.07,0.29,0.26,-0.33,-0.18,0.01,0.01,-0.86,0.1,-0.45,-0.58,0.38,0.67,-0.02,-1.09,-0.06,0.81,0.54,-0.89,-0.99,-1.3,1.17,-0.36,-0.26,-0.32,-0.62,-0.25,-0.42,0.03,0.32,2.64,-0.02,-0.17,-0.21,-0.05,-0.16,-0.76,-0.52,-0.62,0.11,-2.87,2.59,-0.44,-0.49
5fae30cda7efa227b8d84b72,0.2700000000000006,when I was 21 years old. i lived alone in an apartment and my father was in the hospital for surgery and he was there for about 8 months. He was been looked after by our neighbor. he just sent me text he said he took his first step and I was proud to see him when I got home.,12.89,-2.96,-1.01,0.42,15.44,-2.69,7.36,-4.56,-0.03,-2.9,-7.45,-2.21,0.17,0.72,-1.71,-0.53,-0.01,-0.84,0.36,0.51,-0.34,-0.12,1.41,0.17,-0.84,-0.15,-1.12,-0.21,-1.05,-1.64,-1.63,1.72,-0.7,0.0,-0.65,-1.58,-0.94,-2.3,-0.1,0.47,8.66,-2.47,-0.53,-0.99,0.67,-0.44,-2.49,-0.23,-1.42,-0.6,-2.12,2.8,-1.22,-0.72
6096ace01e65b3225e84d29f,3.2300000000000004,He is living life to the fullest even in his seventies.,-2.15,-2.12,1.97,4.17,7.25,-0.37,-1.12,-1.58,-0.05,-2.61,-6.08,-0.8,0.22,-0.81,-0.26,0.07,0.39,0.02,-0.17,-0.11,-1.77,0.37,0.71,-0.41,-1.05,0.1,0.19,0.03,-1.39,-0.73,-1.38,1.8,-0.27,-0.31,-0.86,-0.86,-0.88,0.93,0.01,0.2,3.62,0.33,0.04,-0.21,-0.01,0.08,-1.65,-0.59,-0.61,-0.21,-3.21,3.14,-2.11,14.33
5f2c7dd707d4af164bd0e3aa,7.909999999999999,This persons father is ill. He goes out in his wheelchair. Somebody that knows the son told the son to pray for the persons recovery. The son didn't really know how to pray. He therefore went to a park bench and sat on it. He prayed. Then all of a sudden the father phoned to tell the son how he'd taken 3 steps.,-2.24,-4.93,-1.47,3.97,14.58,4.47,2.99,-3.29,-0.39,-1.23,10.18,0.73,0.58,-1.16,-0.22,-0.28,1.23,-0.22,-0.23,-2.75,0.35,0.31,0.37,-0.84,-0.79,0.88,0.42,0.01,-1.54,0.63,-1.3,-0.13,-0.69,0.12,-0.62,-0.48,-1.2,-0.75,-0.2,-0.79,6.88,-2.86,-0.35,-1.56,-1.25,-0.95,-1.37,-1.1,-1.27,-0.26,-1.8,1.39,-1.19,-0.48
60460afa467ff102d3c5b9f6,10.179999999999998,"This mans father was sick and he longed to recover to full strength, as there was nothing or no one to help, the young man looked and saw no one around him who could help he prayed to God, he asked God to heal his father though he was not perfect he prayed. He later received a call from his father that he took his first step.",-2.07,-5.46,-0.23,3.34,10.53,0.06,2.68,-0.86,-0.27,-0.21,4.15,0.44,2.07,1.46,-0.78,-1.52,1.09,0.0,-0.56,-1.62,-2.97,0.7,0.51,-1.16,-0.57,0.52,-0.46,0.3,-2.4,6.14,-0.79,3.76,-0.05,-0.03,-0.57,-0.89,-0.55,-1.84,-0.23,1.12,7.06,-0.47,-0.7,-1.55,-1.02,-0.47,-1.55,-0.93,-1.36,-0.3,-2.9,2.99,-0.88,-0.52
60c4c5e3253d7f15de0bc71a,14.89,I live in an apartment with my father who is suffering from cancer. He is currently being taken care of by my neighbor who is 60 years old. I also have a sister. My neighbor encouraged me to pray for my father and that God does miracles. I was at work when I wanted to pray. I looked around the office and saw no one was around and decided to go out. When I was out I closed my eyes and when I opened them no one was around. I then decided to take a 10 minute walk to,1.01,-2.5,1.06,2.03,6.7,-1.89,13.86,3.27,0.76,3.64,-0.47,5.13,3.77,1.06,1.15,-1.02,1.07,-1.03,-3.38,2.95,-3.14,-0.86,-0.54,-1.74,-2.28,2.77,-2.33,1.0,-0.68,-2.42,-1.29,1.21,0.22,-0.27,-0.9,-1.05,-1.65,-0.97,0.01,-3.03,2.34,-0.08,-0.13,-1.58,-0.55,0.4,-0.66,-0.89,-1.36,-0.18,-2.36,2.06,-0.75,-0.6
5c38ce43bef9a20001e3e1ab,18.87,A girl had a disabled dad and had a feeling to go to the park and pray for his recovery,-2.83,-3.88,-1.94,4.0,12.01,0.76,-1.1,-1.18,0.39,6.14,15.31,0.19,-0.32,-0.95,0.75,-0.52,-0.25,-0.6,-1.15,0.89,-1.76,-0.04,0.9,-0.61,-0.89,0.18,-0.7,0.2,-0.82,-0.21,-1.26,1.78,-0.36,-0.02,-0.29,-0.32,-0.7,0.89,0.05,0.15,2.33,0.54,-0.06,-1.17,-0.04,-0.06,-0.6,-0.81,-1.24,-0.03,-1.68,2.2,-0.64,-1.76
643f008ccb54c55128c46b41,23.48,"A woman's father was very sick and unable to walk. Then someone told her that if she prayed then her father would heal. She was skeptical, but one day during work break she went to the park and try it out. She prayed under a tree in the park and then her father called her and said he made a break through medically. Then he lived a long life into his seventies.",-1.82,-4.18,0.79,3.81,10.52,0.68,-1.07,-2.2,-0.41,0.51,16.27,0.14,0.54,1.58,0.52,-0.55,0.41,-1.2,0.77,-0.91,-3.46,-0.01,0.4,6.5,-1.09,0.31,-0.53,1.14,0.09,-1.82,-2.46,1.92,-0.95,0.52,0.2,-1.83,-1.2,0.08,-0.2,0.15,5.87,-1.26,-0.08,-2.16,-0.35,-0.11,-1.97,-1.36,0.96,-0.1,-1.54,2.15,-3.64,5.11
606e36e2002550b48214893e,23.9,"My father got ill and needed surgery he couldn’t walk. Something told me to pray for him I was at work but left the office and walked 10 mins to pray. Then I got a txt from him, he had managed to walk with his walker, within the next year he was back walking and living his life to his fullest at age 70.",0.45,-6.08,2.64,4.85,9.48,-0.27,-2.99,-2.29,-0.73,7.2,4.43,0.07,-0.12,-1.39,-1.52,-0.86,-0.4,-1.09,-0.25,3.94,-2.04,-0.4,0.47,-1.15,-1.04,-0.05,-0.96,1.14,-0.35,-1.01,-1.31,2.51,-1.35,0.05,-0.11,-1.44,-1.38,0.2,-0.4,-0.08,11.75,3.6,-0.33,-0.15,-1.48,-1.75,-2.88,-0.92,0.08,-0.5,1.74,2.09,-2.29,8.57
