segment_id,segment_text,p-caught
1,This is a story about three of my friends,57.00%
2,that I met in 1949,66.00%
3,when I started college.,66.00%
4,"Actually I met them before that,",50.00%
5,we became friends after we all...,36.00%
6,went to school at the same place.,58.00%
7,"Previous to that during high school we'd all been high school athletes at different schools,",71.00%
8,and so we were acquainted.,55.00%
9,"But then after graduation when we all enrolled in school,",64.00%
10,"we found that the four of us were all now attending the same school,",77.00%
11,and we became quite good friends.,68.00%
12,"I was the kid from the farm,",87.00%
13,the other three guys all lived in the city.,71.00%
14,"So being big macho men that we all were,",50.00%
15,"they used to like to come out to the farm and hunt,",91.00%
16,"and they'd come out,",51.00%
17,and help me do chores and things like that.,48.00%
18,Then we'd go rabbit hunting and squirrel hunting and things of that nature.,85.00%
19,I never really enjoyed hunting.,80.00%
20,"Uh ... being born and raised on the farm I was used to the outdoors,",53.00%
21,wasn't all that exciting to me.,49.00%
22,"But these guys got a big kick out of it,",47.00%
23,so I'd go along just to be one of the group.,59.00%
24,"Things went on,",13.00%
25,"we did this for several years,",24.00%
26,"they were always coming out to the farm,",49.00%
27,and hunting.,48.00%
28,"After we'd been acquainted for several years,",47.00%
29,one of them got the idea they'd like to go bear hunting up in Canada.,94.00%
30,"Now that didn't really appeal to me,",66.00%
31,"but I'd always been one of the group,",58.00%
32,"and I couldn't find any real reason not to go,",54.00%
33,"so I left them talk me into it,",71.00%
34,wasn't too hepped up on this at all.,52.00%
35,"I don't care anything really much about hunting period,",62.00%
36,let alone bear hunting.,35.00%
37,Be about my luck the bear would wind up hunting me.,29.00%
38,"But as I said,",27.00%
39,I left them talk me into it.,53.00%
40,"So we took an airplane out of Fort Wayne,",72.00%
41,"and we flew way up into Canada some place,",72.00%
42,"and we landed on a lake,",58.00%
43,"and then we rented canoes,",68.00%
44,"and paddled for another ... day and a half it seemed to me,",73.00%
45,'till we got way up in the north woods.,49.00%
46,"Then after we ... went as far as we could in the canoes,",52.00%
47,"then we had to backpack for another ... five hundred miles I thought,",73.00%
48,'till we got to this cabin that they had rented way up there in the north woods.,75.00%
49,"And after I got there,",31.00%
50,"I was even more apprehensive than I had been even before we started,",45.00%
51,'cause I didn't really need any part of that.,24.00%
52,"That was pretty spooky looking territory, let me tell you.",58.00%
53,"So we got up there,",33.00%
54,"and got set up in the cabin,",49.00%
55,and ... got our groceries stored and everything.,33.00%
56,And after we got to discussing it,48.00%
57,those guys weren't any more hot about going out in those woods and looking for a bear than I was.,73.00%
58,"We sat around there for three or four days,",68.00%
59,"played cards,",74.00%
60,"and ate,",61.00%
61,"and slept,",57.00%
62,and we just couldn't ...,31.00%
63,no one was in the mood to go out and hunt bear,61.00%
64,'cause that's just a plain old spooky looking place.,39.00%
65,"We never ventured outside at night,",37.00%
66,we stayed right there in the old cabin.,42.00%
67,"Well after we'd been there for three or four days,",37.00%
68,"we got to talking it over,",59.00%
69,"and somebody said “Hey,",45.00%
70,if we don't go out and hunt some bear ...,62.00%
71,"we've got to find a bear to take back home with us,",65.00%
72,"or we're really going to get a bad time from the rest of the people,",78.00%
73,"'cause too many people know we'd gone bear hunting,",73.00%
74,and if we come home skunked with no bear they're really going to give us a bad time.”,34.00%
75,"Soo ... no one wanted to go out,",35.00%
76,so we all decided that we'd cut the cards.,86.00%
77,"Whoever got the high card ... would go out and get a bear,",79.00%
78,"and the rest of them would skin him butcher him and pack him back down,",66.00%
79,so we could take him home with us.,41.00%
80,"So you know who YOU KNOW WHO got the high card,",86.00%
81,the guy that didn't even want to be there in the first place.,59.00%
82,But I had agreed to play the game ...,59.00%
83,"So ... I took the old gun,",74.00%
84,and I go out bear hunting.,40.00%
85,I didn't like this at all.,30.00%
86,"I'm walking out there in the woods for hours it seems like,",62.00%
87,"and I just wasn't seeing any bears or anything,",54.00%
88,"and finally I heard a noise,",62.00%
89,"and I turned around,",62.00%
90,"and there was the biggest old bear I'd ever seen in my life,",91.00%
91,I'd never even seen a PICTURE of one THAT big.,47.00%
92,"I whipped up the gun,",71.00%
93,"and pulled the trigger,",68.00%
94,and nothing happened.,85.00%
95,I'd forgot to LOAD that turkey.,48.00%
96,Well he had ...,28.00%
97,"he just had no desires to have me in his territory,",53.00%
98,and he made for me.,49.00%
99,"Well there was nothing for me to do but run,",89.00%
100,"and I turned around,",78.00%
101,"I ran as hard as I could go,",81.00%
102,"and I thought I used to be pretty fast,",68.00%
103,"but that old bear,",70.00%
104,"man he was gaining,",72.00%
105,he was just right on my heels ...,62.00%
106,And when I got within sight of that cabin,84.00%
107,"I started yelling “OPEN THE DOOR, OPEN THE DOOR!”",87.00%
108,"Man I was whipping down there just as hard as I could go,",52.00%
109,"and that old bear right on my tail,",48.00%
110,"and they opened the door,",72.00%
111,"and I got right to the cabin door,",66.00%
112,"I made a quick turn to the left,",74.00%
113,and that old bear went right on in.,79.00%
114,"I just reached back,",62.00%
115,"and pulled the door shut,",66.00%
116,"and said “THERE HE IS FELLOWS,",78.00%
117,"YOU SKIN HIM,",74.00%
118,I'LL GO GET ANOTHER ONE!”,55.00%
119,"Now all this happened thirty years ago,",55.00%
120,and all my buddies agreed ... that I lived up to my commitment.,59.00%
121,"But can you BELIEVE,",60.00%
122,they haven't asked me to go hunting one time since that day.,73.00%
