recall_id,clause_id,segment_ids,fan_out,last_segment_id,clause_text
llama4-1,1,"[2, 3]",2,11,The narrator met three friends in college
llama4-1,2,"[7, 8]",2,11,The friends were acquainted in high school
llama4-1,3,[7],1,11,The friends attended different high schools
llama4-1,4,"[5, 6, 9, 10, 11]",5,11,The four people became friends in college
llama4-2,1,"[1, 3]",2,18,The narrator met three friends in college
llama4-2,2,[2],1,18,in 1949
llama4-2,3,"[7, 8]",2,18,The friends had known each other previously
llama4-2,4,[7],1,18,as high school athletes
llama4-2,5,"[6, 9, 10]",3,18,The four friends attended the same college
llama4-2,6,"[15, 18]",2,18,The friends enjoyed hunting
llama4-2,7,[17],1,18,and helping with farm chores
llama4-2,8,"[15, 16, 17, 18]",4,18,together
llama4-3,1,"[1, 3]",2,23,The narrator met three friends in college
llama4-3,2,[2],1,23,in 1949
llama4-3,3,"[7, 8]",2,23,The friends had known each other previously
llama4-3,4,[7],1,23,as high school athletes
llama4-3,5,"[6, 9, 10]",3,23,The four friends attended the same college
llama4-3,6,"[12, 13]",2,23,The narrator's city-dwelling friends
llama4-3,7,"[14, 15, 16]",3,23,visited his farm
llama4-3,8,"[15, 18]",2,23,to hunt
llama4-4,1,"[1, 3]",2,34,The narrator met three friends in college
llama4-4,2,[2],1,34,in 1949
llama4-4,3,"[4, 7, 8]",3,34,The narrator and his friends were previously acquainted
llama4-4,4,[7],1,34,as high school athletes
llama4-4,5,"[12, 15, 26]",3,34,The friends would visit the narrator's farm
llama4-4,6,"[15, 18, 27]",3,34,to hunt
llama4-4,7,"[16, 17]",2,34,and help with chores
llama4-4,8,"[28, 29]",2,34,The friends eventually planned a bear hunting trip
llama4-4,9,[29],1,34,to Canada
llama4-5,1,"[1, 3]",2,39,The narrator met three friends in college
llama4-5,2,[2],1,39,in 1949
llama4-5,3,[7],1,39,The four individuals had previously been high school athletes
llama4-5,4,[7],1,39,at different schools
llama4-5,5,"[12, 15, 26]",3,39,The narrator's friends visited his farm
llama4-5,6,"[15, 18, 27]",3,39,to hunt
llama4-5,7,[17],1,39,and help with chores
llama4-5,8,"[28, 29]",2,39,The friends eventually planned a bear hunting trip
llama4-5,9,[29],1,39,to Canada
llama4-6,1,"[1, 3]",2,45,The narrator met three friends in college
llama4-6,2,[2],1,45,in 1949
llama4-6,3,"[7, 8]",2,45,The friends were previously acquainted
llama4-6,4,[7],1,45,as high school athletes
llama4-6,5,[7],1,45,at different schools
llama4-6,6,"[12, 15, 16, 17, 26]",5,45,The narrator's friends visited his farm
llama4-6,7,"[15, 18, 27]",3,45,to hunt
llama4-6,8,[17],1,45,and help with chores
llama4-6,9,[29],1,45,The friends went on a bear hunting trip
llama4-6,10,"[29, 40, 41, 42, 43, 44, 45]",7,45,to Canada
llama4-7,1,"[1, 3, 9, 10, 11]",5,52,The narrator met three friends in college
llama4-7,2,[2],1,52,in 1949
llama4-7,3,"[15, 18, 25, 27]",4,52,The four friends went hunting together
llama4-7,4,"[12, 15, 16, 17, 18, 26, 27]",7,52,on the narrator's farm
llama4-7,5,[25],1,52,for several years
llama4-7,6,[29],1,52,One of the friends suggested going bear hunting
llama4-7,7,[29],1,52,in Canada
llama4-7,8,[48],1,52,The group traveled to a remote cabin
llama4-7,9,"[45, 48]",2,52,in the Canadian north woods
llama4-7,10,"[40, 41, 42]",3,52,by airplane
llama4-7,11,[43],1,52,canoe
llama4-7,12,"[44, 47]",2,52,and backpack
llama4-8,1,"[1, 3, 10, 11]",4,64,The narrator met three friends in college
llama4-8,2,[2],1,64,in 1949
llama4-8,3,[13],1,64,"The friends, who were city dwellers,"
llama4-8,4,"[15, 16, 26, 27]",4,64,would visit the narrator's farm
llama4-8,5,"[15, 18, 27]",3,64,to hunt
llama4-8,6,[29],1,64,The friends planned a bear hunting trip
llama4-8,7,"[29, 41, 45]",3,64,to Canada
llama4-8,8,"[48, 54]",2,64,The group stayed in a cabin
llama4-8,9,"[45, 48]",2,64,in the Canadian north woods
llama4-8,10,[58],1,64,for several days
llama4-8,11,"[57, 58, 59, 60, 61, 63]",6,64,without hunting
llama4-9,1,"[1, 3, 10, 11]",4,74,The narrator met three friends in college
llama4-9,2,[2],1,74,in 1949
llama4-9,3,"[15, 18, 27]",3,74,The friends went hunting together
llama4-9,4,"[12, 15, 26]",3,74,on the narrator's farm
llama4-9,5,"[25, 28]",2,74,for several years
llama4-9,6,[29],1,74,The friends planned a bear hunting trip
llama4-9,7,"[29, 41, 45, 48]",4,74,to Canada
llama4-9,8,[54],1,74,They stayed in a cabin
llama4-9,9,"[45, 48]",2,74,in the north woods
llama4-9,10,"[58, 67]",2,74,for several days
llama4-9,11,"[57, 58, 59, 60, 61, 63, 66]",7,74,without hunting
llama4-10,1,"[1, 2, 3, 10, 11]",5,79,The narrator met three friends in college
llama4-10,2,"[4, 7, 8]",3,79,having previously known them as high school athletes at different schools
llama4-10,3,"[12, 15, 16, 18, 26, 27]",6,79,The friends would visit the narrator's farm to hunt
llama4-10,4,"[19, 20, 21, 23, 35]",5,79,despite the narrator not enjoying hunting
llama4-10,5,"[28, 29]",2,79,The friends planned a bear hunting trip to Canada
llama4-10,6,"[30, 31, 32, 33, 39]",5,79,and the narrator was persuaded to join them
llama4-10,7,"[56, 59, 76]",3,79,The group decided to cut cards
llama4-10,8,"[76, 77]",2,79,to determine who would go bear hunting
llama4-10,9,"[68, 69, 70, 71, 72, 73, 74]",7,79,to avoid embarrassment upon returning home without a bear
llama4-11,1,"[1, 3, 10, 11]",4,85,The narrator met three friends in college
llama4-11,2,[2],1,85,in 1949
llama4-11,3,"[15, 18, 25, 27]",4,85,The four friends went hunting together
llama4-11,4,"[12, 15, 26]",3,85,on the narrator's farm
llama4-11,5,"[25, 28]",2,85,for several years
llama4-11,6,[29],1,85,The friends planned a bear hunting trip
llama4-11,7,"[29, 41, 45, 48]",4,85,to Canada
llama4-11,8,"[30, 31, 33, 39, 81, 84]",6,85,The narrator was forced to go bear hunting
llama4-11,9,"[76, 77, 80, 82]",4,85,after drawing the high card
llama4-12,1,"[5, 11]",2,95,The narrator and his three friends became close
llama4-12,2,"[3, 9, 10]",3,95,after attending the same college
llama4-12,3,[29],1,95,The friends went on a bear hunting trip
llama4-12,4,"[40, 41, 42, 44, 45, 47, 48]",7,95,to Canada
llama4-12,5,[59],1,95,They drew cards
llama4-12,6,[76],1,95,to decide who would go bear hunting
llama4-12,7,"[77, 80, 81]",3,95,and the narrator got the high card
llama4-12,8,"[84, 86, 87, 88, 89, 90, 91, 92, 93]",9,95,The narrator shot at a bear
llama4-12,9,"[94, 95]",2,95,but his gun was unloaded
llama4-13,1,"[1, 2, 3]",3,105,The narrator met three friends in college
llama4-13,2,"[5, 10, 11]",3,105,and they became close friends
llama4-13,3,"[14, 15, 18, 22, 23, 25, 27]",7,105,The friends enjoyed hunting together
llama4-13,4,"[28, 29, 33, 39]",4,105,and eventually decided to go bear hunting in Canada
llama4-13,5,"[41, 42, 43, 44, 45, 46, 47, 48]",8,105,The group arrived at a cabin in the Canadian woods
llama4-13,6,"[50, 56, 57, 63]",4,105,but were too apprehensive to go bear hunting
llama4-13,7,"[76, 77, 80, 82]",4,105,The narrator was forced to go bear hunting after drawing the high card
llama4-13,8,"[83, 86, 88, 89, 90]",5,105,and encountered a large bear
llama4-14,1,"[1, 3, 7, 9, 10, 11]",6,118,"The narrator and his three friends, all former high school athletes, became close friends in college"
llama4-14,2,"[14, 15, 18, 22, 23, 28, 29]",7,118,"The friends, at one of their suggestions, went on a bear hunting trip to Canada"
llama4-14,3,"[56, 57, 58, 59, 60, 61, 62, 63, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76]",18,118,The group decided to draw cards to determine who would go bear hunting
llama4-14,4,"[76, 77, 78, 79, 80, 81, 82]",7,118,and the narrator drew the high card
llama4-14,5,"[83, 84, 85, 86, 87, 88, 89, 90]",8,118,The narrator encountered a bear
llama4-14,6,"[92, 93, 94, 95]",4,118,forgot he hadn't loaded his gun
llama4-14,7,"[96, 97, 98, 99, 100, 101, 102, 103, 104, 105, 106, 107, 108, 109, 110, 111, 112, 113, 114, 115, 116, 117, 118]",23,118,and was chased back to the cabin
llama4-15,1,"[1, 7, 8]",3,122,The narrator and his three friends became acquainted in high school
llama4-15,2,"[3, 9, 10]",3,122,and later attended the same college.
llama4-15,3,"[29, 41, 42, 43, 44, 45, 46, 47, 48]",9,122,The friends went on a bear hunting trip to Canada.
llama4-15,4,"[76, 77, 78, 79, 80, 81, 82]",7,122,The narrator was chosen to go bear hunting after they drew cards.
llama4-15,5,"[88, 89, 90, 91, 92, 93]",6,122,The narrator shot at a bear
llama4-15,6,"[94, 95]",2,122,"but his gun was unloaded,"
llama4-15,7,"[99, 100, 101, 102, 103, 104, 105, 106, 107, 108, 109, 110, 111, 112, 113, 114, 115, 116, 117, 118]",20,122,and he had to run back to the cabin to escape.
