recall_id,clause_id,segment_ids,fan_out,last_segment_id,clause_text
gpt4-1,1,[1],1,4,Narrator was twenty-two and fresh out of college.
gpt4-1,2,[3],1,4,Narrator started a job at a local bookstore.
gpt4-1,3,[4],1,4,Narrator was alone in the store on a quiet afternoon.
gpt4-2,1,[1],1,8,Narrator was twenty-two and fresh out of college.
gpt4-2,2,[3],1,8,Narrator started a job at a local bookstore.
gpt4-2,3,[4],1,8,Narrator was alone in the store on a quiet afternoon.
gpt4-2,4,"[5, 6]",2,8,Narrator's grandpa was bedridden and cared for by the narrator's sister.
gpt4-2,5,[7],1,8,"Narrator has only one sibling, a sister."
gpt4-2,6,[8],1,8,Narrator's parents were out of town for the weekend.
gpt4-3,1,[1],1,14,Narrator was twenty-two and fresh out of college.
gpt4-3,2,[3],1,14,Narrator started a job at a local bookstore.
gpt4-3,3,[4],1,14,Narrator was alone in the store on a quiet afternoon.
gpt4-3,4,"[5, 6]",2,14,Narrator's grandpa was bedridden and cared for by the narrator's sister.
gpt4-3,5,[7],1,14,"Narrator has only one sibling, a sister."
gpt4-3,6,[8],1,14,Narrator's parents were out of town for the weekend.
gpt4-3,7,"[9, 10, 13]",3,14,Narrator heard a voice suggesting to light a candle at an old church for grandpa's health.
gpt4-4,1,[1],1,20,Narrator was twenty-two and fresh out of college.
gpt4-4,2,[3],1,20,Narrator started a job at a local bookstore.
gpt4-4,3,"[5, 6]",2,20,Narrator's grandpa was bedridden and cared for by the narrator's sister.
gpt4-4,4,[8],1,20,Narrator's parents were out of town for the weekend.
gpt4-4,5,"[9, 10, 13]",3,20,Narrator heard a voice suggesting to light a candle at an old church for grandpa's health.
gpt4-4,6,"[15, 16, 17, 18]",4,20,"Narrator walked to the nearby church, despite not being very religious."
gpt4-4,7,"[19, 20]",2,20,Narrator recalled grandma's words about the power of sincere prayers.
gpt4-5,1,[3],1,28,Narrator started a job at a local bookstore.
gpt4-5,2,"[5, 6]",2,28,Narrator's grandpa was bedridden and cared for by the narrator's sister.
gpt4-5,3,[8],1,28,Narrator's parents were out of town for the weekend.
gpt4-5,4,"[9, 10, 13]",3,28,Narrator heard a voice suggesting to light a candle at an old church for grandpa's health.
gpt4-5,5,"[15, 16, 17, 18]",4,28,"Narrator walked to the nearby church, despite not being very religious."
gpt4-5,6,"[19, 20]",2,28,Narrator recalled grandma's words about the power of sincere prayers.
gpt4-5,7,"[10, 15, 17, 19, 20, 23, 24, 25, 26, 27, 28]",11,28,Narrator lit a candle and prayed sincerely for grandpa's healing in the church.
gpt4-6,1,"[5, 6]",2,35,Narrator's grandpa was bedridden and cared for by the narrator's sister.
gpt4-6,2,[8],1,35,Narrator's parents were out of town for the weekend.
gpt4-6,3,"[9, 10, 13]",3,35,Narrator heard a voice suggesting to light a candle at an old church for grandpa's health.
gpt4-6,4,"[15, 16, 17, 18]",4,35,"Narrator walked to the nearby church, despite not being very religious."
gpt4-6,5,"[10, 15, 17, 19, 20, 23, 24, 25, 26, 27, 28]",11,35,Narrator lit a candle and prayed sincerely for grandpa's healing in the church.
gpt4-6,6,"[29, 31, 32, 33, 34]",5,35,Narrator felt a strong urge to go home after returning to the bookstore.
gpt4-6,7,"[34, 35]",2,35,Narrator locked up the store and rushed home due to the overwhelming feeling.
gpt4-7,1,[8],1,42,Narrator's parents were out of town for the weekend.
gpt4-7,2,"[9, 10, 13]",3,42,Narrator heard a voice suggesting to light a candle at an old church for grandpa's health.
gpt4-7,3,"[10, 15, 17, 19, 20, 23, 24, 25, 26, 27, 28]",11,42,Narrator lit a candle and prayed sincerely for grandpa's healing in the church.
gpt4-7,4,"[29, 31, 32, 33, 34]",5,42,Narrator felt a strong urge to go home after returning to the bookstore.
gpt4-7,5,"[34, 35]",2,42,Narrator locked up the store and rushed home due to the overwhelming feeling.
gpt4-7,6,"[36, 37, 38]",3,42,"Narrator found grandpa sitting and talking, having felt a surge of energy."
gpt4-7,7,"[39, 40, 41]",3,42,"Grandpa's recovery began that day, leading to regained strength and independence."
gpt4-8,1,"[9, 10, 13]",3,45,Narrator heard a voice suggesting to light a candle at an old church for grandpa's health.
gpt4-8,2,"[10, 15, 17, 19, 20, 23, 24, 25, 26, 27, 28]",11,45,Narrator lit a candle and prayed sincerely for grandpa's healing in the church.
gpt4-8,3,"[29, 31, 32, 33, 34]",5,45,Narrator felt a strong urge to go home after returning to the bookstore.
gpt4-8,4,"[36, 37, 38]",3,45,"Narrator found grandpa sitting and talking, having felt a surge of energy."
gpt4-8,5,"[39, 40, 41]",3,45,"Grandpa's recovery began that day, leading to regained strength and independence."
gpt4-8,6,"[43, 44]",2,45,Narrator often reflected on the prayer and its possible role in grandpa's recovery.
gpt4-8,7,"[43, 44, 45]",3,45,The experience altered the narrator's perspective on faith and prayer.
gpt4-9,1,"[10, 15, 17, 19, 20, 23, 24, 25, 26, 27, 28]",11,50,Narrator lit a candle and prayed sincerely for grandpa's healing in the church.
gpt4-9,2,"[29, 31, 32, 33, 34]",5,50,Narrator felt a strong urge to go home after returning to the bookstore.
gpt4-9,3,"[36, 37, 38]",3,50,"Narrator found grandpa sitting and talking, having felt a surge of energy."
gpt4-9,4,"[39, 40, 41]",3,50,"Grandpa's recovery began that day, leading to regained strength and independence."
gpt4-9,5,"[43, 44]",2,50,Narrator often reflected on the prayer and its possible role in grandpa's recovery.
gpt4-9,6,"[43, 44, 45]",3,50,The experience altered the narrator's perspective on faith and prayer.
gpt4-9,7,"[46, 47, 48]",3,50,"Grandpa lived many more years, celebrating his ninetieth birthday with loved ones."
gpt4-10,1,"[10, 15, 17, 19, 20, 23, 24, 25, 26, 27, 28]",11,54,Narrator lit a candle and prayed sincerely for grandpa's healing in the church.
gpt4-10,2,"[36, 37, 38]",3,54,"Narrator found grandpa sitting and talking, having felt a surge of energy."
gpt4-10,3,"[39, 40, 41]",3,54,"Grandpa's recovery began that day, leading to regained strength and independence."
gpt4-10,4,"[43, 44, 45]",3,54,The experience altered the narrator's perspective on faith and prayer.
gpt4-10,5,"[46, 47, 48]",3,54,"Grandpa lived many more years, celebrating his ninetieth birthday with loved ones."
gpt4-10,6,[51],1,54,"Grandpa passed away years later, but his spirit remains with the family."
gpt4-10,7,"[52, 53]",2,54,Narrator finds comfort in the memory and the enduring presence of faith.
