recall_id,sum,mbits_to_chars,recall_text,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54
mean,123.28,0.08,,15.22,-1.54,6.35,2.32,28.65,-0.02,-3.49,4.16,5.75,19.48,-0.66,-0.53,0.2,-0.04,0.09,-0.4,-0.84,1.89,7.7,2.48,0.71,-1.44,-1.97,1.02,-0.69,0.79,0.59,0.25,3.78,1.93,9.38,1.64,0.2,0.51,-0.45,7.26,0.7,1.41,1.28,2.43,1.12,1.17,-1.9,0.77,0.94,3.89,4.48,-0.38,-0.91,0.53,-1.32,-0.44,-0.72,-0.04
6,97.06,0.08,"When I was twenty-two, just starting my first job at a bookstore in a small town, my grandfather was bedridden at home, cared for by my sister since our parents were away. One day, while alone at work, I heard a mysterious voice urging me to light a candle for my grandfather at a nearby church, promising it would help him get better. Despite not being religious, I was reminded of my grandmother's belief in the power of sincere prayer. I went to the church, lit a candle, and prayed earnestly for my grandfather's recovery. Afterward, I felt an inexplicable urge to go home, where I found my grandfather miraculously able to sit and talk with my sister, having gained unexpected energy to leave his bed. This marked the beginning of his recovery and a transformative period for our family, deepening our gratitude for the time we had together. My grandfather lived many more years, celebrating his ninetieth birthday with us. Although he passed away a few years later, the experience in the church greatly impacted my view on faith and has remained a vivid memory, reminding me of the power and comfort faith can provide, even in times of uncertainty.",14.99,-2.58,7.42,-2.16,23.3,-0.91,-2.84,1.46,5.13,19.61,-0.44,-0.84,0.77,-0.29,1.01,-0.47,-1.04,1.93,8.88,1.93,-0.72,-1.97,-0.25,0.88,-1.12,-0.64,0.22,0.1,1.82,0.71,7.67,0.89,0.19,0.21,-0.72,7.28,-1.16,0.89,1.36,-0.23,0.58,5.51,-0.75,-1.34,0.66,4.85,5.85,-1.47,-4.6,1.93,0.37,-1.16,0.19,-3.83
3,99.59,0.07,"The story is about a poignant experience the narrator had at the age of twenty-two, shortly after starting their first job at a bookstore in a small town. During a quiet afternoon at work, the narrator hears a mysterious voice urging them to light a candle at a nearby church for their bedridden grandfather, who has been unable to move independently for nearly a year and was being cared for by the narrator's sister while their parents were away. Initially skeptical and not religious, the narrator is moved by memories of their grandmother's faith and decides to visit the church. There, they offer a sincere prayer for their grandfather's recovery despite feeling unworthy. The narrator then returns to work but soon feels an irresistible pull to go home. Upon arrival, they are astonished to find their grandfather sitting and engaged in conversation with their sister. Miraculously, he had regained the strength to walk unassisted, marking the start of his recovery. This event becomes a turning point, strengthening the narrator's belief in the power of sincere faith and prayer. The experience remains a vivid and cherished memory, reinforcing the bond with their grandfather who lived many more years, celebrating significant milestones with family. Even after his passing, the narrator recalls this moment during times of uncertainty, finding comfort in the notion that faith and love provide enduring support and connection.",12.81,0.08,7.77,5.71,27.41,2.46,-3.75,3.23,5.3,16.44,-0.67,-0.78,0.44,0.3,-0.11,-1.49,-0.7,2.38,6.32,2.98,2.54,-0.19,-5.4,1.25,0.52,1.75,0.37,0.46,4.16,1.92,8.98,2.2,-0.41,0.72,-0.76,6.98,-4.18,-0.06,1.68,0.82,1.95,-0.37,-1.32,-2.43,-1.58,4.99,-1.62,-0.35,-5.05,1.19,-1.77,1.09,-1.1,-3.52
1,102.12,0.07,"The story is about a personal experience the narrator had when they were twenty-two and had just started their first job at a bookstore. They lived in a small town with their family, including their bedridden grandfather who was cared for by the narrator’s sister while their parents were away. One quiet afternoon at the bookstore, the narrator heard a mysterious voice instructing them to visit the nearby church and light a candle for their grandfather to aid in his recovery. After resisting initially, the narrator, recalling their grandmother's teachings about the sincerity in prayer, decided to go to the church and offered a heartfelt prayer for their grandfather's health. Upon returning to the bookstore and feeling an inexplicable pull to go home, the narrator discovered their grandfather miraculously up and talking, having found the strength to leave his bed for the first time in months. This marked the beginning of his recovery, and the family cherished the time they had together, with the grandfather eventually celebrating his ninetieth birthday before passing away a few years later. Reflecting on the incident years later, the narrator considers the experience a turning point in their understanding of faith and the power of prayer, leaving them with lasting gratitude for the time spent with their grandfather and a belief that they are never truly alone.",15.05,-0.18,7.49,2.82,25.92,-0.17,-2.49,2.7,5.54,16.74,0.3,0.51,1.75,0.83,-1.17,-1.75,-1.16,-2.5,8.1,2.75,0.5,-1.62,-1.48,1.14,0.4,0.68,0.92,1.05,3.89,0.13,9.51,1.89,0.32,0.12,-0.7,7.75,-0.88,1.79,1.43,-0.79,-0.8,-0.58,-3.36,-1.22,0.37,0.07,6.14,0.27,-4.07,-0.44,0.67,-1.22,-2.56,1.72
2,108.43,0.08,"When I was twenty-two and just starting my first job at a local bookstore in a small town, an unusual experience unfolded that would impact my view on faith and family. I lived with my sister and we were caring for our bedridden grandfather, while our parents were out of town. One quiet afternoon at work, I inexplicably heard a voice in my head urging me to light a candle for my grandfather at a nearby church, promising it would help him recover. Although not particularly religious, the voice's persistence and my love for my grandfather led me to the church. I prayed sincerely, despite feeling inadequately faithful. Returning to work, I was suddenly compelled by an intense feeling to go home. I closed the store and rushed back, discovering that my grandfather, who hadn't been able to leave his bed unaided, had surprisingly gained the energy to sit and converse in the living room. This marked the beginning of his recovery, as he gradually regained his strength and independence. This remarkable turnaround led me to ponder whether my prayer had played a role, deepening my belief in the power of faith. My grandfather went on to live several more years, celebrating many precious moments with family. The experience of his sudden recovery remains a poignant memory, reinforcing my understanding that we are never truly alone and that faith can indeed invite miracles into our lives.",15.66,-2.04,6.88,1.03,25.63,2.6,-5.84,4.02,6.39,17.59,-1.28,-0.48,-0.11,0.33,-0.23,0.01,-0.86,2.0,-1.17,2.04,1.15,-1.4,-3.46,0.33,-0.95,1.83,-0.49,0.87,3.44,-0.95,9.16,2.05,0.12,0.97,1.07,8.53,7.68,-0.25,1.33,5.6,0.41,-1.03,-1.86,3.19,-1.37,3.12,-0.44,0.26,-1.4,1.2,-3.98,-1.21,1.81,0.93
4,114.47,0.09,"When the narrator was twenty-two, they were living in a small town and had just begun working at a local bookstore. Their grandfather was bedridden and being cared for by the narrator's sister, while their parents were out of town. One quiet afternoon at work, the narrator heard an internal voice urging them to light a candle at a nearby church for their grandfather's recovery. Though not particularly religious, they were moved by the thought of their grandmother’s advice about sincere prayers performing miracles. Deciding to follow the voice, they went to the church, lit a candle, and prayed earnestly for their grandfather's healing. After returning to the bookstore and continuing with their tasks, the narrator suddenly felt an overwhelming urge to go home. Upon arriving, they found their grandfather miraculously able to sit up and talk, a feat he hadn't managed in months. This marked the start of his recovery as he gradually regained his health and independence. This event significantly impacted the narrator’s perspective on faith and prayer. Their grandfather continued to live for many more years, celebrating his ninetieth birthday with family and friends before passing away. The experience remains a poignant reminder of faith's power and the belief that we are never truly alone.",9.16,3.04,6.09,2.32,25.8,-0.41,-3.89,5.61,5.41,16.99,-1.57,-0.46,-0.66,-0.05,0.4,-0.68,-1.0,2.15,11.26,3.54,0.89,-0.86,-5.04,0.07,-1.49,-0.16,1.29,-0.62,4.08,4.03,9.76,1.94,1.23,0.97,-0.35,4.09,-0.63,-0.49,1.14,4.98,-0.51,-0.56,-3.02,-0.26,0.65,5.75,8.43,-1.39,-4.0,1.1,-1.69,-0.53,0.54,2.08
16,118.33,0.08,"The story takes place when the narrator was twenty-two and had just started working at a local bookstore in a small town. as their grandpa was bedridden for almost a year, and their sister was caring for him at home while their parents were away. During a quiet afternoon at the bookstore, the narrator heard a compelling inner voice telling them to go to a nearby church and light a candle for their grandpa, promising it would help him recover. Despite not being religious, the narrator decided to heed this mysterious prompting due to the deep care for their grandpa. After lighting a candle and offering a heartfelt, albeit uncertain, prayer for their grandpa’s healing, they returned to work. Suddenly, an inexplicable urge to go home overcame them. Upon arriving home, the narrator was astonished to find their grandpa, who had been unable to move without help for months, sitting and talking with their sister. He experienced a sudden burst of energy and began his path to recovery, eventually regaining his strength and independence. This inexplicable change became a pivotal moment, altering the narrator’s perspective on faith and prayer. The grandpa went on to live many years, celebrating his ninetieth birthday, and the family cherished the time spent together. Even years later, the narrator reflects on that day, feeling that although they can't be certain if their prayer caused the recovery, it taught them about the power of faith and the realization that they are never truly alone, especially in times of uncertainty.",13.95,-2.22,5.17,1.38,34.45,1.89,-4.8,2.03,5.72,19.88,-1.36,-1.4,-0.51,-0.54,0.19,-0.4,-0.38,2.12,-1.14,2.78,0.98,-1.29,-0.69,0.83,-0.41,0.13,-0.21,0.25,3.56,3.48,9.98,1.51,-0.02,0.68,-0.73,7.47,4.77,1.19,0.98,3.86,1.39,0.34,-1.5,1.54,1.94,2.98,5.82,1.76,-3.7,-0.86,-4.74,0.37,-2.73,2.59
10,119.2,0.09,"A twenty-two-year-old, recently graduated from college, narrates a significant experience from their first job at a local bookstore in a small town. While working alone one afternoon, they hear an unexplained voice urging them to light a candle for their bedridden grandpa at a nearby church, promising it will aid his recovery. Despite initial hesitations due to their lack of religious inclination, they ultimately decide to follow the voice's suggestion. At the church, they offer a heartfelt, albeit uncertain, prayer for their grandpa's healing. After returning to work, an overwhelming urge compels them to go home, where they astonishingly find their grandpa, who hadn't been able to leave his bed for months, sitting and conversing with their sister. The grandpa experienced a sudden return of energy, marking the beginning of a recovery that allowed him to regain his strength and independence. This event was a pivotal moment for the family, fostering a deeper sense of gratitude and altering the narrator's perspective on faith and prayer. The grandpa went on to enjoy many more years, celebrating significant milestones with his family. This miraculous incident, etched deeply in the narrator's memory nearly two decades later, continues to influence their understanding of faith and companionship, serving as a reminder that they are never truly alone.",17.09,-3.05,7.55,5.31,22.69,4.33,-4.49,-4.12,5.74,18.45,-0.92,0.18,0.9,-0.11,-0.2,0.45,-0.7,2.01,0.58,2.41,0.29,-2.35,-2.81,2.34,-0.29,1.0,0.36,1.2,4.35,1.52,9.52,1.26,-0.1,0.61,-0.52,8.06,3.68,1.84,1.7,4.78,2.54,4.91,-2.8,-0.38,1.24,5.5,-0.53,-1.01,5.57,0.98,-5.35,-0.73,-3.0,1.72
17,119.61,0.08,"When the narrator was twenty-two, they had just begun their first job at a local bookstore in a small town. At that time, their grandpa, who had been bedridden for almost a year, was being cared for by the narrator’s sister, as their parents were out of town. One quiet afternoon at the bookstore, the narrator heard an inexplicable voice instructing them to light a candle at the nearby church for their grandpa’s recovery. Initially hesitant, the narrator eventually decided to go to the church, recalling their grandma's wisdom about the sincerity of prayer. Despite not being particularly religious, they prayed earnestly for their grandpa's healing. Returning to work, the narrator unexpectedly felt a strong urge to go home. Upon arriving there, they found their grandpa miraculously sitting up and conversing with their sister, something he hadn't been able to do for months. From that day forward, their grandpa gradually regained his strength, marking a pivotal change for the family. The experience left a lasting impression on the narrator, altering their perspective on faith and prayer. Their grandpa eventually lived to celebrate his ninetieth birthday surrounded by loved ones, providing cherished moments before his passing a few years later. Reflecting on this pivotal day, the narrator often finds solace and is reminded of the profound impact faith can have, even during times of uncertainty.",13.88,-1.46,7.72,2.25,34.78,-1.77,-3.0,2.42,5.63,16.68,0.29,-0.37,-0.0,0.13,1.08,-0.72,-0.83,2.92,10.25,3.66,0.72,-1.09,-0.24,0.58,-1.13,0.58,1.23,0.36,4.1,2.29,9.99,1.54,0.16,0.36,-0.57,6.15,-0.64,-1.6,0.62,0.72,1.6,-1.35,-3.12,-1.11,0.97,2.96,8.2,0.42,-3.79,-0.75,0.18,0.66,1.11,-4.04
13,120.0,0.08,"The story is a personal recollection from when the narrator was twenty-two and had just begun working at a bookstore in a small town. During a quiet afternoon alone in the store, the narrator heard a mysterious voice urging them to visit a nearby church and light a candle for their bedridden grandfather, who was being cared for by their sister while the parents were away. Initially skeptical and not particularly religious, the narrator remembered their grandmother's belief in the power of sincere prayer and decided to follow the message. Upon reaching the church, the narrator prayed earnestly for their grandfather's healing and then returned to work. However, a strong feeling compelled them to rush home, where they were astonished to find their grandfather up and speaking in the living room, having experienced an unexpected boost of energy that initiated his recovery. This moment became a significant turning point for the family, leading to the grandfather gradually regaining his strength and living several more fulfilling years. Reflecting on this experience, the narrator often wonders about the connection between their prayer and their grandfather's recovery. the incident profoundly influenced their perspective on faith and prayer. This event, which occurred nearly twenty years ago, remains a vivid memory that reinforces the notion that faith and miracles can occur when least expected, and that no one is ever truly alone in their struggles.",16.13,0.27,5.81,6.75,18.28,-1.01,-2.15,4.25,5.42,16.63,-0.04,-1.03,0.2,0.48,-0.2,0.59,-1.18,2.28,11.0,1.69,0.44,-1.09,-1.12,0.95,0.4,0.11,1.15,1.07,4.19,2.4,8.72,1.78,0.09,0.46,-0.06,8.71,-2.74,1.71,1.13,-1.08,1.43,-0.72,-0.69,3.64,0.58,1.37,-1.93,-1.01,9.69,3.4,-5.92,-1.95,-0.73,1.45
