,1,2,3,4,5,6,7,8,9,10,11,12
1,2.01,4.23,4.54,3.47,1.05,1.52,2.45,0.0,0.0,0.0,0.0,0.83
2,2.88,6.9,3.66,5.06,1.89,1.84,0.0,0.16,0.33,0.0,0.0,0.0
3,3.71,4.62,5.1,4.94,1.43,1.82,1.4,2.24,0.0,0.0,0.62,0.0
4,1.1,3.23,2.28,2.36,1.54,1.88,0.0,0.0,0.0,0.0,0.0,0.0
5,3.04,1.89,2.42,5.66,2.95,0.47,0.0,2.83,0.0,0.0,1.45,0.0
6,1.48,1.28,0.0,2.64,3.9,3.06,0.0,0.0,0.0,0.91,0.0,0.0
7,1.54,1.29,0.0,4.59,0.0,0.0,0.0,1.09,0.69,0.0,0.0,0.0
8,1.15,0.0,0.0,0.92,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0
9,0.0,0.05,2.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,1.18,0.0,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
