segment_id,segment_text,real_rec,real_caught,emulated_rec,emulated_caught,rec_difference,caught_difference
1,"Let me share a story from when I was twenty-two years old, just fresh out of college.",78,81,20,200,-58,119
2,I was staying in a small town about five miles from here.,13,14,17,50,4,36
3,I had just started my first job at a local bookstore.,92,92,20,200,-72,108
4,"It was a quiet afternoon, and I was alone in the store.",5,30,11,90,6,60
5,"My grandpa, who had been bedridden for almost a year, was at home with my sister.",77,91,19,190,-58,99
6,"She had to care for him daily, as he couldn't move around on his own.",31,81,15,130,-16,49
7,"There were only two of us siblings, my sister and me.",32,57,12,20,-20,-37
8,My parents had gone out of town for the weekend.,40,41,18,100,-22,59
9,"As I was shelving books, I suddenly heard a voice inside my head.",74,96,18,200,-56,104
10,"It said, ""If you go to the old church down the street and light a candle for your grandpa, he will get better.""",87,93,16,200,-71,107
11,"I looked around the bookstore, but no one was there.",27,39,10,20,-17,-19
12,"I continued with my work, trying to ignore the voice.",21,33,12,20,-9,-13
13,"It spoke to me again, repeating the same message.",33,83,10,150,-23,67
14,"I looked around once more, but still found no one.",5,26,11,10,6,-16
15,I decided to take a break and walk to the church.,50,94,12,200,-38,106
16,"I was only a short distance away, maybe a quarter-mile.",16,31,11,10,-5,-21
17,"As I approached the church, I hesitated for a moment.",7,37,10,90,3,53
18,I was not a particularly religious person.,46,58,14,200,-32,142
19,I remembered my grandma always saying that prayers from a sincere heart could bring miracles.,31,59,9,40,-22,-19
20,"On the other hand, she also said that prayers without faith were useless.",24,51,7,60,-17,9
21,I admitted to myself that I was far from being a saint.,8,20,5,70,-3,50
22,I had my share of mistakes and misdeeds.,5,17,2,50,-3,33
23,I thought about my grandpa and how much he meant to our family.,3,11,0,60,-3,49
24,"Finally, I went inside the church and found a candle.",27,86,1,160,-26,74
25,I knelt down in front of the altar.,12,68,0,170,-12,102
26,"I said, ""God, I don't know how to pray properly.",17,47,0,100,-17,53
27,But I am asking you with all my heart to heal my grandpa.,33,84,5,190,-28,106
28,"Please help him regain his strength and guide us in taking care of him.""",17,76,1,180,-16,104
29,"After saying my prayer, I returned to the bookstore.",34,65,1,170,-33,105
30,"I resumed my work, shelving books.",14,34,1,90,-13,56
31,"Suddenly, I felt a strong urge to go home.",58,77,7,200,-51,123
32,It was as if something was pulling me towards the house.,16,37,0,100,-16,63
33,I didn't hear any voice this time.,7,38,0,70,-7,32
34,It was just an overwhelming feeling that I needed to go.,25,41,2,140,-23,99
35,I locked up the store and rushed home.,23,59,0,60,-23,1
36,"To my surprise, I found my grandpa sitting in the living room, talking to my sister.",86,98,7,200,-79,102
37,He hadn't been able to leave his bed for months without assistance.,37,84,0,170,-37,86
38,My sister told me that he had suddenly felt a surge of energy and was able to stand up and walk.,49,75,7,160,-42,85
39,That day marked the beginning of his recovery.,30,64,8,180,-22,116
40,He gradually regained his strength and independence.,26,60,3,140,-23,80
41,It was a turning point in our lives.,4,31,0,70,-4,39
42,We became more grateful for the time we had together.,7,16,0,10,-7,-6
43,I often thought back to that day in the church.,6,27,0,90,-6,63
44,I wondered if my prayer had anything to do with my grandpa's recovery.,26,48,0,80,-26,32
45,"I couldn't be sure, but it definitely changed my perspective on faith and the power of prayer.",19,51,3,200,-16,149
46,My grandpa lived for many more years after that incident.,67,78,7,130,-60,52
47,He celebrated his ninetieth birthday surrounded by family and friends.,30,76,5,160,-25,84
48,We cherished every moment we had with him.,9,25,1,20,-8,-5
49,That experience happened almost twenty years ago.,31,45,3,180,-28,135
50,It remains a vivid memory in my mind.,8,21,2,110,-6,89
51,"My grandpa passed away a few years later, but his spirit lives on in our hearts.",29,41,3,90,-26,49
52,"Sometimes, when I'm feeling lost or uncertain, I think back to that day.",4,18,0,100,-4,82
53,I remember the power of faith and the miracles it can bring.,24,44,4,200,-20,156
54,"And I am reminded that we are never truly alone, even when it seems like we are.",17,11,7,60,-10,49
