fan_out,costa_ilya-no-summary,costa_ilya-no-summary-again
0,49,97
1,459,134
2,237,82
3,153,63
4,83,26
5,58,21
6,31,14
7,16,15
8,10,8
9,8,7
10,23,14
11,12,8
12,7,4
13,5,10
14,4,10
15,2,4
16,6,10
17,2,10
18,1,3
19,2,0
20,1,0
21,0,2
22,1,0
23,1,0
24,0,3
25,0,3
26,1,1
27,1,0
28,1,0
29,0,1
30,0,2
31,0,2
33,2,3
36,0,1
38,0,1
40,1,0
42,0,2
43,1,0
47,0,2
49,1,0
70,1,0
72,1,0
74,0,1
92,0,1
96,1,0
98,0,2
99,0,1
100,4,2
101,0,1
103,1,2
105,1,3
107,1,0
109,0,2
114,2,0
115,2,2
116,1,1
117,1,0
119,2,0
120,0,1
121,0,1
122,0,2
124,0,1
125,0,1
128,1,1
130,1,4
132,0,1
135,1,0
138,2,6
145,1,0
151,0,1
154,2,0
162,1,0
163,0,1
165,0,1
168,3,0
169,2,0
171,0,1
173,0,5
174,1,0
175,1,0
178,2,0
182,1,0
190,0,2
191,0,2
192,0,1
194,0,3
