,1,2,3,4,5,6,7,8,9,10,11
1,2.08,5.21,8.97,11.23,2.11,1.06,3.68,0.67,0.0,0.0,0.0
2,3.19,4.0,8.86,7.77,3.69,0.36,2.73,0.0,0.69,0.0,0.23
3,2.72,2.99,5.24,2.5,4.54,0.18,1.43,0.0,0.0,0.0,0.0
4,4.41,1.91,3.54,3.87,0.0,0.0,2.21,2.88,0.0,1.74,0.0
5,3.4,1.62,0.98,0.76,2.02,0.16,1.14,0.0,0.0,0.49,0.0
6,0.45,0.82,2.23,1.27,1.41,0.0,0.0,0.0,0.0,0.0,0.0
7,3.73,0.65,1.15,1.72,0.81,0.17,0.0,0.0,0.0,0.0,0.0
8,0.4,0.0,0.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.82,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.49,0.0,0.0,0.0,0.0,0.0
