,summary,rephrased_summary,total,len,rate,suffix
0,"I was working in the warehouse, stocking boxes.|I felt lightheaded and thought it was hunger.|I felt tightness and pressure in my chest.|I leaned against the wall feeling worse.|I started sweating and seeing spots.|I couldn't catch my breath and got scared.|I heard the manager calling out to me.|I tried to respond but couldn't speak.|The manager caught me as I was falling.|The manager helped me during a panic attack.","While I was busy arranging boxes in the storage facility, I began to feel dizzy, mistaking it for a sign of hunger. Suddenly, a sensation of constriction and a heavy feeling enveloped my chest. As my condition deteriorated, I propped myself against the wall. Perspiration broke out and my vision became spotty. Struggling for air, fear overtook me. The supervisor's voice reached my ears, but when I attempted to reply, words failed me. As I started to collapse, the supervisor was quick to support me, assisting me through an unexpected panic attack.",100.71,420,0.24,10_1.json
1,I was working on the warehouse floor.|I began to feel lightheaded and attributed it to hunger.|I felt tightness and pressure in my chest while working.|I leaned against a wall as the pressure increased.|I experienced spots in my vision and sweating.|I struggled to breathe and felt scared.|The manager saw me and called out to check on me.|I tried to respond but couldn't speak and started collapsing.|The manager caught me and took me to the staff room.|I felt better with rest and learned to care for myself.,"While laboring in the storage area, I started to experience a sensation of faintness, which I assumed was due to a lack of food. As I continued my tasks, I noticed a constricting sensation and a heavy feeling in my chest. Seeking support, I propped myself against a nearby wall when the discomfort intensified. My sight became spotty and I broke out in a sweat. Breathing became a struggle and panic set in. The supervisor noticed my distress and called out to me. I attempted to reply but found myself unable to articulate words, and my body began to give way. Fortunately, the supervisor caught me in time and assisted me to the employee lounge. After some time spent resting, I started to recover and realized the importance of self-care.",128.64,510,0.25,10_2.json
2,I was working on the warehouse floor.|I felt lightheaded due to hunger.|I experienced a tightness in my chest.|I started seeing spots and sweating.|I struggled to catch my breath.|I heard the manager calling out to me.|I tried to respond but couldn't speak.|The manager caught me as I collapsed.|He helped me by giving me water and rest.|I realized I had a panic attack and needed to care for myself better.,"While laboring in the storage area, a sensation of faintness overcame me, a consequence of not eating. My chest constricted uncomfortably. My vision became spotty and perspiration broke out. Breathing became a challenge. The supervisor's voice reached my ears as he shouted my name. Attempting to reply proved futile as words failed me. As I fell, he was there to support me. He provided assistance with water and a chance to recuperate. It dawned on me that I had suffered a panic attack, highlighting the importance of self-care.",89.33,407,0.22,10_3.json
3,"I was at work doing my usual job.|I was feeling lightheaded and chalked it up to hunger.|I felt a strange tightness and pressure in my chest.|I leaned against a wall, but the pressure increased.|I started seeing spots and sweating a lot.|I tried to breathe deeply but couldn't catch my breath.|I heard my manager calling out to me.|I couldn't respond as my world was going dark.|I started to drop, but my manager caught me.|The manager gave me water and helped me rest.|I learned I was having a panic attack.","While engaged in my routine work tasks, I began to experience a sensation of faintness, which I initially attributed to not eating enough. Suddenly, I was overcome by an unusual sensation of constriction and a heavy feeling in my chest. I sought support from a nearby wall, yet the sensation intensified. My vision became speckled and I broke out in profuse sweat. Despite attempting to take deep breaths, I found myself unable to draw in sufficient air. I could faintly discern my manager's voice calling to me, but I was unable to muster a reply as darkness encroached upon my consciousness. As I felt myself succumbing to the darkness, my manager swiftly intervened, catching me in time. They provided me with water and assisted me in taking a moment to recuperate. It was then that I came to understand that I had experienced a panic attack.",99.17,508,0.2,11_1.json
4,I was working on the warehouse floor.|I started feeling lightheaded.|I dismissed it as hunger.|I felt tightness in my chest.|I leaned against a wall to rest.|I began seeing spots and sweating.|I struggled to breathe.|I heard the manager calling me.|I couldn't respond due to panic.|I was caught by the manager before falling.|I learned to take better care of myself.,"While laboring in the storage area, I began to experience a sensation of faintness. Initially, I attributed it to a lack of food. Soon after, a constricting sensation enveloped my chest. Seeking support, I rested against a nearby wall. My vision became speckled and perspiration ensued. Breathing became a challenge. The voice of the supervisor reached my ears, but my panic-stricken state prevented any reply. Just as I was about to collapse, the supervisor grasped me. This incident taught me the importance of self-care.",101.27,366,0.28,11_2.json
5,I was at work in the warehouse.|I felt lightheaded and assumed I was hungry.|I felt tightness and pressure in my chest.|I leaned against the wall for support.|I saw spots and sweat dripped down my forehead.|I tried to breathe deeply but couldn't catch my breath.|I heard the manager calling out to me.|I couldn't yell back or find my voice.|I started to drop but the manager caught me.|The manager gave me water and I rested.|I realized I had a panic attack and learned to care for myself.,"While working in the storage facility, I experienced a sensation of faintness, which I attributed to hunger. A constricting sensation and a heavy feeling in my chest soon followed. Seeking stability, I braced myself against the wall. My vision became speckled and perspiration formed on my brow. Despite attempting to take deep breaths, I found myself unable to draw in enough air. The supervisor's voice reached out to me, but I was unable to respond or make a sound. As I began to collapse, the supervisor was quick to support me. After being given some water and taking time to rest, I came to the realization that I had suffered a panic attack and recognized the importance of self-care.",126.56,489,0.26,11_3.json
6,I was working in the warehouse.|I felt lightheaded but blamed hunger.|I felt tightness and pressure in my chest.|I leaned against a wall as it got stronger.|I saw spots and sweated heavily.|I tried deep breaths but struggled.|I heard the manager's voice calling me.|I couldn’t speak but the manager approached.|I started to fall but the manager caught me.|The manager took me to the staff room.|He gave me water and told me to rest.|I realized I had a panic attack and learned to care for myself.,"While laboring in the storage facility, I experienced a sensation of faintness, which I initially attributed to being hungry. A constricting sensation and a heavy pressure in my chest began to emerge. I found support against a wall as the intensity of the sensation increased. My vision became spotty and I broke out in a profuse sweat. Attempting to take deep breaths proved difficult. The sound of my supervisor's voice reached me, but when I tried to respond, I found myself unable to articulate words. As I began to collapse, my supervisor was quick to provide support and prevent me from hitting the ground. He escorted me to the lounge, offered me a glass of water, and advised me to take some time to recuperate. It was then that I came to the realization that I had experienced a panic attack, which was a wake-up call to prioritize my well-being.",134.89,496,0.27,12_1.json
7,"I was working on the warehouse floor.|I had been feeling lightheaded all day.|I felt pressure in my chest suddenly.|I leaned against a wall, feeling worse.|I was sweating and seeing spots suddenly.|I heard the manager calling out to me.|I tried to yell back but couldn't speak.|I started to drop to the ground then.|The manager caught me before I collapsed.|He brought me to the staff room to rest.|I realized I had a panic attack.|I learned to check in and take care.","Throughout the day on the warehouse floor, a sense of lightheadedness had been plaguing me. Out of nowhere, a tight sensation enveloped my chest. In response, I found support against a nearby wall as my condition deteriorated. A sudden outbreak of sweat and a visual disturbance of floating spots overtook me. The voice of the manager reached my ears as he called my name. I attempted to respond but found myself unable to utter a word. As I began to succumb to the ground, the manager swiftly intervened, catching me in my descent. He escorted me to the staff room for a period of recuperation. It was there that I came to the realization that I had experienced a panic attack, and it served as a lesson to regularly monitor and prioritize my well-being.",124.53,468,0.27,12_2.json
8,I was working in the warehouse stocking boxes.|I felt lightheaded due to not eating.|I felt a tightness and pressure in my chest.|I leaned against a wall trying to recover.|I started seeing spots and sweating.|I couldn't catch my breath and panicked.|I was scared and unsure what to do.|I heard the manager calling out.|I tried to respond but had no voice.|The manager reached me as I collapsed.|He gave me water and told me to rest.|I had a panic attack but learned to self-care.,"While I was busy arranging boxes in the storage facility, I began to feel dizzy because I hadn't eaten. A constricting sensation and a heavy feeling in my chest emerged. In an attempt to regain my composure, I propped myself against a wall. My vision became spotty and I broke out in a sweat. Struggling to breathe, I was overcome with panic. Fear gripped me as I was uncertain of what action to take. The sound of the supervisor's voice reached me, but when I tried to answer, my voice failed me. As I fell to the ground, the supervisor was by my side, offering me water and advising me to take a break. It turned out to be a panic attack, from which I learned the importance of taking care of myself.",125.54,480,0.26,12_3.json
9,I was at work doing my usual job.|I had been working for a few hours and it was getting late.|I felt lightheaded and thought I was just hungry.|I felt a tightness and pressure in my chest.|I stopped working and leaned against a wall.|The pressure grew stronger and I felt my heart pounding.|I started seeing spots and sweating a lot.|I tried to breathe deeply but couldn't catch my breath.|I heard my manager call out to me from across the warehouse.|I tried to respond but couldn't find my voice.|I started to collapse but the manager caught me.|He took me to the staff room and gave me water.|I learned it was a panic attack and to take better care of myself.,"While engaged in my routine tasks at the office, I had been diligently working for several hours and nightfall was approaching. Suddenly, I experienced a sensation of faintness, initially attributing it to hunger. However, a constricting sensation and a heavy feeling in my chest ensued. I ceased my activities and braced myself against the wall for support. The constricting feeling intensified, accompanied by a rapid heartbeat. My vision became speckled and perspiration broke out excessively. Despite attempting to take deep breaths, I found myself unable to draw a full breath. My supervisor's voice reached me from the other side of the warehouse, but when I attempted to reply, my voice failed me. As I began to faint, my supervisor was quick to support me, preventing me from hitting the ground. He escorted me to the lounge and provided me with water. It was then that I was informed I had experienced a panic attack and was advised to prioritize my well-being.",125.86,661,0.19,13_1.json
