,1,2,3,4,5,6,7,8,9,10,11
1,1.47,3.69,6.4,8.35,1.67,0.99,3.13,0.64,0.0,0.0,0.0
2,2.26,2.83,6.37,5.86,2.97,0.34,2.35,0.0,0.68,0.0,0.23
3,1.94,2.15,3.71,1.8,3.46,0.16,1.17,0.0,0.0,0.0,0.0
4,3.28,1.44,2.56,2.74,0.0,0.0,1.71,2.61,0.0,1.58,0.0
5,2.7,1.31,0.75,0.55,1.43,0.14,0.83,0.0,0.0,0.43,0.0
6,0.42,0.77,2.04,1.12,1.18,0.0,0.0,0.0,0.0,0.0,0.0
7,3.17,0.56,0.94,1.32,0.59,0.13,0.0,0.0,0.0,0.0,0.0
8,0.38,0.0,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.71,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0
