segment_id,segment_text,p-caught
1,This is a story about three of my friends,62.96%
2,that I met in 1949,100.00%
3,when I started college.,100.00%
4,"Actually I met them before that,",41.67%
5,we became friends after we all...,71.30%
6,went to school at the same place.,93.52%
7,"Previous to that during high school we'd all been high school athletes at different schools,",99.07%
8,and so we were acquainted.,89.81%
9,"But then after graduation when we all enrolled in school,",92.59%
10,"we found that the four of us were all now attending the same school,",96.30%
11,and we became quite good friends.,100.00%
12,"I was the kid from the farm,",100.00%
13,the other three guys all lived in the city.,100.00%
14,"So being big macho men that we all were,",25.00%
15,"they used to like to come out to the farm and hunt,",100.00%
16,"and they'd come out,",78.70%
17,and help me do chores and things like that.,56.48%
18,Then we'd go rabbit hunting and squirrel hunting and things of that nature.,90.74%
19,I never really enjoyed hunting.,100.00%
20,"Uh ... being born and raised on the farm I was used to the outdoors,",44.44%
21,wasn't all that exciting to me.,68.52%
22,"But these guys got a big kick out of it,",33.33%
23,so I'd go along just to be one of the group.,70.37%
24,"Things went on,",25.93%
25,"we did this for several years,",26.85%
26,"they were always coming out to the farm,",60.19%
27,and hunting.,67.59%
28,"After we'd been acquainted for several years,",62.96%
29,one of them got the idea they'd like to go bear hunting up in Canada.,100.00%
30,"Now that didn't really appeal to me,",99.07%
31,"but I'd always been one of the group,",75.00%
32,"and I couldn't find any real reason not to go,",51.85%
33,"so I left them talk me into it,",98.15%
34,wasn't too hepped up on this at all.,90.74%
35,"I don't care anything really much about hunting period,",36.11%
36,let alone bear hunting.,10.19%
37,Be about my luck the bear would wind up hunting me.,2.78%
38,"But as I said,",2.78%
39,I left them talk me into it.,69.44%
40,"So we took an airplane out of Fort Wayne,",98.15%
41,"and we flew way up into Canada some place,",98.15%
42,"and we landed on a lake,",1.85%
43,"and then we rented canoes,",100.00%
44,"and paddled for another ... day and a half it seemed to me,",50.00%
45,'till we got way up in the north woods.,74.07%
46,"Then after we ... went as far as we could in the canoes,",45.37%
47,"then we had to backpack for another ... five hundred miles I thought,",78.70%
48,'till we got to this cabin that they had rented way up there in the north woods.,97.22%
49,"And after I got there,",10.19%
50,"I was even more apprehensive than I had been even before we started,",25.00%
51,'cause I didn't really need any part of that.,10.19%
52,"That was pretty spooky looking territory, let me tell you.",20.37%
53,"So we got up there,",7.41%
54,"and got set up in the cabin,",10.19%
55,and ... got our groceries stored and everything.,3.70%
56,And after we got to discussing it,37.04%
57,those guys weren't any more hot about going out in those woods and looking for a bear than I was.,100.00%
58,"We sat around there for three or four days,",20.37%
59,"played cards,",33.33%
60,"and ate,",19.44%
61,"and slept,",18.52%
62,and we just couldn't ...,4.63%
63,no one was in the mood to go out and hunt bear,34.26%
64,'cause that's just a plain old spooky looking place.,6.48%
65,"We never ventured outside at night,",6.48%
66,we stayed right there in the old cabin.,14.81%
67,"Well after we'd been there for three or four days,",3.70%
68,"we got to talking it over,",47.22%
69,"and somebody said “Hey,",8.33%
70,if we don't go out and hunt some bear ...,12.96%
71,"we've got to find a bear to take back home with us,",10.19%
72,"or we're really going to get a bad time from the rest of the people,",22.22%
73,"'cause too many people know we'd gone bear hunting,",19.44%
74,and if we come home skunked with no bear they're really going to give us a bad time.”,8.33%
75,"Soo ... no one wanted to go out,",23.15%
76,so we all decided that we'd cut the cards.,100.00%
77,"Whoever got the high card ... would go out and get a bear,",59.26%
78,"and the rest of them would skin him butcher him and pack him back down,",7.41%
79,so we could take him home with us.,4.63%
80,"So you know who YOU KNOW WHO got the high card,",100.00%
81,the guy that didn't even want to be there in the first place.,15.74%
82,But I had agreed to play the game ...,37.96%
83,"So ... I took the old gun,",91.67%
84,and I go out bear hunting.,25.93%
85,I didn't like this at all.,4.63%
86,"I'm walking out there in the woods for hours it seems like,",14.81%
87,"and I just wasn't seeing any bears or anything,",12.96%
88,"and finally I heard a noise,",15.74%
89,"and I turned around,",34.26%
90,"and there was the biggest old bear I'd ever seen in my life,",100.00%
91,I'd never even seen a PICTURE of one THAT big.,5.56%
92,"I whipped up the gun,",50.00%
93,"and pulled the trigger,",65.74%
94,and nothing happened.,94.44%
95,I'd forgot to LOAD that turkey.,21.30%
96,Well he had ...,3.70%
97,"he just had no desires to have me in his territory,",12.04%
98,and he made for me.,11.11%
99,"Well there was nothing for me to do but run,",99.07%
100,"and I turned around,",82.41%
101,"I ran as hard as I could go,",97.22%
102,"and I thought I used to be pretty fast,",44.44%
103,"but that old bear,",53.70%
104,"man he was gaining,",70.37%
105,he was just right on my heels ...,62.96%
106,And when I got within sight of that cabin,73.15%
107,"I started yelling “OPEN THE DOOR, OPEN THE DOOR!”",65.74%
108,"Man I was whipping down there just as hard as I could go,",54.63%
109,"and that old bear right on my tail,",56.48%
110,"and they opened the door,",59.26%
111,"and I got right to the cabin door,",51.85%
112,"I made a quick turn to the left,",61.11%
113,and that old bear went right on in.,100.00%
114,"I just reached back,",67.59%
115,"and pulled the door shut,",89.81%
116,"and said “THERE HE IS FELLOWS,",84.26%
117,"YOU SKIN HIM,",80.56%
118,I'LL GO GET ANOTHER ONE!”,40.74%
119,"Now all this happened thirty years ago,",12.04%
120,and all my buddies agreed ... that I lived up to my commitment.,42.59%
121,"But can you BELIEVE,",78.70%
122,they haven't asked me to go hunting one time since that day.,100.00%
