fan_out,costa_multimedia,costa_multimedia-again
0,74,81
1,569,321
2,248,181
3,177,94
4,90,49
5,64,62
6,46,39
7,24,25
8,17,9
9,16,15
10,22,29
11,14,10
12,5,7
13,0,7
14,2,9
15,2,6
16,2,3
17,1,4
18,2,2
19,3,3
20,0,6
21,1,6
22,2,1
23,3,1
24,4,1
25,1,2
26,1,2
27,2,7
29,1,2
30,0,1
31,0,2
32,0,1
34,0,6
35,0,1
37,1,0
38,1,0
39,3,2
41,0,1
42,0,1
49,1,1
50,1,0
55,0,1
62,0,1
69,0,1
73,0,1
86,1,2
89,0,1
90,0,2
92,0,1
96,1,0
98,1,0
100,2,8
102,3,0
103,1,6
104,3,2
106,0,1
107,5,2
109,0,1
114,1,1
115,4,1
116,0,2
121,3,2
122,1,0
124,0,2
125,1,0
126,1,0
127,0,2
128,0,1
130,0,1
131,0,1
132,3,0
133,0,3
137,1,0
138,1,3
140,0,1
142,0,2
144,0,1
145,0,1
147,0,1
156,0,1
157,0,1
158,0,1
161,0,1
164,1,0
167,1,0
170,1,0
171,0,3
172,0,1
173,0,1
175,0,2
179,0,1
180,1,0
181,0,1
191,0,1
192,0,1
