segment_id,segment_text,p-caught
1,About a month ago see we were going to a church league softball game...,85.86%
2,They'd had the games all scheduled for the diamond at Homestead High School.,41.41%
3,You know where that's at?,5.05%
4,"Well we're going up Twenty­-four,",76.77%
5,"and getting ready to turn there, at Ranch Eggs,",33.33%
6,"and I was slowing down,",23.23%
7,"got my turn signal on,",26.26%
8,"and as I was slowing down,",24.24%
9,"there's this guy sitting over here to the right,",64.65%
10,coming on to Twenty­-four.,38.38%
11,Looked like he's about in his middle fifties.,51.52%
12,And he starts creeping out onto Twenty-four,57.58%
13,"and he's blocking off the lane,",72.73%
14,and he's heading for the same spot that I'm going.,23.23%
15,You know how you sit there and wait for the traffic to get by?,12.12%
16,Right there in the median?,13.13%
17,"This guy starts,",7.07%
18,"pulls out in the lane,",36.36%
19,"I thought ""you jerk""...",38.38%
20,but I hurried up and got in there ahead of him.,41.41%
21,And he sits there and waits on.,6.06%
22,Mean he's got Twenty­-four blocked.,59.60%
23,He's sitting there right in the middle of the highway.,67.68%
24,Got it blocked.,54.55%
25,"So we went on across as soon as traffic cleared,",36.36%
26,"and we're headed up there towards that diamond,",30.30%
27,"and it's about ... maybe mile, two miles... north of Twenty­-four on Aboite Center,",39.39%
28,"and this guy's following us see,",72.73%
29,as we're going up there this little hill right there.,33.33%
30,At Ranch Eggs.,32.32%
31,"We're going up this hill,",30.30%
32,and this guy's right on my tail.,77.78%
33,"And Lisa was with me,",51.52%
34,and she said “That guy is right on your tail!”,49.49%
35,"I looked in the mirror and sure enough he's right up there practically bumper to bumper,",64.65%
36,"and I'm trying to keep an eye on him,",24.24%
37,make sure he doesn't slam into me or anything.,25.25%
38,"He starts weaving back and forth,",86.87%
39,couldn't keep it in one lane.,84.85%
40,Really ...bad news.,16.16%
41,And all the time this is going on...,13.13%
42,I'm thinking how drunk driving is the number one killer of kids and all this business.,67.68%
43,How it's everybody's responsibility.,18.18%
44,So I was trying to make up my mind what to do.,45.45%
45,I was pretty sure he was drunk...,86.87%
46,at least he appeared that way...,84.85%
47,"so I figured that when we get up to this stop sign I'm going to go back and find out what his problem is,",44.44%
48,"'cause I'm thinking he's drunk,",41.41%
49,"and I know I oughta do something about it,",24.24%
50,"but at the same time if he's sick,",78.79%
51,"like maybe he's having a heart attack or something,",76.77%
52,you know.,17.17%
53,You gotta do something.,40.40%
54,"I'd really feel bad if I read the papers the next day that the guy,",49.49%
55,some guy died with a heart attack and there I was thinking he was drunk.,39.39%
56,And I didn't really want to get involved to be honest with you.,33.33%
57,"But I had made up my mind that I was going to,",39.39%
58,"so we pulled up to the stop at this sign,",57.58%
59,and right across the road stopped a sheriff's car.,84.85%
60,"So I motion for him to come over,",79.80%
61,"and they whip across the road,",46.46%
62,"and I got out the car,",61.62%
63,"walked over there,",53.54%
64,"and said to this deputy “This guy behind me is either sick or he's drunk,",82.83%
65,but he's got a problem.,62.63%
66,He can't keep his car on one side of the road.”,57.58%
67,And I said “He's got a definite problem...”,45.45%
68,So they started down there.,61.62%
69,"And as soon as he sees me get out of the car and walk over there to the police car,",33.33%
70,the guy stops way far away from the intersection.,52.53%
71,"He stops,",22.22%
72,"and he throws his car into reverse,",72.73%
73,and starts backing up.,63.64%
74,"When the cops went down there to check him out,",56.57%
75,he starts backing up going backwards down that road.,54.55%
76,"Pretty soon they catch up with him,",52.53%
77,"and he starts forward again,",60.61%
78,"and they make a U­-turn in the road and start following him,",70.71%
79,and he's just driving real slow and careful.,59.60%
80,Ha ha it's pretty comical...,34.34%
81,I don't know if they ever stopped him or not.,55.56%
