segment_ids,text,keypoint
"(1, 2)",About a month ago see we were going to a church league softball game... They'd had the games all scheduled for the diamond at Homestead High School.,Narrator recalls going to a softball game
"(3, 3)",You know where that's at?,Question about location
"(4, 7)","Well we're going up Twenty­-four, and getting ready to turn there, at Ranch Eggs, and I was slowing down, got my turn signal on,",Narrator describes the approach to turn
"(8, 10)","and as I was slowing down, there's this guy sitting over here to the right, coming on to Twenty­-four.",Observing another driver's actions
"(11, 14)","Looked like he's about in his middle fifties. And he starts creeping out onto Twenty-four and he's blocking off the lane, and he's heading for the same spot that I'm going.",Other driver's erratic behavior
"(15, 18)","You know how you sit there and wait for the traffic to get by? Right there in the median? This guy starts, pulls out in the lane,",Driver's impatience at the median
"(19, 20)","I thought ""you jerk""... but I hurried up and got in there ahead of him.",Narrator's reaction to the other driver
"(21, 24)",And he sits there and waits on. Mean he's got Twenty­-four blocked. He's sitting there right in the middle of the highway. Got it blocked.,Other driver blocks traffic
"(25, 27)","So we went on across as soon as traffic cleared, and we're headed up there towards that diamond, and it's about ... maybe mile, two miles... north of Twenty­-four on Aboite Center,",Narrator continues towards destination
"(28, 30)","and this guy's following us see, as we're going up there this little hill right there. At Ranch Eggs.",Other driver follows the narrator
"(31, 34)","We're going up this hill, and this guy's right on my tail. And Lisa was with me, and she said “That guy is right on your tail!”",Concern about the tailgating driver
"(35, 37)","I looked in the mirror and sure enough he's right up there practically bumper to bumper, and I'm trying to keep an eye on him, make sure he doesn't slam into me or anything.",Narrator keeps an eye on the tailgater
"(38, 40)","He starts weaving back and forth, couldn't keep it in one lane. Really ...bad news.",Tailgater's erratic driving continues
"(41, 43)",And all the time this is going on... I'm thinking how drunk driving is the number one killer of kids and all this business. How it's everybody's responsibility.,Narrator reflects on drunk driving
"(44, 46)",So I was trying to make up my mind what to do. I was pretty sure he was drunk... at least he appeared that way...,Debating how to handle the situation
"(47, 50)","so I figured that when we get up to this stop sign I'm going to go back and find out what his problem is, 'cause I'm thinking he's drunk, and I know I oughta do something about it, but at the same time if he's sick,",Narrator considers confronting the driver
"(51, 53)","like maybe he's having a heart attack or something, you know. You gotta do something.",Concern for the driver's health
"(54, 56)","I'd really feel bad if I read the papers the next day that the guy, some guy died with a heart attack and there I was thinking he was drunk. And I didn't really want to get involved to be honest with you.",Narrator's reluctance to get involved
"(57, 59)","But I had made up my mind that I was going to, so we pulled up to the stop at this sign, and right across the road stopped a sheriff's car.",Decision to involve law enforcement
"(60, 63)","So I motion for him to come over, and they whip across the road, and I got out the car, walked over there,",Narrator alerts a sheriff's deputy
"(64, 67)","and said to this deputy “This guy behind me is either sick or he's drunk, but he's got a problem. He can't keep his car on one side of the road.” And I said “He's got a definite problem...”",Narrator reports the problematic driver
"(68, 71)","So they started down there. And as soon as he sees me get out of the car and walk over there to the police car, the guy stops way far away from the intersection. He stops,",Driver reacts to narrator's actions
"(72, 75)","and he throws his car into reverse, and starts backing up. When the cops went down there to check him out, he starts backing up going backwards down that road.",Erratic driver attempts to flee
"(76, 79)","Pretty soon they catch up with him, and he starts forward again, and they make a U­-turn in the road and start following him, and he's just driving real slow and careful.",Police pursue the erratic driver
"(80, 81)",Ha ha it's pretty comical... I don't know if they ever stopped him or not.,Uncertain outcome of the pursuit
