recall_id,sum,mbits_to_chars,recall_text,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81
mean,163.8,0.13,,28.06,14.79,3.98,12.29,13.75,1.01,-0.69,-1.35,2.16,1.6,9.23,3.76,5.47,1.96,0.07,0.42,-0.1,0.76,-1.55,3.71,-2.14,0.34,0.44,0.1,1.89,-0.59,-9.54,3.05,-0.93,0.49,-0.13,0.62,2.84,1.69,3.8,0.89,-0.63,4.51,2.56,1.02,-0.94,4.17,-0.8,2.86,0.02,1.03,2.55,-1.55,0.51,8.8,2.47,-0.4,0.1,1.02,-0.18,0.54,-0.38,-0.81,9.79,-1.58,-0.58,1.05,-0.4,-0.52,-0.41,-0.18,1.22,0.88,2.9,6.78,0.89,1.79,-0.15,-0.76,-2.72,-0.13,1.11,-1.72,8.2,3.26,6.5
10,114.78,0.11,"The story follows a person who was driving to a church league softball game with a companion named Lisa. As they were about to make a turn onto a highway, a man in his mid-fifties began to intrude into the lane, blocking traffic. After maneuvering around him, the storyteller noticed that the man was following them closely, driving erratically and unable to stick to a lane, leading them to suspect that he might be drunk or experiencing a medical emergency. Concerned about the situation but hesitant to get involved, the narrator decided to take action at the next stop sign. When they arrived at the stop, a sheriff's car happened to be nearby. They got out and informed the deputy about the suspicious driver, who was either sick or drunk. As the police approached, the man noticed them and started reversing away from the intersection. The officers pursued him as he continued to drive slowly and cautiously. The story ends with the narrator unsure if the police ever managed to stop the erratic driver.",23.88,-2.64,4.15,5.31,3.43,1.04,-0.23,-1.84,3.27,1.55,9.38,3.18,4.4,-2.75,0.12,0.07,0.44,0.55,-1.22,0.11,-2.5,1.4,0.58,0.2,2.97,-2.02,-9.93,2.6,0.36,-0.45,-0.08,0.08,7.47,1.06,3.14,1.35,0.01,3.98,4.45,0.96,-1.21,1.71,-0.63,2.56,-0.11,1.1,1.82,-1.64,1.21,7.6,1.28,-0.54,0.69,2.13,-1.37,2.66,-0.19,0.32,9.06,-4.44,-1.73,1.37,-0.71,3.03,-1.33,-0.55,0.45,1.09,2.98,3.16,0.73,1.57,-0.03,-1.33,-0.22,-0.13,0.69,-1.29,8.71,0.5,7.98
12,127.82,0.13,"The narrator describes an incident from about a month ago when they were headed to a church league softball game at Homestead High School. While driving on Route 24 and preparing to make a turn, they encountered a middle-aged man driving erratically and blocking the lane. Despite managing to get ahead of him, they noticed that he continued to follow them closely, weaving back and forth. Concerned that the man might be either drunk or experiencing a medical emergency, the narrator decided to take action. They planned to approach the man at the next stop sign to check on him but found a sheriff's car parked there instead. The narrator alerted the deputies about the man’s unsafe driving. In response, the man suddenly reversed and tried to avoid the police. The deputies gave chase, following him as he switched back to driving forward slowly and cautiously. The story ends on a humorous note as the narrator conveys their uncertainty about the outcome of the police pursuit.",30.32,17.08,4.19,15.35,4.83,1.76,-0.55,-2.12,0.88,-1.14,8.79,1.19,7.08,-1.43,0.86,0.39,0.37,0.98,-1.47,3.74,-2.76,0.47,-0.12,0.1,1.49,-0.23,-10.26,3.01,-0.82,0.71,0.34,-0.05,-3.39,1.74,1.96,0.86,-1.24,6.66,1.47,1.45,-1.0,1.68,-1.49,2.06,-0.71,0.85,9.16,-1.58,-0.79,6.53,1.16,-0.53,0.98,2.03,-0.61,-0.45,1.11,-1.1,4.93,-2.8,0.23,-0.81,-0.76,-1.39,-1.04,-0.21,0.49,-0.12,2.02,-0.96,0.89,2.82,-0.25,-1.4,-1.64,-1.05,4.39,-1.06,8.94,3.28,3.53
16,129.86,0.11,"About a month ago, I was on my way to a church league softball game with Lisa at Homestead High School. As we were driving along Route 24, preparing to make a turn, an older man in his mid-fifties blocked the road while trying to join the highway. I managed to move past him. As we continued towards the game, we noticed this man was tailing us closely. Lisa pointed out how dangerously close he was, weaving between lanes, which made me suspect he was drunk. Concerned about the hazards of drunk driving, I contemplated addressing the situation. However, I also considered the possibility that he might be unwell, like having a heart attack, which left me hesitant to intervene. When we reached a stop sign, coincidentally, a sheriff's car was across the road. I signaled to the deputy, explaining the suspicious behavior of the man behind us. As the deputies approached the man’s car, he suddenly reversed down the road in an attempt to avoid them. Eventually, they caught up, and he started driving slowly and carefully. It was unclear if the police ever apprehended him, but the entire incident was quite an unexpected spectacle.",26.76,12.79,2.74,13.31,1.83,0.84,-1.65,-1.67,1.3,2.78,10.14,1.7,4.22,-3.37,1.78,0.5,-0.15,0.58,-2.2,1.15,-1.97,-0.08,0.65,-0.45,1.16,-0.36,-10.71,2.52,-1.13,-0.03,-0.16,0.78,8.26,3.53,4.15,0.6,-0.73,4.86,1.27,1.44,-1.07,7.85,-0.11,4.14,0.91,1.25,-0.99,-2.69,1.65,10.9,4.55,-0.71,-2.12,0.74,0.38,0.11,-0.74,-1.01,11.58,-2.02,-0.91,-0.98,-0.86,-1.67,-0.32,-0.67,0.95,1.59,0.93,-2.07,0.09,2.31,-1.16,0.02,-1.59,2.63,-1.53,-2.14,9.52,0.27,5.87
15,130.07,0.1,"About a month ago, a person was driving to a church league softball game at Homestead High School. While getting ready to turn onto the road, they encountered an older man, in his mid-fifties, who seemed to be blocking the lane as he slowly crept onto the highway. Despite thinking the man was a nuisance, they managed to maneuver around him and headed towards their destination, noticing the man began to follow them. The driver noticed the man's erratic behavior, swerving between lanes and tailgating closely. The situation was alarming as the driver suspected the man might be drunk, considering how drunk driving is a major cause of fatalities. Torn between the possibility of confronting a drunk driver and the chance that the man could be having a medical emergency, such as a heart attack, the driver was hesitant but knew action was necessary. Upon reaching a stop sign, they spotted a sheriff's car and signaled for assistance. After explaining the situation to the deputies, the man following them suddenly stopped far from the intersection and reversed his car to avoid confrontation. The police pursued him as he tried to evade them by driving slowly and carefully. While the narrative ends without knowing whether the man was stopped, it highlights the tension and decision-making involved in such encounters on the road.",24.9,10.61,4.38,3.31,4.28,1.44,-0.11,-1.14,1.18,2.06,11.56,6.45,5.59,-4.28,-0.58,0.86,-0.01,-0.14,0.61,-1.38,-3.16,-0.18,0.07,0.28,-0.12,0.23,-11.63,3.07,0.28,-0.33,-0.51,0.38,-4.5,2.19,3.83,0.08,-1.02,3.89,1.97,1.05,-0.77,12.25,-0.84,3.55,0.01,1.22,-0.75,-1.24,1.21,10.6,3.31,-0.41,0.06,-0.26,0.91,-1.01,-0.52,-1.19,10.04,-0.24,0.28,1.11,-1.04,-1.77,-0.49,-0.62,0.92,1.18,2.16,12.17,1.23,2.1,-0.28,-0.39,-2.71,-1.51,-0.74,-0.94,10.84,1.71,5.47
8,132.51,0.11,"About a month ago, the narrator was on their way to a church league softball game at Homestead High School. As they were turning off the main road onto another street, they encountered a middle-aged man who pulled out in front of them, blocking the lane. Despite the obstruction, they managed to get ahead of him. However, the man began to follow them closely, almost bumper to bumper, making it difficult for the narrator to drive safely. The man's erratic driving, swerving between lanes, led the narrator to suspect he was either drunk or experiencing a medical emergency. With concerns about the dangers of drunk driving, the narrator was unsure whether to intervene, fearing the man might be sick rather than intoxicated. Deciding to act, they were planning to confront the driver at a stop sign when they noticed a sheriff's car nearby. The narrator approached the deputies, explained the situation, and pointed out the erratic driver. As the deputies pursued him, the man backed up his vehicle to avoid them before eventually driving slowly and carefully in an apparent attempt to evade capture. The story ends without revealing whether the deputies managed to stop the man.",28.06,15.48,4.44,2.81,3.35,1.16,0.36,-2.31,1.73,0.08,7.48,0.8,5.2,-2.69,0.4,0.33,-0.03,1.62,-0.33,4.07,-1.54,-0.13,-2.08,0.43,1.67,-0.63,-10.8,2.36,-1.27,0.8,-0.22,0.61,-3.2,1.42,6.05,2.13,0.04,4.61,1.53,0.79,-0.99,10.18,-0.81,4.27,0.72,0.68,7.74,-0.67,0.93,13.42,1.45,-0.6,-0.35,1.69,0.72,-0.81,0.9,-1.19,7.43,-5.32,-0.4,1.46,0.56,-2.05,-0.57,-0.52,1.42,1.88,0.54,1.24,0.02,1.03,-0.28,-0.21,-2.14,-0.36,1.21,-0.94,10.09,1.41,5.15
9,138.63,0.1,"About a month ago, the narrator was driving to a church league softball game at Homestead High School. While approaching the turn onto a main road, he noticed an older man in a car trying to enter the roadway. The man seemed to block traffic and was heading for the same spot as the narrator. Deciding to maneuver ahead of the obstructive driver, the narrator moved on but realized the man started following them closely. Concerns grew when the man's erratic driving became apparent; he couldn't keep his car in one lane and was tailgating. The narrator thought the man might be drunk, considering the hazards of drunk driving, but also wondered if he might be experiencing a medical emergency, like a heart attack. Unsure of how to handle the situation, he planned to approach the man at the next stop sign. As luck would have it, they encountered a sheriff's car at the intersection. The narrator flagged down the officers, reported the man's behavior, and expressed concern that he was either under the influence or in need of medical help. Upon noticing the narrator speaking with the police, the suspicious driver hesitated, reversed his car, and drove backwards to distance himself, although the police pursued him. As he began driving normally, the narrator wasn't sure if the police ultimately stopped him, but found the whole scenario somewhat amusing in hindsight.",26.94,16.28,4.91,3.81,2.74,0.52,-0.2,-0.81,3.36,2.73,4.37,2.93,3.59,12.42,-0.11,0.04,0.19,0.77,-0.48,2.09,-1.91,-1.13,-1.54,-0.02,1.34,-3.88,-9.35,2.19,-0.16,0.03,-0.39,1.1,-3.29,1.71,3.03,1.03,-0.71,4.51,8.51,0.58,-1.22,7.74,-1.23,2.18,0.1,1.07,8.58,-1.7,-0.42,9.93,3.75,-0.04,-0.2,0.13,-0.02,-1.39,0.01,-3.2,10.42,-1.84,0.3,1.4,-0.16,-1.03,-0.67,0.12,1.62,-0.09,5.67,0.75,0.84,1.95,-0.53,-1.44,1.57,-0.94,-1.63,-1.71,2.57,2.74,6.91
4,139.53,0.13,"The narrator recounts an incident that happened about a month ago on their way to a church league softball game. They were driving on a road near Homestead High School when a man, appearing to be in his mid-fifties, began to block the lane they were in. The narrator managed to get ahead of him, but the man followed closely behind, driving erratically and weaving between lanes. Accompanied by Lisa, who also noticed how close the man's vehicle was, the narrator speculated that the man might be intoxicated or possibly experiencing a medical emergency. Despite not wanting to get involved, the narrator decided to act when they reached a stop sign. Conveniently, a sheriff's car was nearby, so the narrator informed the deputy about the erratic driver. As soon as the man saw the narrator approach the police car, he stopped a distance from the intersection, reversed, and tried to back away. The deputies began to pursue him, and although the man attempted to drive away slowly, humorously trying to appear careful, it's unclear if the police ever managed to stop him.",33.94,10.39,4.72,4.76,-0.2,-0.34,-0.85,-1.99,1.78,-1.12,11.29,1.68,5.2,-1.56,-0.57,0.07,0.65,1.0,-1.39,4.05,-0.92,-1.68,-1.52,0.37,2.12,-1.93,-9.75,3.19,-0.4,0.37,0.23,0.73,10.03,2.41,2.21,0.34,-0.8,4.68,1.8,0.8,-1.02,1.12,-0.9,2.03,-0.63,1.47,0.63,-1.86,-0.08,3.76,1.25,-0.37,0.72,-1.58,-1.09,4.61,0.41,-0.31,8.9,-2.85,-1.08,1.57,0.27,-0.86,-0.52,-0.27,0.99,0.95,12.38,10.86,1.9,0.66,0.0,-3.34,-3.12,-1.55,1.77,-1.74,7.85,7.9,6.91
17,142.66,0.13,"About a month ago, the narrator was driving to a church league softball game at Homestead High School with a passenger named Lisa. As they were navigating onto the highway, a man in his mid-fifties began to pull out, blocking the lane and seeming to head in the same direction. The narrator managed to get ahead of him, but the man continued to follow closely behind, making them uneasy. Noticing the man's erratic driving, the narrator suspected he might be drunk or possibly experiencing a medical emergency, like a heart attack. Deciding to do something about it, they planned to address the man at the next stop sign. Conveniently, a sheriff's car was parked across the road, so the narrator flagged it down and explained the situation, mentioning the man's inability to keep his vehicle in one lane. As the deputies approached, the man stopped far from the intersection, backed up, and then tried to drive away very slowly when the police followed him. It was unclear whether the police eventually stopped the man, but the situation was quite hectic, leaving an impression on the narrator.",29.64,13.43,3.74,5.95,0.47,0.11,-0.39,-1.88,2.98,1.16,8.62,2.01,6.69,3.69,-0.54,0.79,-0.02,2.4,-2.44,4.43,-2.29,-0.89,1.06,0.5,0.25,-1.67,-9.38,2.92,-0.09,0.43,-0.15,0.88,8.0,1.09,3.16,1.3,-0.76,3.22,7.63,-0.34,-1.72,0.56,-1.46,2.22,-0.35,0.73,6.34,-1.3,-0.55,5.44,3.73,-0.13,1.45,1.36,-1.25,-0.21,0.54,-2.01,10.94,-2.97,-0.35,1.66,-0.77,-2.22,-0.12,-0.25,1.17,2.07,-0.23,14.44,1.75,-1.1,-0.12,1.55,-5.53,0.54,2.33,-3.15,4.7,1.88,7.34
14,143.24,0.13,"A month ago, we were on our way to a church league softball game at Homestead High School. As we were about to make a turn onto Twenty-four at Ranch Eggs, I noticed a man, who appeared to be in his mid-fifties, trying to merge onto the same road. He blocked the lane and seemed to be heading towards the same direction we were going. I managed to get ahead of him, but he ended up following us closely. As we drove on, I realized this man was tailgating us, and his erratic driving made me suspect he was either drunk or having some kind of medical issue. Concerned about safety but also unsure of what to do, I decided that if I saw a police officer, I would report him. Luckily, I noticed a sheriff's car at a stop sign, so I flagged them down and explained the situation. Once the man saw me interacting with the police, he stopped far from the intersection, put his car in reverse, and began backing away. The officers pursued him as he switched between reverse and forward slowly and carefully. It was unclear whether they managed to stop him, but the scene was somewhat comical despite the seriousness of the situation.",27.74,15.58,3.53,13.49,30.79,-0.13,-1.42,-1.04,2.97,2.14,11.39,1.28,7.57,6.17,-0.64,0.09,-0.68,1.26,-2.72,5.43,-3.14,-1.49,-1.57,0.34,-0.18,-2.69,-12.25,2.22,-0.91,0.58,-0.57,1.41,-3.75,2.06,3.19,1.2,-0.67,2.53,1.27,1.09,-0.71,0.54,-0.78,2.97,-0.27,1.49,-5.79,-2.33,0.62,3.47,0.66,-0.52,-0.02,0.73,-0.98,-0.33,-0.58,-2.21,7.57,-1.03,0.11,1.87,-0.43,-2.62,-0.79,-1.19,0.97,0.95,4.19,11.08,0.9,2.76,0.3,-2.24,-2.6,-1.02,3.13,-2.22,5.59,5.26,5.27
