recall_id,clause_id,clause_text,rephrased_text
0,1,Someone and their partner were driving on Twenty Four,A couple was traveling on Route Twenty Four
0,2,"to a softball game at the church,","heading to a church softball match,"
0,3,when they noticed a guy was tailing their car.,when they realized someone was following their vehicle closely.
0,4,"They tried to lose him,","They attempted to shake him off,"
0,5,but he continued tailing them.,yet he persisted in pursuing them.
0,6,"However, the other guy crashed his car,","Eventually, the pursuer's vehicle crashed,"
0,7,and he didn't move.,and he remained motionless.
0,8,"Not wanting to leave the man to die,","Unwilling to abandon the individual to his fate,"
0,9,"though, they called the police,","they decided to alert the authorities,"
0,10,who turned up soon enough.,who arrived promptly.
0,11,The other man drove off,The man in the other car drove away
0,12,and was never caught.,and remained at large.
1,1,A man was in the car,There was a man inside the vehicle
1,2,"with a woman named Lisa,","accompanied by a woman called Lisa,"
1,3,going to watch a softball game,en route to a softball match
1,4,driving down the Twenty-Four.,cruising along Highway Twenty-Four.
1,5,A man in his mid fifties was pulling in,A middle-aged man was entering the road
1,6,from somewhere,coming from an unspecified location
1,7,blocking the road,obstructing the pathway
1,8,with his car on the Twenty-Four,with his vehicle on Highway Twenty-Four
1,9,when the driver in the car with Lisa drove in,as the man driving with Lisa entered the scene
1,10,and overtook him.,and passed him by.
1,11,The man in his mid fifties began following their car,The middle-aged man started to tail their vehicle
1,12,"bumper to bumper,","closely from behind,"
1,13,swaying between the two lanes on the road.,weaving across both lanes of the thoroughfare.
1,14,"The driver and Lisa thought the man was either drunk,","The motorist and Lisa suspected the man might be intoxicated,"
1,15,"which led him to think about how drunk driving is a major killer of young people on the roads,","which made him reflect on the high fatalities among youth due to drunk driving,"
1,16,or the man was either sick,or possibly the man was unwell
1,17,having a heart attack or something similar.,suffering from a cardiac event or something of that nature.
1,18,The driver didn't want to somehow read the papers the next day,The driver had no desire to read in the newspapers the following day
1,19,and find out the mid fifties man had actually suffered a heart attack,that the man in his fifties had indeed had a heart attack
1,20,"and died as a result,","and had passed away as a consequence,"
1,21,thinking he was actually just drunk driving.,believing he had merely been driving under the influence.
1,22,Soon they see a Sheriff nearby while driving,"Shortly thereafter, they spotted a Sheriff while on the road"
1,23,and so he waves to the sheriff to get his attention,and he gestured to the sheriff to capture his notice
1,24,and pull over,"and to make a stop,"
1,25,and tells him about the mid fifties man following them,then informed him about the man in his fifties tailing them
1,26,and that he's either sick or drunk,mentioning that he might be ill or intoxicated
1,27,and to go check on him.,and requested that he check on him.
1,28,As soon as the deputy approaches the mid fifties man's car,The moment the officer approached the older man's vehicle
1,29,he begins to put his car in reverse,he started to shift his car into reverse
1,30,and go backwards as quickly as possible.,and retreated at a high speed.
1,31,The driver and Lisa appear humoured,The driver and Lisa seemed amused
1,32,and not knowing whether the police had ever caught or reached the man in his fifties.,unsure if the police had ever apprehended or caught up with the fifty-something man.
2,1,About a week ago I was headed to a softball game at Homestead Diamond put on by my church.,"Roughly seven days prior, I was en route to a church-organized softball match at Homestead Diamond."
2,2,I was driving down Twenty-Four,I was navigating along Route Twenty-Four
2,3,"and was waiting to turn,","and paused to make a turn,"
2,4,but a car started going for the spot at the same time.,when suddenly another vehicle attempted to occupy the same space simultaneously.
2,5,I quickly drove past him,I swiftly maneuvered around him
2,6,and he just stayed stopped blocking the highway.,"and he remained stationary, obstructing the roadway."
2,7,Then the driver started following us.,"Subsequently, the motorist began to tail us."
2,8,I was with my friend Lisa,Accompanied by my companion Lisa
2,9,"and she said the vehicle was right on my tail, like almost bumper to bumper.","she remarked that the car was extremely close behind us, nearly touching our bumper."
2,10,And he was driving all over the place,The driver was swerving erratically
2,11,and not staying in his lane.,and failing to maintain his lane.
2,12,"I thought for sure he was drunk,","I was convinced he was inebriated,"
