index,keypoints,keypoints_len_in_chars,original_mbits,rephrased_mbits,"produced
key points","required
key points",attempt
0,I was pushed into the lake by my best friend during our camping trip. I laughed uncontrollably after seeing the frog on the shore. I promised revenge saying my friend would get hers soon enough.,194,53.25,65.82,3,3,1
1,I got pushed into the lake by my friend during a camping trip. I laughed uncontrollably when my friend handed me the frog. I promised to get revenge on my friend for pushing me.,177,45.04,61.24,3,3,2
2,My best friend pushed me into the lake. I laughed uncontrollably after she handed me a frog. I promised to get revenge on her.,126,49.74,68.37,3,3,3
3,"My best friend pushed me into the lake. We were on our annual summer camping trip enjoying a peaceful afternoon. She dared me to catch a frog, but I refused. I laughed uncontrollably and promised revenge after emerging from the water.",234,71.74,79.64,4,4,1
4,My best friend pushed me into the lake during our camping trip. She dared me to catch a frog near the water's edge. I found it funny when she handed me the frog and we laughed. I promised to get revenge by telling her she would get hers soon enough.,249,50.6,69.6,4,4,2
5,My best friend pushed me into the lake. She dared me to catch a frog by the water's edge. I emerged from the water and laughed uncontrollably after she caught the frog. I told her she would get her revenge soon enough.,218,56.53,60.73,4,4,3
6,My best friend pushed me into the lake. We were on our annual summer camping trip. She dared me to catch a frog while I was eating. She nudged me into the water because I refused. I laughed and planned my revenge when I got out.,228,52.2,72.68,5,5,1
7,My best friend pushed me into the lake. This happened during our annual summer camping trip. She dared me to catch a frog by the lake. I was pushed into the water while eating my sandwich. I laughed and promised to get my friend back.,234,61.03,75.38,5,5,2
8,My best friend pushed me into the lake. We were on our summer camping trip enjoying the afternoon. She spotted a frog and dared me to catch it. I wasn't interested but she nudged me into the water. I laughed uncontrollably and planned my revenge.,246,71.47,80.53,5,5,3
9,My best friend pushed me into the lake. We were enjoying a peaceful afternoon on our camping trip. She dared me to catch a frog by the water's edge. I refused because I was eating a sandwich. She snuck up and nudged me into the water. I laughed uncontrollably and planned to get revenge.,287,80.37,86.15,6,6,1
10,My best friend pushed me into the lake. We were on our annual summer camping trip. She dared me to catch a frog near the water. I refused because I was eating a sandwich. She nudged me into the water unexpectedly. I laughed and threatened playful revenge.,255,57.0,80.18,6,6,2
11,My best friend pushed me into the lake. This happened during our annual summer camping trip. She dared me to catch a frog. I refused because I was eating my sandwich. She nudged me into the water instead. I laughed and planned to get revenge.,242,60.6,81.16,6,6,3
12,My best friend pushed me into the lake. We were on our annual summer camping trip. She dared me to catch a frog by the water's edge. I declined because I was eating a sandwich. She snuck up behind me and nudged me into the lake. She handed me the frog after I emerged from the water. I laughed and promised her revenge.,319,68.84,97.95,7,7,1
13,My best friend pushed me into the lake. This happened during our annual summer camping trip. She spotted a frog near the water's edge. She dared me to catch the frog. I wasn't interested and continued eating my sandwich. She gave me a little nudge into the water. I laughed uncontrollably and planned revenge.,309,86.96,90.51,7,7,2
14,My best friend pushed me into the lake. This happened during our annual summer camping trip. We were enjoying a peaceful afternoon. She dared me to catch a frog near the water's edge. I refused because I was eating my sandwich. She nudged me into the lake to get my attention. I planned to get revenge after laughing about it.,326,83.32,94.15,7,7,3
15,My best friend pushed me into the lake. This happened during our annual summer camping trip. We were enjoying a peaceful afternoon. She spotted a frog near the water's edge. She dared me to catch the frog. I told her I wasn't interested. She snuck up behind me and gave me a nudge. I emerged from the water and laughed uncontrollably.,334,102.98,105.1,8,8,1
16,"My best friend pushed me into the lake. This happened during our annual summer camping trip. We were enjoying a peaceful afternoon. She dared me to catch a frog near the water's edge. I refused because I was eating my sandwich. She pushed me into the lake after I said no. When I got out, she handed me the frog. I laughed uncontrollably and planned revenge.",358,99.52,108.53,8,8,2
17,"My best friend pushed me into the lake. This happened during our annual summer camping trip. We were enjoying a peaceful afternoon. She dared me to catch a frog. I told her I wasn't interested. She sneaked up behind me and nudged me. After emerging, she handed me the frog. I laughed and planned to get revenge.",311,96.4,114.76,8,8,3
18,My best friend pushed me into the lake. This happened during our annual summer camping trip. We were enjoying a peaceful afternoon. She spotted a frog and dared me to catch it. I told her I wasn't interested. She snuck up behind me and gave me a nudge. I emerged from the water and saw the frog. She handed me the frog as I laughed uncontrollably. I planned to get revenge and warned her.,388,122.27,133.63,9,9,1
19,My best friend pushed me into the lake. This happened during our annual summer camping trip. We were enjoying a peaceful afternoon. She spotted a frog near the water's edge. She dared me to catch the frog. I told her I wasn't interested. She snuck up behind me and pushed me in. She scooped up the frog and handed it to me. I laughed uncontrollably and planned my revenge.,372,111.38,116.02,9,9,2
20,My best friend pushed me into the lake. This happened during our annual summer camping trip. We were enjoying a peaceful afternoon. My friend dared me to catch a frog. I told her I wasn't interested. She snuck up behind me and nudged me. I emerged from the water laughing. She handed me the frog. I promised revenge and said she'll get hers.,341,99.87,113.22,9,9,3
21,My best friend pushed me into the lake. This happened during our annual summer camping trip. We were enjoying a peaceful afternoon. She spotted a frog and dared me to catch it. I told her I wasn't interested. She snuck up and pushed me into the water. I emerged from the water and saw a frog on the shore. She scooped up the frog and handed it to me. I laughed uncontrollably. I vowed to get revenge by telling her to wait.,423,128.01,136.57,10,10,1
22,"My best friend pushed me into the lake. It happened during our annual summer camping trip. We were enjoying a peaceful afternoon at our favorite spot. She spotted a frog near the water's edge. She dared me to catch the frog. I told her I wasn't interested because I was eating a sandwich. She snuck up behind me and pushed me into the water. When I emerged, she scooped up the frog and handed it to me. I laughed uncontrollably after the incident. I told her she would get her revenge soon.",490,132.65,133.4,10,10,2
23,"My best friend pushed me into the lake. It happened during our annual summer camping trip. We were enjoying a peaceful afternoon by the lake. She spotted a frog near the water's edge. She dared me to catch the frog. I had just sat down to eat my sandwich. I told her I wasn't interested in catching the frog. She sneaked up behind me and nudged me into the water. When I emerged, she handed me the frog. I laughed uncontrollably and planned my revenge.",452,120.96,127.95,10,10,3
24,My best friend pushed me into the lake. This happened during our annual summer camping trip. We were enjoying a peaceful afternoon. She spotted a frog near the water's edge. She dared me to catch the frog. I told her I wasn't interested. She snuck up behind me. She gave me a little nudge. I emerged from the water laughing uncontrollably. She scooped up the frog and handed it to me. I promised to get revenge.,411,118.36,116.41,11,11,1
25,My best friend pushed me into the lake. This happened during our annual summer camping trip. We were enjoying a peaceful afternoon. She spotted a frog near the water's edge. She dared me to catch the frog. I told her I wasn't interested. Friends don't always take no for an answer. She snuck up behind me and nudged me into the lake. There was a frog on the shore. She scooped up the frog and handed it to me. I laughed uncontrollably and vowed revenge.,453,146.75,142.87,11,11,2
26,My best friend pushed me into the lake. This happened during our annual camping trip. We were enjoying a peaceful afternoon. She spotted a frog near the water's edge. She dared me to catch the frog. I told her I wasn't interested in catching the frog. She snuck up behind me and pushed me. I emerged from the water. She scooped up the frog and handed it to me. I laughed uncontrollably at the situation. I promised to get revenge on her soon.,442,114.59,120.68,11,11,3
27,My best friend pushed me into the lake. This happened during our annual summer camping trip. We were enjoying a peaceful afternoon. She spotted a frog near the water's edge. She dared me to catch the frog. I told her I wasn't interested. Friends don't always take no for an answer. She snuck up behind me and pushed me. I emerged from the water to see a frog on the shore. She scooped up the frog and handed it to me. I couldn't help but laugh uncontrollably. I told her she would get her revenge soon.,502,158.44,151.85,12,12,1
28,My best friend pushed me into the lake. This happened during our summer camping trip. We were enjoying a peaceful afternoon. She spotted a frog near the water's edge. She dared me to catch the frog. I was not interested in catching the frog. She snuck up behind me and nudged me. I emerged from the water laughing uncontrollably. She handed me the frog she caught. I couldn't stop laughing at the situation. I decided to get revenge on her. I warned her she would get hers soon enough.,485,112.03,120.4,12,12,2
29,"My best friend pushed me into the lake. This happened during our annual camping trip. We were enjoying a peaceful afternoon. She spotted a frog near the water's edge. She dared me to catch the frog. I was not interested because I was eating. Friends sometimes don't take no for an answer. She snuck up behind me and nudged me. When I emerged, she handed me a frog. I laughed uncontrollably at the situation. I decided to get revenge on her. I told her she would get hers soon.",476,153.36,148.7,12,12,3
30,My best friend pushed me into the lake. This happened during our summer camping trip. We were enjoying a peaceful afternoon. She spotted a frog near the water. She dared me to catch the frog. I refused because I was eating a sandwich. Friends don't always take no for an answer. She snuck up behind me. She gave me a little nudge into the water. I emerged from the water with a frog nearby. She scooped up the frog and handed it to me. I laughed uncontrollably at the situation. I planned to get revenge on her soon.,516,135.78,146.7,13,13,1
31,My best friend pushed me into the lake. This happened during our annual summer camping trip. We were enjoying a peaceful afternoon. She spotted a frog near the water's edge. We were at our favorite spot in the woods. She dared me to catch the frog. I had just sat down to eat my sandwich. I told her I wasn't interested. She didn't take no for an answer. She snuck up behind me and nudged me. I emerged from the water to find a frog on the shore. She scooped up the frog and handed it to me. I couldn't help but laugh uncontrollably.,533,171.04,181.93,13,13,2
32,My best friend pushed me into the lake. This happened during our annual summer camping trip. We were enjoying a peaceful afternoon. She spotted a frog near the water's edge. She dared me to catch the frog. I was not interested because I was eating a sandwich. Friends sometimes do not take no for an answer. She snuck up behind me and nudged me into the lake. I emerged from the water. There was a frog on the shore. She scooped up the frog and handed it to me. I laughed uncontrollably. I told her she would get her revenge soon enough.,537,164.2,161.5,13,13,3
33,My best friend pushed me into the lake. This happened during our annual summer camping trip. We were enjoying a peaceful afternoon. She spotted a frog near the water's edge. She dared me to catch the frog. I had just sat down to eat my sandwich. I told her I wasn't interested. Friends don't always take no for an answer. She snuck up behind me. She gave me a little nudge. I emerged from the water. She scooped up the frog and handed it to me. I couldn't help but laugh uncontrollably. I told her she would get hers soon enough.,529,175.04,168.21,14,14,1
34,My best friend pushed me into the lake. This happened during our summer camping trip. We were enjoying a peaceful afternoon. She spotted a frog by the water's edge. She dared me to catch the frog. I was eating my sandwich. I told her I wasn't interested. Friends don't always take no for an answer. She snuck up behind me. She gave me a little nudge. I emerged from the water. There was a frog on the shore. She scooped it up and handed it to me. I vowed to get my revenge.,473,140.78,145.92,14,14,2
35,My best friend pushed me into the lake. This happened during our annual summer camping trip. We were enjoying a peaceful afternoon. She spotted a frog near the water's edge. She dared me to catch the frog. I told her I wasn't interested. Friends don't always take no for an answer. She snuck up behind me and nudged me into the water. I emerged from the water. There was a frog on the shore. She scooped up the frog and handed it to me. I couldn't help but laugh uncontrollably. I naturally planned to get revenge. I told her she'll get hers soon enough.,554,179.28,163.02,14,14,3
36,"My best friend pushed me into the lake. This happened during our annual camping trip. We were enjoying a peaceful afternoon. She spotted a frog near the water's edge. We were at our favorite spot in the woods. She dared me to catch the frog. I had just sat down to eat my sandwich. I told her I wasn't interested in catching it. Friends don't always take no for an answer. She snuck up behind me and nudged me into the water. When I emerged, there was a frog on the shore. She scooped up the frog and handed it to me. I couldn't help but laugh uncontrollably. I planned to get revenge. I told her she would get hers soon enough.",628,206.18,200.88,15,15,1
37,My best friend pushed me into the lake. This happened during our annual summer camping trip. We were enjoying a peaceful afternoon. She spotted a frog near the water's edge. She dared me to catch the frog. I was eating my sandwich. I told her I wasn't interested. Friends don't always take no for an answer. She snuck up behind me. She gave me a little nudge. I emerged from the water. She scooped up the frog. She handed me the frog. I couldn't help but laugh uncontrollably. I said she would get hers soon enough.,515,171.22,160.36,15,15,2
38,My best friend pushed me into the lake. This happened during our annual summer camping trip. We were enjoying a peaceful afternoon. She spotted a frog near the water's edge. She dared me to catch the frog. I had just sat down to eat my sandwich. I told her I wasn't interested. She didn't take no for an answer. She snuck up behind me and nudged me. I emerged from the water. There was a frog on the shore. She scooped it up and handed it to me. I couldn't help but laugh uncontrollably. I decided to get revenge. I told her she'd get hers soon enough.,552,179.93,178.4,15,15,3
