segment_id,segment_text,recall_id,recall_text,recall_len,max_clause_id,mbits_original_narrative,segment_text_rephrased,mbits_rephrased_narrative
1,My best friend pushed me into the lake.,55780ee6fdf99b4cbc0aef95,My best friend pushed me into a lake on our annual camping trip to our favourite place. What happened was she dared me to push a frog but I was eating my sandwich so told her no. She gave me a little nudge and I fell in. I got out of the lake and she picked the frog and handed it to me. I laughed uncontrollably and said I would get revenge.,342,14,20.01, My best friend shoved me into the lake.,34.79
2,This happened during our annual summer camping trip,55780ee6fdf99b4cbc0aef95,My best friend pushed me into a lake on our annual camping trip to our favourite place. What happened was she dared me to push a frog but I was eating my sandwich so told her no. She gave me a little nudge and I fell in. I got out of the lake and she picked the frog and handed it to me. I laughed uncontrollably and said I would get revenge.,342,14,6.34, It occurred during our yearly summer camping excursion.,5.57
3,and we were enjoying a peaceful afternoon.,55780ee6fdf99b4cbc0aef95,My best friend pushed me into a lake on our annual camping trip to our favourite place. What happened was she dared me to push a frog but I was eating my sandwich so told her no. She gave me a little nudge and I fell in. I got out of the lake and she picked the frog and handed it to me. I laughed uncontrollably and said I would get revenge.,342,14,1.44, We were relishing a tranquil afternoon.,0.23
4,"The reason it all began,",55780ee6fdf99b4cbc0aef95,My best friend pushed me into a lake on our annual camping trip to our favourite place. What happened was she dared me to push a frog but I was eating my sandwich so told her no. She gave me a little nudge and I fell in. I got out of the lake and she picked the frog and handed it to me. I laughed uncontrollably and said I would get revenge.,342,14,2.55, The incident started because,4.5
5,she spotted a frog near the water's edge or,55780ee6fdf99b4cbc0aef95,My best friend pushed me into a lake on our annual camping trip to our favourite place. What happened was she dared me to push a frog but I was eating my sandwich so told her no. She gave me a little nudge and I fell in. I got out of the lake and she picked the frog and handed it to me. I laughed uncontrollably and said I would get revenge.,342,14,2.73," she noticed a frog close to the shore, or",4.8
6,- this was at our favorite spot in the woods -,55780ee6fdf99b4cbc0aef95,My best friend pushed me into a lake on our annual camping trip to our favourite place. What happened was she dared me to push a frog but I was eating my sandwich so told her no. She gave me a little nudge and I fell in. I got out of the lake and she picked the frog and handed it to me. I laughed uncontrollably and said I would get revenge.,342,14,4.41, - this was at our preferred spot in the forest -,6.61
7,and she dared me to catch it.,55780ee6fdf99b4cbc0aef95,My best friend pushed me into a lake on our annual camping trip to our favourite place. What happened was she dared me to push a frog but I was eating my sandwich so told her no. She gave me a little nudge and I fell in. I got out of the lake and she picked the frog and handed it to me. I laughed uncontrollably and said I would get revenge.,342,14,3.8, and she challenged me to grab it.,4.71
8,I had just sat down to eat my sandwich,55780ee6fdf99b4cbc0aef95,My best friend pushed me into a lake on our annual camping trip to our favourite place. What happened was she dared me to push a frog but I was eating my sandwich so told her no. She gave me a little nudge and I fell in. I got out of the lake and she picked the frog and handed it to me. I laughed uncontrollably and said I would get revenge.,342,14,7.58, I had just settled down to enjoy my sandwich,4.84
9,and I told her I wasn't interested.,55780ee6fdf99b4cbc0aef95,My best friend pushed me into a lake on our annual camping trip to our favourite place. What happened was she dared me to push a frog but I was eating my sandwich so told her no. She gave me a little nudge and I fell in. I got out of the lake and she picked the frog and handed it to me. I laughed uncontrollably and said I would get revenge.,342,14,1.43, and I declined her challenge.,2.77
10,"'Course friends, y'know, they don't always take no for an answer.",55780ee6fdf99b4cbc0aef95,My best friend pushed me into a lake on our annual camping trip to our favourite place. What happened was she dared me to push a frog but I was eating my sandwich so told her no. She gave me a little nudge and I fell in. I got out of the lake and she picked the frog and handed it to me. I laughed uncontrollably and said I would get revenge.,342,14,-2.58, You know how it is with friends; they often don't accept a refusal.,-3.54
11,So that's when she snuck up behind me,55780ee6fdf99b4cbc0aef95,My best friend pushed me into a lake on our annual camping trip to our favourite place. What happened was she dared me to push a frog but I was eating my sandwich so told her no. She gave me a little nudge and I fell in. I got out of the lake and she picked the frog and handed it to me. I laughed uncontrollably and said I would get revenge.,342,14,-0.98, That's when she stealthily approached me from behind,-0.16
12,and gave me a little nudge.,55780ee6fdf99b4cbc0aef95,My best friend pushed me into a lake on our annual camping trip to our favourite place. What happened was she dared me to push a frog but I was eating my sandwich so told her no. She gave me a little nudge and I fell in. I got out of the lake and she picked the frog and handed it to me. I laughed uncontrollably and said I would get revenge.,342,14,2.39, and pushed me slightly.,4.65
13,"When I emerged from the water, there was a frog on the shore,",55780ee6fdf99b4cbc0aef95,My best friend pushed me into a lake on our annual camping trip to our favourite place. What happened was she dared me to push a frog but I was eating my sandwich so told her no. She gave me a little nudge and I fell in. I got out of the lake and she picked the frog and handed it to me. I laughed uncontrollably and said I would get revenge.,342,14,-3.36," As I got out of the water, I saw a frog on the bank,",-4.27
14,she just scooped it up,55780ee6fdf99b4cbc0aef95,My best friend pushed me into a lake on our annual camping trip to our favourite place. What happened was she dared me to push a frog but I was eating my sandwich so told her no. She gave me a little nudge and I fell in. I got out of the lake and she picked the frog and handed it to me. I laughed uncontrollably and said I would get revenge.,342,14,2.68, she quickly picked it up,3.37
15,and handed it to me.,55780ee6fdf99b4cbc0aef95,My best friend pushed me into a lake on our annual camping trip to our favourite place. What happened was she dared me to push a frog but I was eating my sandwich so told her no. She gave me a little nudge and I fell in. I got out of the lake and she picked the frog and handed it to me. I laughed uncontrollably and said I would get revenge.,342,14,1.91, and presented it to me.,3.12
