segment_id,segment_text,real_rec,gpt4o_all,gpt4,gpt4o_idxmx
1,My best friend pushed me into the lake.,90.91,100.0,100.0,100.0
2,This happened during our annual summer camping trip,69.7,97.44,100.0,100.0
3,and we were enjoying a peaceful afternoon.,25.25,71.79,0.0,33.33
4,"The reason it all began,",8.08,58.97,10.0,0.0
5,she spotted a frog near the water's edge or,72.73,89.74,100.0,88.89
6,- this was at our favorite spot in the woods -,28.28,51.28,30.0,0.0
7,and she dared me to catch it.,61.62,76.92,90.0,55.56
8,I had just sat down to eat my sandwich,56.57,71.79,90.0,44.44
9,and I told her I wasn't interested.,56.57,53.85,90.0,22.22
10,"'Course friends, y'know, they don't always take no for an answer.",30.3,41.03,30.0,0.0
11,So that's when she snuck up behind me,32.32,46.15,40.0,11.11
12,and gave me a little nudge.,75.76,43.59,80.0,55.56
13,"When I emerged from the water, there was a frog on the shore,",49.49,28.21,70.0,11.11
14,she just scooped it up,47.47,17.95,80.0,0.0
15,and handed it to me.,45.45,20.51,80.0,11.11
16,And . . .; I couldn't help but laugh – uncontrollably.,57.58,46.15,100.0,100.0
17,"And naturally, the first thing to do was to get revenge,",31.31,7.69,10.0,11.11
18,"and I said, ""Just you wait,"" I said, ""you'll get yours soon enough.""",66.67,43.59,100.0,77.78
