recall_id,sum,recall_text,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
mean,56.09,,20.02,3.34,1.57,3.85,7.91,1.86,0.2,2.47,-0.19,1.13,-0.37,-0.06,5.56,1.56,-0.1,0.95,0.63,5.76
60a91a7fbccaa6f7ea138a1c,6.710000000000001,Friends were on their annual trip when one of the friends decided to surprise one with the frog. The other friend was not happy with the incident and decided she would revenge on her.,5.49,2.73,-2.15,2.27,2.67,0.56,-4.43,0.23,-0.66,0.3,-0.04,-1.17,0.37,1.37,-1.17,-3.84,1.93,2.25
613b0345b71875844ee7fbe3,11.89,2 friends went away on a camping trip 1 fell in the water this was due to her seeing a frog,11.21,-0.31,-0.85,5.83,11.25,-0.89,-5.57,-1.88,-2.56,-1.63,-1.42,-0.57,1.61,-0.38,-0.67,-1.37,0.49,-0.4
60670075662d19e13a79d7e9,16.32,"Friends in a camp, something with a frog, laugh uncontrollably.",8.1,-0.22,0.86,1.88,3.06,0.46,-0.22,-0.14,-1.33,1.26,-0.18,-0.73,-0.98,-0.97,-1.39,9.56,-2.13,-0.57
5fb2808bf1937b872c6ad534,18.41,Two friends were sitting by the lakeside and one dared the other to catch a frog. The other friend refused to touch the frog that's when he was pushed into the lake.,16.63,-1.02,0.52,3.98,2.01,1.11,4.36,-1.16,0.16,-2.18,-2.97,-1.0,2.0,0.3,-0.01,-4.01,0.45,-0.76
5fc48f75214f5d8dbc69f27e,19.05,We were camping at a lake. My friend spotted a frog and was dared to catch it. They caught it. They did something to me. They'll get theirs soon enough.,12.39,1.92,-3.23,3.78,6.7,0.62,0.34,-3.38,-3.16,-0.22,-2.89,-1.19,-0.18,0.45,-0.92,-2.1,0.61,9.51
5fb3a3c38a7d5903b43c1949,19.05,Went to a summer camp with my best friend and she dared me to scoop a frog out of the water whilst I was eating my sandwiches,13.55,-1.02,1.48,2.7,5.28,0.74,2.25,6.58,-4.69,1.17,-4.1,-0.87,-0.19,1.03,0.05,-2.59,-1.81,-0.51
5e9fd839311b8018f88c99eb,22.32,my friend pushed me into the lake because she thought she spotted a frog. so she challenged to jump into the lake to catch the frog!,21.5,-3.56,1.56,4.33,15.59,-5.46,0.15,-1.27,-4.61,-0.71,-1.55,-0.97,1.78,-0.21,-0.85,-1.91,-0.47,-1.02
5d10a559017b2a000179ecb6,22.96,"The two girls were at a camping trip which was part of their annual holiday. They were looking at a frog near to the water`s edge. One girl pushed the other girl in the water and when she emerged, she saw the frog there. She promised the other girl revenge for pushing her in the water.",15.14,4.75,0.5,3.97,8.21,0.28,-3.7,-4.68,-2.15,-2.98,-2.02,-1.1,8.48,-4.77,-0.9,-3.88,1.92,5.89
63b84157bb3eb77c442413e8,23.37,A friend and myself were out in the woods for the day and she challenged me to catch a frog. After a bit of laughing she pushed me into the lake to which we had cycled to in the woods. As I dragged myself out she spotted the frog and grabbed him to hand to me. This resulted in much laughter as the absurdity of the situation hit us. It was a good day spent with a good friend.,17.98,-3.11,0.5,2.12,6.97,5.34,4.04,-5.36,-4.48,-0.57,-2.06,-0.67,4.51,2.19,1.52,-0.57,-3.96,-1.02
641c2b936dc70fab01d77dc6,24.55,"I and my friend went out, and then we saw a frog, then she gave me a nudge, you know friends cannot get no for an answer, I said to myself I will give her a payback.",9.38,-2.55,-0.76,3.8,10.57,0.58,-0.92,-0.46,-0.67,5.43,-1.18,0.23,-0.35,1.03,-0.37,-4.28,3.79,1.28
59a66a62cf8b8d0001771fcd,25.45,a lady was eating a sandwich by the edge of some water when her friend pushed her in.,15.99,-1.16,4.36,1.66,-0.65,1.02,-2.07,6.09,-0.43,-0.59,0.09,-0.56,2.12,-0.33,0.13,-2.13,1.78,0.13
5d27b8fee5af0b00157f41a6,27.9,"My best friend found a frog on the lake, it was her favorite camping spot.",11.52,1.29,-1.32,4.39,10.76,4.94,-3.03,0.76,-1.41,-2.26,-1.66,-0.82,5.38,2.44,-0.36,-1.83,-0.98,0.09
