segment_id,segment_text,p-caught
1,We moved down to Third and Wharton.,100.00%
2,We had gotten moved,14.68%
3,"but it was like – you remember I told you my father drank,",100.00%
4,"but it was still day,",0.92%
5,"and after he had gotten in and put the furniture where it was supposed to go, my mother left, to go to market to get some food to bring into the house.",100.00%
6,And my father went to take the horses – take the team of horses back.,100.00%
7,But he didn't come home.,99.08%
8,"He – stopped somewhere on – I dunno,",2.75%
9,but he – how he – why he wasn't in the house.,3.67%
10,And of course I was left there with the kids.,66.06%
11,Well no sooner did my mother get out of the house – my father went first – then – oh it was such an awful crash came through the window.,100.00%
12,And I – and I looked and it was a big stone.,97.25%
13,And then of course they – they – well they stoned the house.,65.14%
14,And I had sense enough to get the kids into the stairway so that they wouldn't get hurt by flyin' glass.,100.00%
15,"And I said to them, “Now you stay there.",70.64%
16,Don't move 'cause nothing will reach you here.,70.64%
17,And I'm gonna go and see if I can find mom” –,96.33%
18,(We call our mother mom.),4.59%
19,And they were crying,2.75%
20,and carryin' on.,2.75%
21,"I was scared to death,",99.08%
22,I really was frightened out of my wits.,99.08%
23,"And I didn't know what to do,",7.34%
24,but I remember saying a prayer as I went out the front door because I didn't know what was gonna hit me when I went out that door.,21.10%
25,And I ran –,34.86%
26,I was ten years old at the time this happened –,13.76%
27,"I ran to Fourth street, because I knew my mother wa-",100.00%
28,"They had push carts in those days, on Fourth street.",4.59%
29,And it was a Jewish neighborhood,2.75%
30,and they – they stayed open until – until all hours.,2.75%
31,"Because they would, you know, however much money they could get they wanted.",0.00%
32,So uh that's where she was going to do her shopping.,22.94%
33,And I finally found my mother.,94.50%
34,I did find her.,81.65%
35,And while I was trying to tell her what had happened,10.09%
36,a policeman went by.,36.70%
37,And my voice was such that you could hardly make out what I was saying.,6.42%
38,"I was so nervous and – and – my voice was shaking so,",12.84%
39,and he wanted to find out what ha- what was wrong with me.,21.10%
40,And then when he understood what the situation was he turned to my mother,21.10%
41,"and says, “This is a bad neighborhood.",100.00%
42,It's Irish.”,74.31%
43,"And he said, “They're known to do things like that,",79.82%
44,Better move out of there.”,100.00%
45,"My mother said, “I just moved in, how am I gonna move out?”",9.17%
46,"He says, “I dunno.”",7.34%
47,"He says, “But they don't want any black people in there.”",17.43%
48,An' he didn't say black 'cause they didn't use black then.,3.67%
49,But “they don't want anybody in there.”,3.67%
50,"So uh, she said, “Well you're the law.",5.50%
51,You're supposed to protect us.”,4.59%
52,"He says, “I can't do anything with it.”",56.88%
53,He was Irish himself.,31.19%
54,“I can't do anything about it.”,15.60%
55,"So my mother said um, “Where is the uh precinct you work from?”",47.71%
56,And he told her.,4.59%
57,I forgot now.,2.75%
58,I was right there with her,4.59%
59,but I've forgotten where he told her.,2.75%
60,"So uh she said, “Well if you can't do anything to help me, I'll go see who – if I can't find someone else to help me.”",39.45%
61,"Well in those days black people were so cowed by circumstances an' uniforms and white people, you know, they uh many times didn't assert themselves.",27.52%
62,But thankfully my mother was not one of those kind.,77.06%
63,And she – well I always thought of her as an educated person which she was because she was the only one I knew who had completed high school.,83.49%
64,She went to Lackawanna high school.,8.26%
65,"And this was – let me see what year was this happening – well it must have been nineteen twenty-five, so you can see what – what the times were.",4.59%
66,"And we went – she took me, and we went to the police station.",94.50%
67,And they also had police wagons with horses attached to them. Believe it or not in those days.,0.92%
68,"So my mother said, to the captain, “What are you going to do about it?”",11.93%
69,"And he says, “Well lady there's nothing we can do about it.”",91.74%
70,"And she says, “You mean to tell me that I have to live under those circumstances and there's nothing that you can do about it?”",33.03%
71,"She says – he says, “Well uh the only thing I can tell you to do is to move.”",26.61%
72,"He says, “Because” – he said to me, “Did you see anyone?”",0.92%
73,"And I said, “No.”",0.92%
74,"He says, “Well how can – how can you” – to my mother – “how can you do anything if you don't know who – who to put the blame on?”",18.35%
75,"An' he says, “I'm sure there was more than one person.”",2.75%
76,"So my mother said, “Well I don't know what I'm going to do.”",0.92%
77,"She says, “But one thing I know I'm not going to do is move. Because I have no money to move with.”",81.65%
78,"They took all we had to, to pay the rent.",69.72%
79,In that house you had to pay in advance.,3.67%
80,"And she said, “If they didn't want me there they should not have rented the house to me.",74.31%
81,Now the real estate agent should be accountable.”,52.29%
82,"So anyhow, she said to him, “Well I know one thing you can do.”",9.17%
83,"And he says, “What's that?”",3.67%
84,"She says, “You can take me home.”",14.68%
85,"He said, “Take you home?”",4.59%
86,"She said, “Yes in the police patrol.”",40.37%
87,So – I guess they figured “Let's get this lady out of here because she's talking loud and long.”,8.26%
88,And they had never come up with anybody like that.,5.50%
89,So they put us in the police patrol,99.08%
90,and they took us home.,98.17%
91,We weren't far from – from where it was – maybe Fifth street – from where we had moved.,5.50%
92,"And – course with the horses and the police patrol, and the clang –",2.75%
93,they had a bell that clanged. Clang clang clang –,2.75%
94,you know they told you about the trolley that went “Clang.”,2.75%
95,"Well this police patrol that bell they had, it went “Clang clang clang.”",2.75%
96,And um all the neighbors came running out to see what was happening.,2.75%
97,And of course they saw the man came around the back –,2.75%
98,"I can see it right now – from where he was sitting up front there where the horses came around,",2.75%
99,and opened the door in the back.,2.75%
100,And they had a long door in the back where you had to come down steps to get out the back of the – of this police patrol.,2.75%
101,Well we got out of that police patrol –,2.75%
102,Before the patrol ever left my mother turned,99.08%
103,"and faced all those people that were standing around,",97.25%
104,"and she says, “Why you're doing this to me I don't know.”",84.40%
105,"She says, “I know that I am different from you, color wise,",77.98%
106,"but in every other respect I'm just the same as you are,",77.98%
107,and all I'm trying to do is provide a home for my family.”,71.56%
108,"She told them that they had rented the house,",38.53%
109,"she told them how much money she had paid,",36.70%
110,she had told them that was all the money she had.,52.29%
