recall_id,recall_chunk,narrative_chunk
66dbaacdf336df22101e14d3,THE Woman's daughter died.,"My daughter died. It’ll be twenty-eight years this month. The thirtieth of this month, yeah."
66dbaacdf336df22101e14d3,"She'd been in hospital with appendicitis and her sister went to visit,","She died at Methodist Hospital. She had an operation for appendicitis. It was late Saturday afternoon when they operated, very late. Sunday morning, my oldest daughter, Victoria, went to the hospital to see how she was."
66dbaacdf336df22101e14d3,"then her mother got a call to say she can pick her daughter up from hospital,","So, when she was walking around to come home after ten days, I was waiting for the call from the hospital. I didn’t have a phone then. The lady from the store who had a phone called me, “Mrs. Costa,” at aquarter to five at night. “Mrs. Costa, they just called you from the hospital. Go Pick Marie up. She’s discharged.”"
66dbaacdf336df22101e14d3,so she took in a dress for her daughter and a coat.,"And I went myself. You know, I had the coat on my arm. She was operated on in March – No, April! So that was the thirtieth. She was operated – ten days before, so that would be the twentieth. The twentieth of April, right? It was kind of chilly. Oh, and I had everything in a bag, and I had the coat on my arm and her dress hanging on my arm."
66dbaacdf336df22101e14d3,She saw another woman in the hospital who had a gallbladder op and was in a bad way.,"So I sat down, and I was praying for another lady in the hospital that had an operation for her gall bladder. She lived near my sister, and she had ten children. They had said she was in very bad shape."
66dbaacdf336df22101e14d3,The woman had 10 children so the mother in this story prayed that she would be ok.,"So I sat down, and I was praying for another lady in the hospital that had an operation for her gall bladder. She lived near my sister, and she had ten children. They had said she was in very bad shape. I prayed, “Oh dear God, don’t take that mother away from her children.”"
66dbaacdf336df22101e14d3,Then a nurse aide came rushing for towels and the mother thought it was for the other woman.,"Then a little nurse’s aide went to the closet and got some blankets. I started getting the chills, and I was thinking about it, when the aide said to the nurse, “Oh, she’s going into a cold sweat now.”"
66dbaacdf336df22101e14d3,But it was for her daughter.,"The nurse hung up the phone and came to me. She said, “Mrs. Costa, has your daughter ever had a fainting spell?” “Oh my God!” I said, “Don’t tell me you’re running for my daughter!” “Yes,” she said, “come on in.” So, I went into the room."
66dbaacdf336df22101e14d3,"She had died, suddenly.","And just as I turned my back, my daughter passed away. She was getting ready to go home. I had the clothes and everything ready."
66dbaacdf336df22101e14d3,The woman was in shock and screaming and couldn't believe what had happened.,"I said, “What did you do, kill my daughter? You killed her! You killed her!” That’s what I kept yelling. ... I was screaming. My hair was all pulled out. I went hysterical, you know what I mean? ... And I was in the main hallway, at the office. I was all pulled apart. ... I was so hysterical. I was banging my head against the wall and everything. They had to grab me."
66dbaacdf336df22101e14d3,She was told she got out of bed and then had pain in her leg and couldn't see.,"So, they went to get her out of bed, and she passed out, and they had to put her back in bed. See, here, she never – I don’t know if they knew or what, but I blame them for the blood clot she got, taking her out of bed. ... And how did they figure how Marie died? The girl who was walking with Marie, told the doctor that Marie was saying goodbye to Arlene. And all Marie said to that girl was, “Oh, I’ve got a pain in my leg and I can’t see.”"
66dbaacdf336df22101e14d3,And then she died.,"And just as I turned my back, my daughter passed away."
66dbaacdf336df22101e14d3,She was still screaming and telling the nurse and doctor that they'd killed Marie.,"It came – just poured from her – I said, “What did you do, kill my daughter? You killed her! You killed her!” That’s what I kept yelling. ... So, she came in and she said – I said, “You killed my daughter – what did you do to her?”"
66dbaacdf336df22101e14d3,The doctor tried to give her a shot of something to calm her down but she refused.,"One doctor wanted to give me a shot. I said, “Get out of here, I’ll kick you,” I said. “You killed my daughter, now you want to kill me?”"
66dbaacdf336df22101e14d3,The mother was distraught.,"I was screaming. My hair was all pulled out. I went hysterical, you know what I mean? ... I was so hysterical. I was banging my head against the wall and everything. They had to grab me."
66dbaacdf336df22101e14d3,The mother knew all the nurses as she'd had 3 operations there in a short time.,"Another nurse came over. See, they all knew me. I had three operations in no time, not even a year. And I knew all the nurses."
66dbaacdf336df22101e14d3,There was confusion at the hospital and they were ringing the mother telling her to pick her daughter up as she'd been discharged.,"The hospital kept calling. The people in the office didn’t know what had happened yet. They kept calling the store, trying to reach us. They asked, “When is the mother coming to pick up Marie? She’s discharged.”"
