recall_id,recall_chunk,narrative_chunk
67b5c6ec6311c086aa61cd96,It was a cold winter day in April.,"She was operated on in March – No, April! So that was the thirtieth. She was operated – ten days before, so that would be the twentieth. The twentieth of April, right? It was kind of chilly."
67b5c6ec6311c086aa61cd96,My daughter was rushed to the hospital after collapsing on the ground.,"And how did they figure how Marie died? The girl who was walking with Marie, told the doctor that Marie was saying goodbye to Arlene. And all Marie said to that girl was, “Oh, I’ve got a pain in my leg and I can’t see.” And then Marie collapsed."
67b5c6ec6311c086aa61cd96,I didn't know what was wrong or what I should do.,"She said, “We don’t know what happened, Mrs. Costa.” She took me away from the bed. The nurse said to me, “Talk to her.” I said, “Talk to her? My daughter’s dying, what am I supposed to tell her?” And I was screaming."
67b5c6ec6311c086aa61cd96,Her room was shared with another girl and her mother.,
67b5c6ec6311c086aa61cd96,I prayed that her daughter was going to be okay.,"So I sat down, and I was praying for another lady in the hospital that had an operation for her gall bladder. She lived near my sister, and she had ten children. They had said she was in very bad shape. I prayed, “Oh dear God, don’t take that mother away from her children.” I was praying for her, you know."
67b5c6ec6311c086aa61cd96,I cant imagine that kind of pain as a mother.,
67b5c6ec6311c086aa61cd96,The doctors said she wasn't doing well and had multiple blood clots.,"See, here, she never – I don’t know if they knew or what, but I blame them for the blood clot she got, taking her out of bed.

Later, they said it was a blood clot."
67b5c6ec6311c086aa61cd96,They moved me to another room and told me my daughter isn't going to make it.,"So, she came in and she said – I said, “You killed my daughter – what did you do to her?” She said, “We don’t know what happened, Mrs. Costa.” She took me away from the bed."
67b5c6ec6311c086aa61cd96,I was screaming that they killed her after it happened.,"And the beads of sweat – honest to God, not to exaggerate, they were that big. It came – just poured from her – I said, “What did you do, kill my daughter? You killed her! You killed her!” That’s what I kept yelling.

And just as I turned my back, my daughter passed away."
67b5c6ec6311c086aa61cd96,They tried to calm me down.,"And I was in the main hallway, at the office. I was all pulled apart. One doctor wanted to give me a shot. I said, “Get out of here, I’ll kick you,” I said. “You killed my daughter, now you want to kill me?” Another nurse came over. See, they all knew me. I had three operations in no time, not even a year. And I knew all the nurses. “Mrs. Costa, please, take –” “Get out!” I said, “Don’t you dare come near me.”"
67b5c6ec6311c086aa61cd96,I remember I had so many heavy layers on and I felt like I weighed a million pounds.,"Oh, and I had everything in a bag, and I had the coat on my arm and her dress hanging on my arm."
67b5c6ec6311c086aa61cd96,Everything was a blur after that.,
67b5c6ec6311c086aa61cd96,I had to tell my husband next.,"My husband was sitting on the step. He asked, “What’s the matter? What happened to you?” Well, my hair was all pulled, and my face – I was a mess. I didn’t know what I had done to myself. I said, “Mike, we lost Marie. Marie died.”"
67b5c6ec6311c086aa61cd96,He collapsed of a heart attack when I told him the news.,"I said, “Mike, we lost Marie. Marie died.” It was just a shock. My husband had a heart attack. Yes, he had a heart attack."
67b5c6ec6311c086aa61cd96,My other daughter Rita was just making a coffee when she heard.,"And Rita was – I was cooking, I said, “Rita, finish the cooking.” Daddy will be home soon.” He was working down in the yard. I said, “And put a big pot of coffee on,” because she had been wishing for coffee."
67b5c6ec6311c086aa61cd96,Everyone was screaming with pain.,"So when I got home – they took me home. I was screaming in the car. I couldn’t get out, you know, I couldn’t – I was screaming! Everybody came out, coming out of their doors because they could hear the screams."
67b5c6ec6311c086aa61cd96,My son had one of the worst reactions to the news.,"Then my son, Michael, yeah. That night. Right there, my Michael came, and my Michael collapsed. He had a heart attack too, no kidding."
67b5c6ec6311c086aa61cd96,We sat all of her aunts and uncles down together in the tea room as well.,"My two sisters were here, waiting until about half-past four. They waited because they knew she was coming home that day, waiting for the call.

So, I got home and called everybody, told them what happened."
58404fd8ad98e40001ce915f,This was a story about a woman whose daughter was ill in the hospital.,"My daughter died. It’ll be twenty-eight years this month. The thirtieth of this month, yeah. She died at Methodist Hospital. She had an operation for appendicitis."
58404fd8ad98e40001ce915f,The mother was concerned that the doctors had got the daughter out of bed too soon which caused her to become worse and eventually caused her death.,"Sunday morning, my oldest daughter, Victoria, went to the hospital to see how she was. She was still under ether. Back then, they used a lot of ether. There was a chair there. They were just starting to get people out of bed, you know. So, Victoria saw the chair, and she said to the nurse, “What’s this chair doing here?” The nurse said, “Well, we’ve got to get her out of bed.” She said, “What are you talking about? She’s still under ether.” “She’s too sick.” But the nurse said, “Well, that’s the doctor’s orders.” So, they went to get her out of bed, and she passed out, and they had to put her back in bed. See, here, she never – I don’t know if they knew or what, but I blame them for the blood clot she got, taking her out of bed."
58404fd8ad98e40001ce915f,The family were awaiting news of the daughter and were expecting here to come home.,"So, when she was walking around to come home after ten days, I was waiting for the call from the hospital. I didn’t have a phone then. The lady from the store who had a phone called me, “Mrs. Costa,” at aquarter to five at night. “Mrs. Costa, they just called you from the hospital. Go Pick Marie up. She’s discharged.”"
58404fd8ad98e40001ce915f,"The father had been working all day in the yard, and the other daughter had been told to go and get a cake and put a pot of coffee on.","And Rita was – I was cooking, I said, “Rita, finish the cooking.” Daddy will be home soon.” He was working down in the yard. I said, “And put a big pot of coffee on,” because she had been wishing for coffee. ... So I said, “Put a pot of coffee on, and send for some cake from the bakery.”"
58404fd8ad98e40001ce915f,The mother went to the hospital to pick up her daughter and was told to wait by the nurses.,"And I went myself. You know, I had the coat on my arm. ... Oh, and I had everything in a bag, and I had the coat on my arm and her dress hanging on my arm. ... But when I got there, the nurse said to me, “Sit down, Mrs. Costa, sit here for a while.” So I sat down"
58404fd8ad98e40001ce915f,As she waited she prayed for another woman who was also in the hospital who was sick and had a lot of children.,"and I was praying for another lady in the hospital that had an operation for her gall bladder. She lived near my sister, and she had ten children. They had said she was in very bad shape."
58404fd8ad98e40001ce915f,The mother prayed for this woman.,"I prayed, “Oh dear God, don’t take that mother away from her children.” I was praying for her, you know."
58404fd8ad98e40001ce915f,"The mother then found out her daughter had died and was distraught, it was unclear what had killed her but the daughter had been up visiting another patient when she became ill again.","The nurse hung up the phone and came to me. She said, “Mrs. Costa, has your daughter ever had a fainting spell?” “Oh my God!” I said, “Don’t tell me you’re running for my daughter!” “Yes,” she said, “come on in.” So, I went into the room. ... I said, “What did you do, kill my daughter? You killed her! You killed her!” ... She said, “We don’t know what happened, Mrs. Costa.” ... And just as I turned my back, my daughter passed away. She was getting ready to go home. ... And how did they figure how Marie died? The girl who was walking with Marie, told the doctor that Marie was saying goodbye to Arlene. And all Marie said to that girl was, “Oh, I’ve got a pain in my leg and I can’t see.” And then Marie collapsed. Later, they said it was a blood clot."
58404fd8ad98e40001ce915f,The mother was hysterical and was banging her head against the wall.,"I went hysterical, you know what I mean? ... I was so hysterical. I was banging my head against the wall and everything. They had to grab me."
