recall_id,recall_chunk,narrative_chunk
67727a80c7d8eee59166d596,Mary's daughter had to go to hospital to have an operation.,"My daughter died. It’ll be twenty-eight years this month. The thirtieth of this month, yeah. She died at Methodist Hospital. She had an operation for appendicitis. It was late Saturday afternoon when they operated, very late."
67727a80c7d8eee59166d596,She ended up being in hospital for 10 days.,"So, when she was walking around to come home after ten days, I was waiting for the call from the hospital."
67727a80c7d8eee59166d596,She was only 18 at the time.,She was only eighteen years old.
67727a80c7d8eee59166d596,She then got the call to come and pick her up but they didn't have a phone so the hospital call the local store to pass the message on.,"So, when she was walking around to come home after ten days, I was waiting for the call from the hospital. I didn’t have a phone then. The lady from the store who had a phone called me, “Mrs. Costa,” at aquarter to five at night. “Mrs. Costa, they just called you from the hospital. Go Pick Marie up. She’s discharged.”"
67727a80c7d8eee59166d596,When she went to pick up Maria (her daughter) from the hospital it turned out Maria had died while she was waiting.,"And I went. But when I got there, the nurse said to me, “Sit down, Mrs. Costa, sit here for a while.” So I sat down, and I was praying for another lady in the hospital that had an operation for her gall bladder. She lived near my sister, and she had ten children. They had said she was in very bad shape. I prayed, “Oh dear God, don’t take that mother away from her children.” I was praying for her, you know. Then a little nurse’s aide went to the closet and got some blankets. I started getting the chills, and I was thinking about it, when the aide said to the nurse, “Oh, she’s going into a cold sweat now.” The nurse hung up the phone and came to me. She said, “Mrs. Costa, has your daughter ever had a fainting spell?” “Oh my God!” I said, “Don’t tell me you’re running for my daughter!” “Yes,” she said, “come on in.” So, I went into the room. And my daughter was on the bed with her bedroom slippers and her housecoat on. And the beads of sweat – honest to God, not to exaggerate, they were that big. It came – just poured from her – I said, “What did you do, kill my daughter? You killed her! You killed her!” That’s what I kept yelling. And the doctor rushed in, see, they were trying to get the doctor, you know. She was a lady doctor. Dr. Schwartz actually did the operation, but she was his assistant, Dr. Montique. She was a lady doctor. So, she came in and she said – I said, “You killed my daughter – what did you do to her?” She said, “We don’t know what happened, Mrs. Costa.” She took me away from the bed. The nurse said to me, “Talk to her.” I said, “Talk to her? My daughter’s dying, what am I supposed to tell her?” And I was screaming. My hair was all pulled out. I went hysterical, you know what I mean? She was only eighteen years old. Beautiful girl, you can see from her picture. And just as I turned my back, my daughter passed away. She was getting ready to go home. I had the clothes and everything ready."
67727a80c7d8eee59166d596,It was later found out it was a bloody clot that caused the death.,"And how did they figure how Marie died? The girl who was walking with Marie, told the doctor that Marie was saying goodbye to Arlene. And all Marie said to that girl was, “Oh, I’ve got a pain in my leg and I can’t see.” And then Marie collapsed. Later, they said it was a blood clot."
67727a80c7d8eee59166d596,"Mrs Costa broken down and was going crazy, her husband was waiting at home for the mother and daughter to come home but they didn't.","And I was in the main hallway, at the office. I was all pulled apart. One doctor wanted to give me a shot. I said, “Get out of here, I’ll kick you,” I said. “You killed my daughter, now you want to kill me?” Another nurse came over. See, they all knew me. I had three operations in no time, not even a year. And I knew all the nurses. “Mrs. Costa, please, take –” “Get out!” I said, “Don’t you dare come near me.” I was so hysterical. I was banging my head against the wall and everything. They had to grab me.

My husband was waiting for her. He came home, went upstairs to shave and wash, then sat on the step, waiting. “When is the mother coming?” The hospital kept calling. The people in the office didn’t know what had happened yet. They kept calling the store, trying to reach us. They asked, “When is the mother coming to pick up Marie? She’s discharged.”"
67727a80c7d8eee59166d596,There other daughter went to the hospital to see where they were and found out that Maria had died and she collapsed as well.,"So they came back to the hospital to look for us. Rita said, “Gee, that’s strange,” she said, “Mother must’ve gotten really worked up about Marie.” You know, I’ve always had a bad heart. “Mother must’ve gotten so upset about Marie, she probably made herself sick,” Rita thought. So she came over with my son-in-law, in the car. And I was in the main hallway, at the office. I was all pulled apart. ... Then they brought me to the office, see. When Rita came in and saw me like that, she asked, “Mother, what happened?” I said, “We lost Marie. Marie died.” Well, that’s this one. This is a picture of Rita. She went down like lightning. Dropped to the floor, and that’s a marble floor. She went down like lightning."
67727a80c7d8eee59166d596,When they both eventually came back to the house and informed the family what had happen her husband had a heart attack and so did her son.,"So when I got home – they took me home. I was screaming in the car. I couldn’t get out, you know, I couldn’t – I was screaming! Everybody came out, coming out of their doors because they could hear the screams. My husband was sitting on the step. He asked, “What’s the matter? What happened to you?” Well, my hair was all pulled, and my face – I was a mess. I didn’t know what I had done to myself. I said, “Mike, we lost Marie. Marie died.” It was just a shock. My husband had a heart attack. Yes, he had a heart attack. Then my son, Michael, yeah. That night. Right there, my Michael came, and my Michael collapsed. He had a heart attack too, no kidding."
67727a80c7d8eee59166d596,Her two sisters were also there and were a mess when they were told the news,"My two sisters were here, waiting until about half-past four. They waited because they knew she was coming home that day, waiting for the call. My younger sister had brought an orange for Marie, and I had never seen an orange like it. It was a big orange, like that. She said, “Mary, look, when they call you, when you pick Marie up, let us know, and we’ll come over.” I said, “All right.” So, I got home and called everybody, told them what happened. ... So they were waiting for my call, you know, but instead, I sent my son James, he was little then. I said, “Go tell Aunt Millie and Aunt Jenny.” They had cleaned the pavement, and done the cement work, and they were cleaning the pavement. They said, “Here comes little Jamie,” and now they said, “Maybe he’s come to tell us Marie’s home.” But when he got there, the poor kid’s eyes were all red. They said, “James, what’s the matter, honey? Why are you crying?” “Aunt Jenny, Aunt Millie, Marie died,” he said. Well, my sisters and my mother, you know, they were all alive. It was a shock to everybody."
