recall_id,text_original,c_original,n_original,text_again,c_again,n_again
67665f7b0329bd3e30515ad2,"The story was about the death of mrs costa's daughter marie, who died 28 years back of blood cloth resulting from surgeries treating her of injuries she had from an accident. Mrs costa had previously had 3 different operations in the same hospitals and knew the nurses there. She was so distraught by the death of marie that her daughter came looking for her at the hospital with her son in law. She refused taking shots from the doctors because she blames them of her daughters death, ""get out"" was her response. when she told her husband of marie's death, he had a heart attack, same with her son too, her daughter fell at the hospital, a fall that affected her leg. She would have called her brother inlaw who was an undertaker but he passed",22,27,I ACTUALLY CANNOT RECALL THE STORY ANYMORE,2.0,0.0
673a1dcffde7de9c08f6d2e6,"Marrie was hospitalized and later died of blood clothing but her mother was in shock and believed the death was caused by the Nurse and doctors at the hospital, Marrie was just eighteen years old and seen from her photo while her sister Rita was twenty eight,  the mother claimed she had done operation three times without anything happens and was surprised how Marrie just died , the mother screamed at the hospital. the father, Micheal, and Mike were all waiting for their return at home until the screaming of the mother alert them that Marrie has died with her hair falling apart, at the hospital of methodisth  where Dr Schwart and Doctor Donque works the incident happened, the sibling of the mother bought a big Orange that the mother has never seen before, at the hospital there was another patients the mother secretly prayed for their quick recovery. the lady from the store was was surprised with the death and she described how Marrie called her Mrs coasta",22,141,Victoria was in the hospital and the nurse has issue with her. I think the relative accused the nurse of causing more harm to the patient. And I think the issue were later rectified ,5.0,10.0
6658c4239af9537eefdfbcc9,"The narrator's daughter died in hospital, she's in hospital and was expected to come home but died in the hospital. The narrator is not happy and wants to burn the hospital down. She tells her husband who then has a heart attack, as does her son. Her other son goes to tell his aunts what happened and she goes to the shop and the shop worker always talks about her daughter when she goes in.",12,58,If I'm honest I don't remember anything about this story. I have a vague memory of a woman going into work to meet a friend but that's about it.,6.0,0.0
5a6c8047e70ca900017acdae,"A lady’s daughter went in for routine surgery and died 10 days later. They said it was a blood clot. When she told her husband and son, they both had heart attacks.",5,7,I do not remember this at all. I think it’s like noise was a story that went off on many tangents so it was hard to follow,6.0,194.0
67fbe860ceaf5c3054dd9654,"Marie died in April from a blood clot
Her mother went to collect her from the hospital but she died as she arrived.
The mother's husband died too of a heart attack
The mother was called Mrs Costa
She had two sisters",10,46,I only remember that the daughter died in the hospital and the mother was very angry about her treatment,6.0,37.0
67503701c4ef8958767a58d9,my daughter died they killed her the nurse and the doctor did not take a very good care of her oops they have killed Marrie she is unable to drink what she likes to drink coffee seeing her shows how sick she is very sad and my husband later had hearth attack and also died and my son also ,12,25,Early in the morning her daughter fall sick and was taking to the hospital the doctor really try their best but she later give up the woman was in shock and can't really believe her daughter is gone,8.0,152.0
66d31a1b0515fe747830bab9,"marie died 28 years ago at the methodist hospital, she was 30 years old. Her mother Mrs Costa wan very upset to the point of being hysterical.Her other daughter Victoria was going to visit her on the day she died. Mrs Costas freind Rita was waiting at her hous. Mrs Costa spoke to a lady doctor called Dr Swartz who told her Marie died from a blood clot. Mrs Costas son James ran to see his Aunt Millie and his Aunt Jenny to tell them the news",11,53,the lady lost her daughter claire to sepsis in hospital. Her daughter was being looked after by a freind at the time. It was in April that she passed away. The mother was terribly upset,9.0,185.0
5cb67a7ab73e8a001507fae5,"This story is being told by Mrs. Costa, a mother who lost her eighteen year old daughter Maria 28 years ago after a surgery for an appendix removal.  Maria died from blood clots in her leg.  It was a shock for everyone in the family that this occurred.  It was a shock for all those that knew Maria and the family as well as she was so young.  The mother is reflecting on what happened and how everyone was impacted especially herself.  How she lost it at that time and laid the blame on the doctors, female doctors.",12,130,If I am being honest I am not remembering this story at all.  A lady who lost her daughter - nothing is coming to mind at all in reference to this prompt.  I am sorry but I have nothing here to relate.  I hope this does not reflect bad on me or cause an issue with my participation.,9.0,7.0
64772fe9752146745277bc45,"twenty eight years ago Mrs Costa's daughter marie died.  she blamed the hospital because they got her out of bed while she was still in etha. there was a chair and when mrs costa asked why there was a chair they said she had collapsed after they got her out of bed.  i asked why they got her out of bed as she was still sick. she got her dress and coat to take to the hospital after they called her to be collected.  she put a big pot of coffee on ready for marie to come home as she mentioned she wanted coffee.  she told her son to keep the dinner ready for her husband who will be home soon.  when he got home he went upstairs to change and shave and waited on the step.  when she got to the hospital, marie was waving at the window and then went to say her goodbyes to everyone.  Mrs Costa had had 3 operations in a year at the hospital.  she was praying for a neighbour who was just about to have an operation.  she had a large family.  when she got in the hospital the nurses were there to explain her daughter was dying.. mrs costa lost control and shouted at the nurses and doctors that they had killed her.  they wanted to know how marie had died but mrs costa told them if they touched her daughter she would kill them and burn down the hospital not caring who was inside.   when she saw her daughter who had died she had large beads of sweat on her.  her leg was solid.  they think she had a blood clot.  mrs costa was histerical and her hair was pulled out and her face was a mess.  when she went home her husband asked her what was wrong and when she told him their daughter was dead he had a heart attack.  her son went to mrs costas 2 sisters to tell the news, he was upset and teary eyed.  her 2 sisters came over, one had the largest orange she had ever seen.",22,107,i think she lost her daughter while she was out shopping.  she went home and spoke to various people and the police.  i honestly cannot recal hardly anything of this. sorry,9.0,172.0
645e967fad9bc8bdc1a16ac0,"I went to the hospital to see my daughter Marie, it was the 28th of the month, she had been very sick and the doctors didn't know what was wrong with her, they said to me Mrs Costa we are not sure what is wrong with your daughter. She then started to get better and they said she could come home, I took her nice dress and clothes for her to come home in, there was a chair in front of her bed and I asked why it was there and they said she needed to sit in it. They  tried to put her in the seat but she collapsed, I left the room and when I went back in she was on the bed, they said she had a cold chill and I noticed sweat on her giant sweat balls, I said you have killed her, she was so cold. They tried to get her up but she collapsed on the floor, it was a marble floor and she just lay there and they said she was dead. I asked how it could have happened and they said it was a blood clot in her leg, she was only 18 years old. You killed her I screamed, I screamed it at the nurses and doctors, You Killed her, over and over again. Her brother Michael turned up and I said Michael they killed her, He said No, We have prepared her room at home. Her father had been working down the garden but had also come to the hospital. He said he needed to tell Auntie Jenny and Auntie Millie. The whole town had heard that Marie had died, she was only 18 and had died on the 30 no 28 years ago. Michael had also died as had his Dad.",48,86,"A lady lost her daughter, I believe she had a brother called Michael and she asked Michael but he could not help. She then asked other people but none of them knew where she was. I can remember certain bits being repeated but cannot remember what they were. I cannot remember much more about it which is quite embarrassing.",10.0,176.0
675ab3f6c12c9e3fd27046b3,"Mrs Costa had a daughter called Marie, Marie had been in hospital and was due to be discharged. On the day she was being dishcarged Mrs Costa went to the hospital, she had packed her bag and when she got to the hospital Marie was on the bed. There was a nurse aid and a doctor, she was a female doctor. They asked if Mrs Costa had ever had fainting spells. Then the doctors were running. It was Marie. When Mrs Costa went into the room Marie was on the bed and had large beads of sweat dripping down her face. Mrs Costa got very angry and could see that Marie was very unwell. She accused the hospital of killing her daughter. The female doctor tried to calm her down and give her a shot but she refused, she just kept yelling that she had killer her daughter. When Mrs Costa left the hospital hadnt told the admin team about what happened so they kept calling her at the shop asking if she had been to pick Marie up yet. She went back to the hospital and was shouting at them, she was pulling her hair up. When she went back home she sat on the step and told her husband what happened and he had a heart attack. There son Michael then came home and they told him about Marie and he also had a heart attack. Mrs Costa had two sisters and there other son went to there house to tell them what happened. They had assumed that they were there to tell them Marie was home as they had all been waiting for her to be discharged but he told them she had died. ",21,124,a lady lost her daughter. the hospital was negligent. the mum went to the hospital and her daughter was lying on the bed. she became unwell. the mum took it very badly and became inconsolable. she told the hospital they killed her daughter. she went home and her husband had a heart attack and then she told her son and he had a heart attack.,12.0,54.0
66c8a81f25959e5f183e2bb3,"Mrs Costa's daughter Marie died 28 years ago after an operation for appendicitis . I was a shock as she seemed to be recovered and Mrs Costa was going to collet her with some clothes. She left Rita, her other daughter cooking and making coffee ready for their return. Her husband Mike was coming home, after shaving he sat on the step to wait. At the hospital Mrs Costa was waiting when all the alarms sounded and to her dismay it was for her daughter. Marie died and Mrs Costa was naturally hysterical. She went home and when she told her husband Mike and son Michael they both had heart attacks. Rita still gets a pain in her leg in sympathy with Marie who died from a similar blood clot. She sent her other son Jamie to inform her sisters of the tragic news. I think she still lives in the same area as the shopkeeper was talking to her about Marie.",22,162,I read a story about a woman who unexpectedly lost her daughter following a routine operation. She went to pick her up and wasn’t happy with the way things were going. She went home and had to tell her husband an daughter who were waiting at home. The daughter was completing the meal. The husband was so shocked by the news that he died. The daughter has a sympathetic leg problem. The auntie was also involved although I can’t remember how.,14.0,61.0
6637b21240220c2517fffa1a,"Mrs. Costa lost her daughter Marie 30 years ago this April. She got a blood clot after an appendisitis operation. Mrs. Costa went to the hospital to pick up her daughter, she had marie's dress and coat hanging on her arm. She was sitting in the hospital waiting and she was praying for a mother of 10 to survive. Mrs. Costa had had 3 surgeries in one year so she Knew everyone at this hospital.  Then the nurse came in for a blanket and she asked ""Are you rushing for my daughter?"" and the nurse said you can talk to her. Marie had huge beads of sweat and was unconscious. They made marie walk after her surgery while she was still under the Ether. ""Why is this chair here?"" Mrs. Costa asked, and was told the Doctor ordered it becasue they wanted Marie to walk but that caused the blood clot.  Mrs. Costa's other daughter Rita told everyone what happened. Before she left, she told her to put a pot of coffee, every morning she had and brought that first cup to her daughter. Her husband  Mike was waiting on the steps for Mrs. Costa to get back and when she got back he said, ""What happened to you."" Her hair was all pulled and her face was a mess because she was distraught at the hospital, screaming, ""You killed my daughter"". Mrs. Costa had her sons, Michael and James tell the relatives about the death of Marie. One had red eyes and Aunt Milly and Aunt Jenny asked him why he was crying and he said, ""Marie is dead.""",32,152,"I think I might vaguely remember reading a story about a woman who lost her daughter but that's all I remember, if that.  I have no memory of the details, the location, the tone or anything.  This worries me because I thought I had a good memory...I have so much confidence in my memory that I'm wondering if the experiment is to see if I will make up a fake memory. ",14.0,181.0
6710a58eeff954cb2243950e,"Mrs Costa lost her daughter Marie twenty eight years ago on 30th of April, ten days after an operation which took place in the night at Methodist Hospital. She was sedated with ether, which was used in operation at that time. While she was recovering gradually, her sister Veronica came over to visit her, but she was still sedated and was lying in bed. However, one the nurses insisted that she should be out of bed and made her. This caused Marie to collapse and had to put her back in bed. Mrs Costa was able to go home for a while. She did not have a phone in those days, so uses the Annie the shopkeeper's phone for the hospital to get in touch. One day, the hospital called to tell her Marie has been discharged, so she should go pick her up. Then she began to take Marie's dress and coat to take to the hospital. On arrival, she was informed that Marie had died, having collapsed due to blood clot.She was only thirteen years old. Mrs Costa lost it completely and accused all the medical staff of killing her daughter. One of her daughters, Rita, whom she left at home waited impatiently for their arrival and when it was not forthcoming, she headed to the hospital only to be told that her sister has died and she too lost it. Then they had to drive home to inform Marie's dad, Mike who was sitting on a step and her other siblings that she has died. On arrival back home, Mrs Costa was screaming to loud that the neighbours came out to find out what happened and were sad that Marie had died. When Mike was was informed of his daughter's death, he had a heart attack, which happened to his son Michael as well. The younger son Jamie was sent go inform their two Aunts - Jenny and Millie that their niece had died. The Aunts have preparing and looking forward to Marie's arrival back home, so they were shocked to discover she had passed. Mrs Costa also informed her brother-in-law, who has since passed and was an undertaker.",28,53,"I think I remember her daughter was hospitalised and the plan was for her to be discharged. Then it was discovered that she collapsed while she was about to get up from the bed. Meanwhile her mother was already planning her homecoming and was making her way to the hospital to collect her daughter. Unfortunately, her daughter died shortly after she got to the hospital and being overcome with grief, she blamed all the hospital staff for her loss.",16.0,57.0
607dd554d9ec5e0fd85237cb,"Mrs. Costa's daughter, Marie, died 28 years ago. She had gone to the hospital for an appendectomy. Mrs. Costa had waited for the call to pick her up after 10 days. When she got to the hospital she waited and then the nurses took her into the room and Marie was in a cold sweat. Mrs. Costa was hysterical, screaming and such. They took her to the office and attempted to administer some medication to calm her down but she refused and threatened the hospital workers, she threatened to burn down the hospital. 

Eventually they took her home, she was screaming on the car ride home and in the driveway. The neighbors were coming out because they heard all of the screaming. Marie's father had been waiting on the step for her to arrive home with Mrs. Costa, but when he heard that Marie had died he had a heart attack. Marie's brother also had a heart attack. 

The youngest boy was sent to inform Mrs. Costa's sisters. Later it was confirmed that Marie had complained of a pain in her leg and loss of vision while she was saying goodbye to other patients, it turns out she had a blood clot. ",24,70,"I remember that a woman had lost her daughter. They had taken her to a psychiatric hospital and when she was due to be released the mother used a neighbor's phone to call and they indicated that the daughter was ready to be picked up. When the mother arrived, they asked her to sit down and explained that the daughter had died, apparently from a fall. The mother went home and found the brother sitting on the front porch, he was given the news and was told to go tell another family member while the mother waited for the father to arrive home from work. Neighbors noticed and came out to give condolences. ",16.0,18.0
