recall_id,text_original,c_original,n_original,text_again,c_again,n_again
662c0e1cf4d70f0068ea160a,Its about a mum who's daughter gets put in the hospital because of appendicitis. then she dies,4,119,I can only remember a scary part happens in the hospital where someone falls over,4.0,152.0
6658ed45f69162ea286e4e3a,"mrs costa lost her daughter annie on the day that she was to be picked up from the hospital. annie was saying goodbye to the girls and said that she had a pain in her leg and that she could not see. then she collapsed and died. mrs costa told her husband, he had had a shave and a wash as he had been working. he had a heart attack - as did her son who had come home. the two aunts were waiting for the call to say that annie was home and they saw little jamie running towards them who told them annie had died, he was crying. one of the aunts had bought an orange. ",18,28,Annie was on her way home from the hospital when she felt unwell. She died. When her mother went to tell her husband he had a heart attack. And so did the brother. ,6.0,178.0
67d1f6824f74bd16996512c0," The story told mostly by the mother, who is overwhelmed by emotions and that is making her story hard to follow.
She is reliving events of the day, when one of her daughters passed away and
even though it happened almost 20 years ago, the memories are still there.
",7,33,"Not sure I would call it a story, more like recollection of events by the woman who never got over loosing her daughter.
She talks a lot about her daughters, but hardly mentions her husband or the other men. Nurses or even an orange get more attention than Mr.Costa. 
Story jumps from one irrelevant thing to the next, i.e. there is no story to recollect.
Lots of  ""She said"" or ""He did"" and not much else.",9.0,194.0
5e3d57c40d3a26000edff2e1,"A mother was sent to the hospital to pick up her daughter who was to be discharged. However, she was dying when she got there. She blames the doctors for her death, who claimed it was due to a blood clot. Upon hearing the news, both the husband and son had heart attacks as well. The mother was forced to go home screaming after refusing a shot of medication. A young boy was told to tell his aunts that Marie had died. An old woman recalls Marie standing on a step.",17,133,"A woman was going to pick up her daughter from the hospital. However, when she got there, her daughter had died. The woman blamed the doctors for this as she believed it was their fault. The news of this, when told to the family, caused the woman's husband and son to both have heart attacks and also die. Someone came to visit and was holding a large orange.",12.0,165.0
6679dc943f855ba978447c25,"Marie was a young lady who had appendicitis. She was in the hospital for it. The care she got was not appropriate. First, the doctor tried to get her to sit up in a chair, and Marie passed out. They let her lay back down. No one seemed to know she had a blood clot that would turn out to be fatal. Marie's mother, Mrs. Costa, went to the hospital and kept questioning the staff about Marie. She questioned why they treated Marie certain ways and the staff told her it was the doctor's orders. When it came time for Marie to go home, Marie's mother Mrs. Costa went to the hospital with clothing for Marie. Mrs. Costa's husband was waiting at home for Marie to come home. When they tried to get Marie dressed to go home, she passed out and died shortly after. Mrs. Costa was beside herself with grief. She screamed and tore at her hair. She demanded to know why this had happened to Marie but got no straight answers. Marie's leg had gone stiff, and it was believed she had a blood clot but no one seemed to know. Well, Mrs. Costa was consumed with grief, crying on the way home. She arrived home and told her husband Marie was gone. Her husband immediately had a heart attack and died after hearing this sad news. Another person she told also had a heart attack and died. Mrs. Costa sent her young son to tell aunts that Marie was gone. The aunts were also very upset. An undertaker in the family took over the arrangements. ",35,145,"There was a lady in the hospital who died. Her mother was very upset. There were a lot of details given about her death. Her husband was very upset, waiting at home, and when he found she had died he also had a heart attack and died. A little boy was sent to bring news to other ladies. ",13.0,118.0
6091ab55ea2e97910519f8e7,"basically a woman recalling the day her daughter died, she died sometime in April from a blood clot. She threatened to burn down the hospital and the girl's father and brother both had heart attacks upon hearing the news. Lots of cries and fighting",6,180,"something about a woman that was recalling the day her daughter died from a blot clot on the day she was supposed to be released from the hospital. Her husband and son-in law had heart attacks and the woman was hysterical, threatened to burn down the place in a rage because she thought the hospital killed her daughter",13.0,67.0
66435e2e5c5b5aceb2195908,A woman's daughter died at the hospital. Her name was Marie and she was 18. The nurses were trying to get her out of bed but the woman believed that she was too sick to be out of bed and it might be causing her daughter to have blood clots. On the day of this event she was called by the hospital and they said she was going to be discharged but when she got there the daughter was in a bad way. She got worse and eventually ended up dying and the woman was very upset. In hysterics even. She blamed the nurses and asked to speak to the doctor and the doctor said they don't know what happened. The doctor wanted to give the mother a shot for some reason but she refused and left. When the father found out what had happened to his daughter he had a heart attack and died and the people waiting for the daughter to get home (they hadnt been told she had actually died) for some reason brought her an orange. There was also a son called james and a brother in law who was an undertaker.,28,47,"A woman had lost her 18 year old daughter. I think her name was Marie. She was a the hospital and was very sick and something happened to her that made the woman think the hospital had done something to her daughter that had caused her death because when the woman went to see her before she died she seemed to be getting better. When she arrived at the hospital to find that her daughter had died she was in hysterics and the doctor claimed he did everything he could. He tried to sedate the woman in hysterics. Her family, including her aunt, was waiting at home for the daughter to return. There was also a son in law who happened to be a funeral director.",16.0,40.0
6746ce67818ad1141aeeb211,"Its a story about MRS costa whose daughter died of appendix, she died at the methodist hospital , she is 18years old.Then the oldest daughter Victoria  went to the hospital to see her before she died .then a lady from the store called mrs costa to come and see her daughter, when she got to the hospital she saw a woman who  is in bad conditions and the woman had 10 children , so she that God should not take the mother from the children . And mrs costa acuse the nurse of killing her daughter . And everyone was was waiting to see marie, infact mrs costa younger sister had gotten a very big orange for her . then she broke the news to them about the death of her daughter  marie to them , on hearing this her son had heart attack and her husband . ",18,122,"This is a story about Mrs Costa, whom her daughter died of appendis, at the methodist hospital. she is twenty eight years of age.
then the lady from the hospital called mrs costa to pick her daughter, on getting to the hospital she met a woman who is also on a sick bed who has ten children, mrs Costa pray to God not to take the woman.
Then mrs costa lost her daughter, and everyone have been waiting for her at home.
Imediately her son micheal heard about the death of marie he colapse.

",17.0,23.0
63fbd3e8b4865c6e1fb04614,The daughter suffers from appendicitis and is rushed to hospital. There she is treated but the doctor ordered for her to leave the bed even though she was in ether. She got out and things get out of control. She is blinded and then collapses with a blood clot being diagnosed.The mother is enraged and wants to burn down the hospital and verbally abuses the hospital staff. Then when she gets home she finds out little byt little every family member of hers is slowly dying around her,16,60,So a daughter was admitted into hospital because they were showing symptoms of appendicitis and therefore was rushed into emergency response. They were then put into an ether and surgery was commenced. After the surgery the mother wanted to see the daughter.However the daughter was put out of ether and then stood up out of the bed. They ended up getting a blood clot and died from it. However the mother seemed to think it was foul play and started to shout at the doctor and the  medical staff. After when she gets home she sees that one by one the family members of hers starts to die due to unnatural causes.,17.0,91.0
67b5c6ec6311c086aa61cd96,"It was 28 years since my daughter Marie died. The doctors said she had a blood clot but I didn't believe them. I continuously shouted ""You KILLED my daughter!"" It was a long night and we had to notify multiple family members, including my other daughter Rita. She was making a hot pot of tea in the kitchen and looking outside towards Wolf Street. She collapsed when she heard the news and my husband had a heart attack. My little sister even brought a big orange to give to Marie but never got the chance. My son Micheal also had a heart attack from the shocking news. Hard to believe but yes they both did. There was another mother losing her daughter in the room before mine. I prayed and prayed for God to keep her alive for her mother. Even after so many years, is it still very painful for Rita to remember the news. She suffers from crippling depression for weeks and sometimes months at a time. It was a cold winter month when it happened. Probably closer to April from my memory. I put on a big coat and boots before leaving to the hospital. ",24,60,It was a cold winter day in April. My daughter was rushed to the hospital after collapsing on the ground. I didn't know what was wrong or what I should do. Her room was shared with another girl and her mother. I prayed that her daughter was going to be okay. I cant imagine that kind of pain as a mother. The doctors said she wasn't doing well and had multiple blood clots. They moved me to another room and told me my daughter isn't going to make it. I was screaming that they killed her after it happened. They tried to calm me down. I remember I had so many heavy layers on and I felt like I weighed a million pounds. Everything was a blur after that. I had to tell my husband next. He collapsed of a heart attack when I told him the news. My other daughter Rita was just making a coffee when she heard. Everyone was screaming with pain. My son had one of the worst reactions to the news. We sat all of her aunts and uncles down together in the tea room as well. ,18.0,189.0
