segment_id,segment_text,p-caught
1,Let me share a story from when I was twenty-one years old.,64.00%
2,I was living in a small apartment near the city center.,41.00%
3,I had just started my first job.,48.00%
4,And uh I was working as a graphic designer.,99.00%
5,"My father, who was recovering from a surgery, hadn't been out in – in uh – well I'd say about eight months.",100.00%
6,He had to use a wheelchair to get around.,82.00%
7,"The only person there with him during the day was a kind neighbor, a lady in her sixties.",49.00%
8,My younger sister was away at college –,24.00%
9,so it was just my dad and the neighbor lady at home during the day.,48.00%
10,"One day, I got this strong feeling while I was at work.",100.00%
11,"It told me: ""If you go to the nearby park during your lunch break and pray for your father's recovery, he'll start to improve.""",88.00%
12,I looked around my office.,9.00%
13,I didn't see anyone nearby.,10.00%
14,"So, I went to the park during my break",97.00%
15,and found a quiet spot there.,52.00%
16,That feeling came back again.,5.00%
17,I looked around once more.,8.00%
18,I still didn't see anyone nearby,10.00%
19,but I decided to take a chance.,13.00%
20,"I wasn't too far from my office, maybe a ten-minute walk.",7.00%
21,I found a bench to sit on and closed my eyes – uh – uh –,42.00%
22,that feeling came back once more.,5.00%
23,I just took a deep breath.,2.00%
24,I was sitting under a big oak tree now.,80.00%
25,I looked up at the branches above me.,5.00%
26,Nobody was around.,12.00%
27,"And uh I said to myself, well now,",0.00%
28,I had been taught that prayers can make a difference.,19.00%
29,And that it doesn't hurt to try.,17.00%
30,"I knew I wasn't perfect, but I wanted to help my dad.",18.00%
31,I'd admit that to anyone.,1.00%
32,But I was willing to give it a try.,14.00%
33,I looked around one more time,10.00%
34,and then I closed my eyes,13.00%
35,and said a quiet prayer.,94.00%
36,"I whispered, ""God, I don't know if you're listening.",11.00%
37,But I ask you to please help my father recover.,84.00%
38,"So he can regain his independence and enjoy life again.""",43.00%
39,I opened my eyes,5.00%
40,and went back to work.,62.00%
41,"Suddenly, I received a text message from my father.",99.00%
42,"It said, ""I just took a few steps with my walker.""",99.00%
43,I – I couldn't believe it.,58.00%
44,It felt like a sign that my prayer had been heard.,13.00%
45,I rushed home after work,52.00%
46,and saw my father standing in the living room with the help of his walker.,91.00%
47,He hadn't been able to do that in months without assistance.,21.00%
48,"And there he was, taking small steps.",22.00%
49,That was the turning point in his recovery.,77.00%
50,He continued to improve,82.00%
51,and regained most of his mobility within a year.,61.00%
52,"It's been, what, six or seven years since then?",11.00%
53,My father is now able to walk without any assistance.,79.00%
54,"He's living life to the fullest, even in his seventies.",26.00%
