recall_id,recall_text,rephrased_test,len,sum,rate
0,"My daughter died, twenty-eight years ago. I remember when she was at the hospital, they were moving everyone out of their beds. They tried to move her. I told them not to move her from her bed because she was under ether. I told them that Marie was under ether and not to move her. They tried to move her anyway, and when they did, she collapsed. She probably got a blood clot from it because they were talking about what could've caused it. I still remember that day, I was at home and they called me to say that Marie was being discharged from the hospital. I had all the clothes laid out on the table. My husband was at work. I went there and I was praying for this woman who had a gall bladder operation. I was praying to God to not take away this mother from her daughters. I saw a nurse running and she came and asked me something. I asked her if she was running for my daughter, and she said yes, come in. I went in and saw my daughter sweating. The beads of sweat were huge. I started screaming ""You killed her, You killed my daughter!"" A lady doctor Ms. Montique who was an assistant to the doctor who performed the surgery came to speak to me. I screamed very loudly, they wanted to inject me with something. I told them ""You killed my daughter and now you want to kill me."" The receptionist kept calling my home to tell us to come and pick up Marie since she was discharged. My daughter told them that I had already left for the hospital. They all came quickly because they were worried about me. They took me back home. I started screaming when we reached home, I was still in the car. People were coming out of their homes to check what was going on. I kept screaming ""They killed her!"". My husband was sitting on the porch, and he asked me what was going on. I told him ""Marie is dead, they killed her."" I showed them pictures of my daughter, she was only eighteen. When her sister and my husband found out, they collapsed. I told my youngest son to go and tell my sisters Auntie Jenny and Auntie Millie what had happened. When he went to tell them what had happened, they thought he was coming to tell them that Marie had come back home but when they found out, they were shocked. My sister brought an orange earlier, a big orange, nothing like I had ever seen before. The local store owner praised Marie a lot, she said that Marie would always come to the store and stand there, pointing at the steps. ""She would always stand there and look over"", She was a quiet girl, not much to talk. She was a good girl, Marie. - So that's what happened.","My child passed away, it was twenty-eight years back. I recall her time in the hospital, where they were clearing the beds of patients. They attempted to relocate her. I insisted they shouldn't shift her from her bed, since she was under the influence of anesthesia. I warned them about Marie being anesthetized, urging them not to transfer her. Nevertheless, they proceeded to attempt moving her, and as they did so, she fell to the ground. It's likely she developed a blood clot from that action, given they speculated about the potential causes. That day remains etched in my memory, while I was at my residence, receiving a call informing me of Marie's imminent release from medical care. I had prepared all her garments on the tabletop. My spouse was occupied at his job. I made my way there, offering prayers for a lady who had undergone gallbladder surgery. I beseeched the Almighty not to deprive this mother of her children. Observing a nurse in haste, she approached and inquired something of me. I questioned whether she was hastening on account of my child, to which she responded affirmatively, beckoning me inside. Entering, I beheld my daughter drenched in perspiration. The sweat droplets were enormous. I began to shriek, ""You have slain her, you have slain my child!"" Dr. Montique, an associate of the surgeon, approached to converse with me. I yelled out with great volume, and they sought to administer an injection to me. I protested, ""You've taken my child's life, now you aim to take mine."" The front desk persistently phoned my residence to prompt us to collect Marie since she was ready for discharge. My child informed them I had already departed for the medical facility. Concerned for my well-being, they all arrived swiftly. They escorted me back to my abode. Upon arriving home, I began to wail, still seated in the automobile. Neighbors emerged from their dwellings to investigate the commotion. I continued to cry out, ""They have taken her life!"" My spouse was perched on the veranda, inquiring about the situation. I informed him, ""Marie has perished, they are to blame."" I presented them with photographs of my girl, who was merely eighteen years old. Upon hearing the news, her sister and my husband were overcome with grief. I instructed my youngest son to inform my siblings, Auntie Jenny and Auntie Millie, of the tragedy. As he relayed the news, they assumed he was announcing Marie's return home, but upon learning the truth, they were taken aback. Earlier, my sister had brought a large orange, an exceptionally sizable one, unlike any I had seen before. The proprietor of the local shop spoke highly of Marie, mentioning how she would frequently visit the store and pause there, gesturing towards the steps. ""She'd always pause there, gazing out,"" She was a reserved child, not one for much conversation. She was a virtuous child, that was Marie. - And so, that is the tale.",2916,137.95363695331872,0.04730920334475951
1,"The story was about a mother's reaction to the unexpected death of her daughter Marie. She passed suddenly from a blood clot in her leg. The mother had a breakdown in the hospital, when she got home she told her husband and son about the sudden passing and they both suffered heart attacks. The story continues with her family making preparations for her daughter's funeral...","The narrative centered on a maternal response to her daughter's unforeseen demise involving her child Marie. Her departure was abrupt due to a thrombus within her limb. The matriarch experienced a collapse within the medical facility, and upon returning home she informed her spouse and offspring of the abrupt loss which led both to experience cardiac arrests. The tale progresses as her kin arrange for the burial of her daughter...",434,-26.709148279252585,-0.0615418163116419
3,"My daughter died twenty-eight years ago. It was the thirteenth of the month. She was operated on for appendicitis. The next morning, her older sister went to see her in the hospital. She was still under ether. They used a lot of ether for the operation. There was a chair in the room. They just started getting people out of bed. She asked the nurses. It was the doctor's order, they replied. They got her out of bed. She suffered a blood clot. She was put back to bed again. They called us from the hospital. They called on a phone in a nearby store. We were informed about her discharge. Rita was cooking. She will finish the cooking. Her dad is preparing upstairs. He said to prepare coffee for her. He said to get a cake. I went to the hospital with her clothes. She saw me coming into the hospital through her window. She was walking. She fainted again. The nurses were running. I asked if they were running for my daughter. I saw her on the bed. She was in her dress. She had her slippers on.",My child passed away twenty-eight years prior. That day fell on the thirteenth. She underwent surgery for an appendectomy. Her elder sister visited her in the medical facility the following day. She remained under the influence of ether. A substantial amount of ether was utilized during her surgery. A single chair stood within the chamber. They had just begun to help patients out of their beds. She inquired with the nursing staff. They attributed it to the physician's directive. They assisted her in getting out of bed. She experienced a thrombosis. She was returned to her bed once more. The hospital reached out to us. They made the call from a phone at a store close by. We received notification of her imminent release. Rita was in the midst of cooking. She intended to complete the meal preparation. Her father was getting ready upstairs. He instructed to brew coffee for her. He suggested acquiring a pastry. I proceeded to the medical center with her attire. She glimpsed my arrival at the hospital from her pane. She was ambulating. She lost consciousness once more. The medical nurses hastened. I questioned whether they hastened for my child. I beheld her lying on the hospital bed. She was clothed in her dress. Her feet were adorned with her slippers.,1268,60.306777894422915,0.047560550389923434
4,"A girl called Marie died 28 years ago at aged 22 on the 30th of April. It was a late Saturday afternoon. Her mother Mrs Costa had gone to collect her from hospital, but had found her soaking in beads of sweat and unwell and she passed away. The doctor had given her too much ether and she had pain in her leg and could not see and this was the blood clot. Mrs Costa had been offered a jab to calm her upon declaring the hospital had killed her daughter and exclaimed the shot would be them trying to kill her also. The shocking news spread through the family to Mr Costa and her sister first then extended family.","Marie, a young woman, perished 28 years prior, at the age of 22, on April 30th. The incident occurred on a tranquil Saturday evening. Her mother, Mrs. Costa, had set out to pick her up from the hospital, only to discover her drenched in perspiration, appearing quite ill, and shortly thereafter, she succumbed. The physician had administered an excessive amount of ether to her, resulting in her experiencing leg pain, a loss of vision, which were symptoms of the fatal blood clot. After asserting that the hospital was responsible for her daughter's death, Mrs. Costa was offered a sedative, proclaiming that the hospital had been culpable for the demise of her child, and she vociferously stated that accepting the injection would be akin to them attempting to end her life as well. The distressing news quickly permeated throughout the family, reaching Mr. Costa and her sibling initially, and subsequently the wider family circle.",934,-10.320208956891802,-0.011049474257914135
5,"It has been 28 years now since Marie died. She had gone to the hospital for surgery for the appendix. Her sister went to visit her and found a chair in the room and asked the nurse what the chair was for and told her that they had to get Marie out of bed, she told her that they can't do that cause Marie is too sick. But the nurse told her that it was the Doctor's orders. She pulled Marie out of bed but she collapsed. The mother did not have a phone so the hospital called the lady at the store to tell Mrs. Costa that she needs to pick up Marie because she is discharged. That morning she asked her daughter to put on some coffee for Marie because she likes coffee in the morning. She laid out Marie's clothes and put her coat on her arm and headed to the hospital. Marie was up and busy saying goodbye to the girls at the hospital when her mother got there. Then the nurse came and asked Mrs. Costa if her daughter had had fainting spells before, she asked if she was going to her daughter, when she saw her daughter she realized that she was sweating. It was a lot of sweat. She was still in her house slippers. Marie died and Mrs. Costa started screaming at the nurse that they had killed her daughter. The female Dr., Dr. Schwartz, had assisted the doctor who did the surgery. She came into the room and Mrs. Costa shouted at her too. The hospital kept calling asking for the mother to come pick up Marie. Marie's sister figured something was wrong and also headed to the hospital. She found her mother in the office undone and that's when she found out about Marie's. She fell and broke her leg. They eventually figured that a blot clot was what had killed Marie. Back at the house the neighbors were out of their houses due to Mrs. Costa's screams from inside the car. The husband had been waiting by the step for his daughter's return. When he heard the news he instantly had a heart attack. Their son Michael also had a heart attack the same day after finding out. The youngest son was then sent to inform his aunties about the death of his sister Marie.","Marie has been deceased for 28 years now. She went to the medical center to undergo an appendectomy. Her sibling paid her a visit and noticed a chair present in the space inquiring with the nurse about the purpose of the chair and was informed that it was necessary to mobilize Marie from her bed, to which she responded that such action was impossible due to Marie's severe illness. However, the nurse insisted it was per the Doctor's directive. She proceeded to help Marie out of the bed only to have her collapse. The mother lacked a telephone thus the hospital contacted the local storekeeper to relay a message to Mrs. Costa to come collect Marie as she was being released. That day, she requested her daughter to prepare some coffee for Marie since Marie enjoyed her morning coffee. She arranged Marie's attire draped her coat over her arm and set off for the medical facility. Upon her arrival, Marie was actively bidding farewell to the hospital staff as her mother arrived. Then the nurse approached inquiring with Mrs. Costa whether her daughter had previously experienced syncope, questioning if she was proceeding to her daughter's side, and upon laying eyes on her daughter she noticed the profuse perspiration. The perspiration was excessive. She was still wearing her indoor footwear. Marie passed away leading Mrs. Costa to berate the nurse, accusing them of causing her daughter's demise. Dr. Schwartz, a female physician, had been the assisting surgeon. She entered the chamber where Mrs. Costa directed her anger at her as well. The hospital continued its calls urging the mother to retrieve Marie. Sensing that something was amiss, Marie's sister also made her way to the hospital. She discovered her mother distraught in the office and that was when she learned of Marie's fate. She stumbled and fractured her leg. It was later concluded that a thrombus was the cause of Marie's death. Meanwhile, the neighbors had gathered outside attracted by Mrs. Costa's wails emanating from the vehicle. The father had been anticipating his daughter's homecoming on the porch. Upon receiving the tragic update he was stricken with a myocardial infarction. Their son Michael also suffered a cardiac arrest that same day upon hearing the news. Subsequently, the youngest son was tasked with notifying his aunts of his sister Marie's passing.",2348,100.68119127635025,0.04287955335449329
6,"A story of a girl named Marie Mrs. Costa, Marie's mom, went to pick up Marie from the hospital because she was being discharged When Mrs. Costa reached the hospital a nurse approached her and asked her to sit down While she was sitting Mrs. Costa was praying for a lady that she knew was having an operation The nurse gave Mrs. Costa a blanket because she was getting chills Mrs. Costa was asked by a nurse if her daughter ever fainted and the nurse asked her to come inside the room Mrs. Costa saw her daughter in the bed with slippers and coats on As soon as she sees her daughter she starts to scream what you did do to my daughter you killed her don't touch my daughter or see I will set this hospital on fire Mrs. Costa went home and let everyone know what happened Everyone’s family member was in shock including the neighbours","The tale revolves around a young girl named Marie Marie's mother, Mrs. Costa, set out to collect Marie from the hospital since she was ready to be released Upon Mrs. Costa's arrival at the hospital she was greeted by a nurse who requested that she take a seat As she took her seat Mrs. Costa offered prayers for a woman she knew who was undergoing surgery The nurse handed Mrs. Costa a blanket as she began to feel cold A nurse inquired whether her daughter had a history of fainting and then invited her to enter the room Mrs. Costa observed her daughter lying in bed, dressed in slippers and coats The moment she laid eyes on her daughter she began to yell exclaiming, 'What have you done to my daughter?' 'You have taken her life' 'Do not lay a finger on my daughter' 'Otherwise, I swear I'll burn this hospital to the ground' Mrs. Costa returned home and informed everyone about the incident Shock was evident among all the family members as well as among the neighbors",973,38.54055517791791,0.03961002587658572
7,"The story was honestly somewhat jumbled in its retelling. However, the core of the story was that the woman's daughter, Marie, died. She was in the hospital receiving treatment. She died. The woman telling the story was livid at the experience. She blamed not the doctor, but the doctor's female assistant. She thinks that the doctor's female assistant killed her daughter. She was completely shocked and angry about it.","Truthfully, the narrative was a bit disorganized in its narration. Nonetheless, the essence of the tale was the demise of the woman's child, Marie. Marie was undergoing medical care in the hospital. Marie passed away. The woman recounting the incident was furious about what had happened. She did not hold the doctor responsible, but rather the doctor's woman aide. She believed that the doctor's female assistant was responsible for her daughter's death. She was utterly dismayed and enraged by the situation.",510,-50.149981777466074,-0.09833329760287465
8,"My daughter died, it was either March or April 28 years ago, the daughter was called Marie, she went into hospital for something and was due to be discharged. The hospital rang the mother, Mrs. Costa to go and collect her. She told her other daughter to wait for the Dad coming back from work and put some coffee on. Marie liked a pot of coffee every morning that's what Mrs. Costa remembered. At the hospital someone was taking blankets and she realized they were for her daughter she was told to talk to her and said she was dying what was she supposed to say and when she died she was screaming and kicking and pulled out her hair and asked what was wrong her daughter has just been saying goodbye to Arlene. Also, she had taken her dress and her corsets. She asked what had happened and they said a blood clot. She was screaming so they said they'd give her a shot and she said they'd killed her daughter and they weren't killing her as well. She went home and the son James was there he was only little and when she told the Dad he had a heart attack and died and then someone else had a heart attack and died and two Aunties came.","My child passed away, sometime during late March or April, 28 years back, the girl was named Marie, she had been admitted to the hospital for a certain procedure and was scheduled for release. The medical center contacted her mother, requesting Mrs. Costa to come for her pickup. She instructed her other child to await their father's return from his job and to start brewing some coffee. Marie enjoyed a fresh pot of coffee each morning which is what Mrs. Costa recalled. At the medical facility, someone was gathering blankets and it dawned on her that they were for her child she received instructions to speak to her and was informed that she was passing away unsure of what to utter in response and at the moment of her passing, she was thrashing and flailing about, tearing at her own hair, inquiring about the issue at hand, her child had merely been bidding farewell to Arlene. Additionally, she had packed her dress and undergarments. She questioned the events that had transpired to which they replied it was a thrombus. Her screams were so intense that they offered to administer an injection but she accused them of causing her daughter's death and refused to let them do the same to her. She returned to her residence where her son James was present who was quite young at the time and upon informing the father, he suffered a cardiac arrest and perished followed by another individual succumbing to a heart attack and two aunts arrived.",1450,15.210280887305537,0.010489848887796922
9,"Marie was in hospital 28 years ago for appendicitis, the nurse tried to get her out of bed too soon and she collapsed with a blood clot in her leg, her sister Victoria was there, the nurse rang Mrs. Costa, Marie's mother, once she reached the hospital she was told her daughter had died, she was hysterical, pulling her hair screaming at the doctors to leave her daughter alone, saying she would kill them and burn down the hospital. Going home she told her husband, who had a heart attack and her son Michael had a heart attack as well. She told her son Jamie to tell her two sisters, Marie's aunties, that she had died.","Twenty-eight years prior, Marie was admitted to the hospital for an appendectomy, but a nurse attempted to mobilize her prematurely, resulting in her collapsing due to a leg thrombosis, with her sibling Victoria present at the time, prompting the nurse to call Mrs. Costa, who was Marie's mother, and upon her arrival at the medical facility, she received the devastating news of her daughter's passing, becoming inconsolable, tearing at her own hair in anguish, furiously berating the medical staff to stop touching her child, threatening their lives in her grief, and vowing to set the hospital ablaze. Upon returning home, she informed her spouse, who suffered a myocardial infarction, and her offspring Michael also experienced a cardiac arrest. She instructed her child Jamie to relay the tragic news to her sisters, who were Marie's aunts, about the heartbreaking loss.",875,28.854488172240345,0.03297655791113182
10,"Mrs. Costa (mom) recalled her experience of losing her daughter, Marie. Marie had surgery for appendicitis which eventually led to a blood clot and then her death. Mrs. Costa was remembering the experience which occurred 28 years earlier, in the month of April. She was called to come and pick up her daughter from the hospital after she was being discharged, but when she got there, she was told by the nurses to sit and wait. Eventually, they told the mom that Marie had broken out into cold sweats and was waiting to be seen by the doctor. Marie eventually died in the hospital. Mrs. Costa went hysterical, as any mother would, trying to figure out what had happened while emotions were incredibly high. Eventually, Mrs. Costa had to break the news to her family once she was able to get home. The news of Marie's death caused Mr. Costa and Marie's brother to both have heart attacks.","Mrs. Costa, the mother, reminisced about the tragic loss of her daughter, Marie. Marie underwent an appendectomy which unfortunately resulted in a blood clot formation leading to her untimely demise. Mrs. Costa was reflecting on the incident that took place 28 years prior, during the month of April. She received a call to collect her daughter from the medical facility following her scheduled release, but upon her arrival, she was instructed by the nursing staff to wait. They eventually informed the mother that Marie had started experiencing cold sweats and was awaiting a doctor's examination. Marie's life sadly ended within the confines of the hospital. Overcome with grief, Mrs. Costa became hysterical, as would be expected of any mother, attempting to comprehend the circumstances of the tragedy amidst overwhelming emotional turmoil. In time, Mrs. Costa faced the heartbreaking task of informing her family after she managed to return home. The devastating news of Marie's passing led to Mr. Costa and her brother suffering heart attacks simultaneously.",1065,13.749530403893917,0.012910357186754852
