recall_id,clause_id,segment_ids,fan_out,last_segment_id,clause_text
llama4-1,1,"[1, 2]",2,6,My daughter died twenty-eight years ago
llama4-1,2,[4],1,6,She died at Methodist Hospital
llama4-1,3,[5],1,6,She had an operation for appendicitis
llama4-1,4,[6],1,6,The operation occurred on a late Saturday afternoon
llama4-2,1,[4],1,22,The narrator's daughter died at Methodist Hospital
llama4-2,2,[5],1,22,She had an operation for appendicitis
llama4-2,3,"[11, 14, 18]",3,22,The hospital staff got her out of bed
llama4-2,4,"[8, 15]",2,22,while she was still under ether
llama4-2,5,[22],1,22,The narrator blames the hospital staff
llama4-2,6,[22],1,22,for her daughter's blood clot
llama4-3,1,[4],1,39,The narrator's daughter died at Methodist Hospital
llama4-3,2,[5],1,39,The daughter had an operation for appendicitis
llama4-3,3,"[11, 13, 14, 17, 18, 19, 20]",7,39,The hospital staff got her out of bed too soon after the operation
llama4-3,4,"[22, 23, 29]",3,39,The narrator's daughter died from a blood clot after being discharged
llama4-4,1,[4],1,52,The narrator's daughter died at Methodist Hospital
llama4-4,2,[5],1,52,The daughter had an operation for appendicitis
llama4-4,3,"[11, 14, 17, 18, 19, 20, 22]",7,52,The hospital staff got her out of bed too soon after the operation
llama4-4,4,"[24, 26, 27, 28, 41, 43, 49, 50, 51]",9,52,The narrator picked up her daughter from the hospital
llama4-4,5,[29],1,52,after she was discharged
llama4-5,1,[4],1,62,The narrator's daughter died at Methodist Hospital
llama4-5,2,[5],1,62,The daughter had an operation for appendicitis
llama4-5,3,"[11, 13, 14, 17, 18, 19, 20, 22]",8,62,The hospital staff got the daughter out of bed too soon after the operation
llama4-5,4,"[24, 26, 27, 28, 41, 43, 56, 57]",8,62,The narrator picked up her daughter from the hospital
llama4-5,5,"[28, 29]",2,62,after she was discharged
llama4-6,1,[4],1,76,The narrator's daughter died at Methodist Hospital
llama4-6,2,"[5, 44, 45, 46]",4,76,The daughter had an operation for appendicitis
llama4-6,3,"[11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21]",11,76,The hospital staff got her out of bed too soon after the operation
llama4-6,4,"[22, 74, 75]",3,76,The narrator blames the hospital staff for her daughter's death
llama4-7,1,"[1, 2, 3]",3,91,The narrator's daughter died 28 years ago
llama4-7,2,"[4, 5, 44, 45, 46]",5,91,The daughter had an operation for appendicitis at Methodist Hospital
llama4-7,3,"[7, 8, 9, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22]",15,91,The hospital staff got her out of bed too soon after the operation
llama4-7,4,"[23, 24, 25, 26, 27, 28, 29, 57, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91]",32,91,The daughter died shortly after being discharged from the hospital
llama4-8,1,"[1, 2, 3, 4]",4,104,The narrator's daughter died at Methodist Hospital 28 years ago
llama4-8,2,[5],1,104,The daughter had an operation for appendicitis at the hospital
llama4-8,3,"[11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22]",12,104,The hospital staff got the daughter out of bed too soon after the operation
llama4-8,4,"[23, 24, 26, 27, 28, 57, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100, 101, 102, 103, 104]",43,104,The daughter died suddenly while waiting to be discharged from the hospital
llama4-9,1,"[1, 2, 3]",3,119,The narrator's daughter died 28 years ago
llama4-9,2,"[4, 5, 44, 45, 46]",5,119,The daughter had an operation for appendicitis at Methodist Hospital
llama4-9,3,"[23, 24, 27, 28, 29, 101, 102]",7,119,The narrator's daughter was discharged from the hospital after 10 days
llama4-9,4,"[19, 20, 22, 71, 72, 73, 74, 75, 92, 93]",10,119,The daughter died suddenly while getting ready to go home
llama4-10,1,"[1, 2, 3]",3,139,The narrator's daughter died 28 years ago
llama4-10,2,"[4, 5]",2,139,The daughter had an operation for appendicitis at Methodist Hospital
llama4-10,3,"[11, 12, 13, 14, 15, 16, 17, 18, 19, 20]",10,139,The hospital staff got her out of bed too soon after the operation
llama4-10,4,"[22, 74, 75, 76, 83, 84, 92]",7,139,The daughter died from a suspected blood clot
llama4-10,5,"[23, 24, 25, 26, 27, 28, 29, 93, 94, 95, 96, 97, 98, 99, 100, 101, 102]",17,139,shortly after being discharged
llama4-11,1,"[1, 2, 3, 4]",4,152,"The narrator's daughter, Marie, died at Methodist Hospital 28 years ago"
llama4-11,2,"[5, 44, 45, 46]",4,152,Marie had an operation for appendicitis at the hospital
llama4-11,3,"[11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21]",11,152,The hospital staff got Marie out of bed too soon after the operation
llama4-11,4,"[22, 145]",2,152,causing a blood clot
llama4-11,5,"[23, 24, 25, 26, 27, 28, 29, 57, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100, 101, 102, 103, 104, 105, 106, 107, 108, 109, 110, 111, 112, 113, 114, 115, 116, 117, 118, 119, 120, 121, 122, 123, 124, 125, 126, 127, 128]",70,152,The narrator was informed that Marie had died after being discharged from the hospital
llama4-12,1,"[1, 2, 3, 4]",4,164,"The narrator's daughter, Marie, died at Methodist Hospital 28 years ago"
llama4-12,2,"[5, 44, 45, 46]",4,164,Marie had an operation for appendicitis
llama4-12,3,"[11, 13, 14, 17, 18, 19, 20, 21]",8,164,The hospital staff got Marie out of bed too soon after the operation
llama4-12,4,"[22, 145]",2,164,Marie died from a blood clot
llama4-13,1,"[1, 4]",2,172,"The narrator's daughter, Marie, died at Methodist Hospital"
llama4-13,2,"[5, 44, 45, 46]",4,172,Marie had an operation for appendicitis
llama4-13,3,"[11, 13, 14, 17, 18, 19, 20]",7,172,The hospital staff got Marie out of bed too soon after the operation
llama4-13,4,"[22, 140, 145]",3,172,The cause of Marie's death was determined to be a blood clot
llama4-14,1,"[1, 2, 3, 4]",4,188,"The narrator's daughter, Marie, died at Methodist Hospital 28 years ago"
llama4-14,2,[5],1,188,Marie had an operation for appendicitis
llama4-14,3,"[11, 13, 14, 17, 18, 19, 20]",7,188,The hospital staff got Marie out of bed too soon after the operation
llama4-14,4,[22],1,188,causing a blood clot
llama4-14,5,"[23, 92, 93, 144, 145]",5,188,Marie died from a blood clot shortly after being discharged from the hospital
llama4-15,1,"[1, 2, 3]",3,194,"The narrator's daughter, Marie, died 28 years ago"
llama4-15,2,"[4, 5]",2,194,Marie had an operation for appendicitis at Methodist Hospital
llama4-15,3,"[11, 13, 14, 17, 18, 19, 20]",7,194,The hospital staff got Marie out of bed too soon after the operation
llama4-15,4,[22],1,194,causing a blood clot
llama4-15,5,"[22, 145]",2,194,Marie died from the blood clot at the hospital
