fan_out,subjects,gpt4o
0,0.06,0.01
1,0.48,0.47
2,0.17,0.21
3,0.08,0.12
4,0.05,0.07
5,0.04,0.03
6,0.02,0.02
7,0.01,0.02
8,0.01,0.01
9,0.01,0.01
10,0.01,0.01
11,0.01,0.0
12,0.0,0.0
13,0.0,0.0
14,0.0,0.0
15,0.0,0.0
16,0.0,0.0
17,0.0,0.0
18,0.0,0.0
19,0.0,0.0
20,0.0,0.0
21,0.0,0.0
22,0.0,0.0
23,0.0,0.0
24,0.0,0.0
25,0.0,0.0
26,0.0,0.0
27,0.0,0.0
29,0.0,0.0
33,0.0,0.0
34,0.0,0.0
35,0.0,0.0
37,0.0,0.0
38,0.0,0.0
42,0.0,0.0
44,0.0,0.0
45,0.0,0.0
46,0.0,0.0
47,0.0,0.0
48,0.0,0.0
49,0.0,0.0
50,0.0,0.0
52,0.0,0.0
53,0.0,0.0
54,0.0,0.0
62,0.0,0.0
65,0.0,0.0
67,0.0,0.0
72,0.0,0.0
74,0.0,0.0
80,0.0,0.0
95,0.0,0.0
99,0.0,0.0
100,0.0,0.0
102,0.0,0.0
103,0.0,0.0
104,0.0,0.0
105,0.0,0.0
107,0.0,0.0
109,0.0,0.0
110,0.0,0.0
111,0.0,0.0
112,0.0,0.0
113,0.0,0.0
114,0.0,0.0
115,0.0,0.0
116,0.0,0.0
121,0.0,0.0
122,0.0,0.0
127,0.0,0.0
128,0.0,0.0
131,0.0,0.0
132,0.0,0.0
137,0.0,0.0
138,0.0,0.0
141,0.0,0.0
143,0.0,0.0
144,0.0,0.0
145,0.0,0.0
150,0.0,0.0
153,0.0,0.0
154,0.0,0.0
164,0.0,0.0
169,0.0,0.0
172,0.0,0.0
173,0.0,0.0
174,0.0,0.0
176,0.0,0.0
177,0.0,0.0
178,0.0,0.0
180,0.0,0.0
181,0.0,0.0
183,0.0,0.0
187,0.0,0.0
192,0.0,0.0
193,0.0,0.0
194,0.0,0.0
