recall_id,chars,average,text
68,0,0.5242,
44,0,0.5256,
85,0,0.5381,
31,0,0.4849,
76,0,0.6206,
38,0,0.5616,
32,0,0.4964,
47,0,0.4793,
86,0,0.5182,
71,0,0.5249,
35,0,0.5473,
81,0,0.4813,
69,0,0.5731,
63,0,0.6099,
16,0,0.4808,
93,0,0.4899,
52,0,0.5505,
99,0,0.5302,
58,0,0.4801,
1,0,0.5547,
75,0,0.5179,
49,0,0.5199,
36,0,0.4897,
82,0,0.5167,
41,0,0.5611,
70,0,0.5565,
33,0,0.5065,
46,0,0.5825,
39,0,0.5049,
77,0,0.5633,
84,0,0.5215,
45,0,0.582,
30,0,0.4824,
64,0,0.5598,
74,0,0.4856,
48,0,0.4984,
83,0,0.5449,
42,0,0.4774,
37,0,0.5173,
73,0,0.4774,
79,0,0.5421,
78,0,0.5142,
72,0,0.5436,
43,0,0.6016,
89,0,0.477,
80,0,0.5107,
11,0,0.4943,
94,0,0.6458,
22,0,0.549,
4,0,0.4758,
28,0,0.5504,
19,0,0.5679,
13,0,0.5423,
66,0,0.5809,
7,0,0.4774,
21,0,0.5357,
54,0,0.5358,
95,0,0.4893,
65,0,0.4775,
10,0,0.5394,
59,0,0.4836,
98,0,0.5217,
0,0,0.5204,
26,0,0.4978,
53,0,0.5467,
92,0,0.5042,
62,0,0.4831,
96,0,0.5903,
57,0,0.5814,
61,0,0.4916,
14,0,0.5538,
55,0,0.4964,
6,0,0.5561,
67,0,0.567,
18,0,0.484,
29,0,0.5693,
5,0,0.5084,
97,0,0.5326,
56,0,0.4979,
23,0,0.55,
20,0,0.4824,
15,0,0.527,
60,0,0.5175,
90,0,0.5635,
51,0,0.481,
24,0,0.5784,
8,0,0.5013,
50,0,0.5161,
91,0,0.4919,
9,0,0.5964,
3,0,0.5054,
101,0,0.5089,
34,0,0.5751,
