recall_id,summary_name,mbits,recall_length,summary_length
68,summary_gpt4o_71_1,97.60087155351584,1330,2913
68,summary_gpt4o_12_1,49.237967238048014,1330,606
68,summary_gpt4o_63_1,103.56233125607696,1330,2403
68,summary_gpt4o_100_1,129.3071924445062,1330,2915
68,summary_gpt4o_28_1,97.88051302246902,1330,1243
68,summary_gpt4o_55_1,81.82057990386602,1330,2756
68,summary_gpt4o_36_1,133.79878917525298,1330,1547
68,summary_gpt4o_47_1,142.977334022881,1330,2011
68,summary_gpt4o_24_1,102.48933363270804,1330,1052
68,summary_gpt4o_59_1,80.38016299610626,1330,2094
68,summary_gpt4o_90_1,112.80136112862192,1330,2408
68,summary_gpt4o_190_1,93.6960241058498,1330,3049
68,summary_gpt4o_182_1,107.0826213625296,1330,6567
68,summary_gpt4o_82_1,112.1567859919378,1330,3090
68,summary_gpt4o_5_1,39.925710333999945,1330,347
68,summary_gpt4o_9_1,47.98026210467003,1330,555
68,summary_gpt4o_180_1,119.46005366401003,1330,3334
68,summary_gpt4o_80_1,84.21061522764012,1330,3176
68,summary_gpt4o_192_1,125.53012354926204,1330,2631
68,summary_gpt4o_7_1,21.150690391525018,1330,382
68,summary_gpt4o_61_1,150.46728117755674,1330,2542
68,summary_gpt4o_110_1,66.61047712888467,1330,3495
68,summary_gpt4o_10_1,26.21552546210296,1330,562
68,summary_gpt4o_73_1,99.13542645790812,1330,2434
68,summary_gpt4o_26_1,145.20353740127268,1330,1288
68,summary_gpt4o_38_1,104.81565671104512,1330,1437
68,summary_gpt4o_45_1,77.37391666010512,1330,1886
68,summary_gpt4o_34_1,92.1110874091629,1330,1458
68,summary_gpt4o_49_1,83.89085406777986,1330,2063
68,summary_gpt4o_57_1,119.07256734213864,1330,2195
68,summary_gpt4o_3_1,21.4922720288,1330,222
68,summary_gpt4o_184_1,102.73583598741196,1330,3004
68,summary_gpt4o_84_1,80.1098398528568,1330,3636
68,summary_gpt4o_130_1,76.76600177713863,1330,5111
68,summary_gpt4o_30_1,76.62679922873474,1330,1313
68,summary_gpt4o_53_1,130.647244732412,1330,2059
68,summary_gpt4o_22_1,115.14896011417795,1330,1264
68,summary_gpt4o_41_1,95.91027615580902,1330,2233
68,summary_gpt4o_69_1,101.24343850977608,1330,2969
68,summary_gpt4o_14_1,74.22634955154996,1330,674
68,summary_gpt4o_77_1,102.99884567459094,1330,2412
68,summary_gpt4o_65_1,94.2832988013622,1330,2026
68,summary_gpt4o_18_1,59.82091174410005,1330,768
68,summary_gpt4o_43_1,134.85217462456694,1330,2308
68,summary_gpt4o_20_1,63.67201341069199,1330,694
68,summary_gpt4o_120_1,122.39737441403736,1330,3707
68,summary_gpt4o_51_1,93.13421482386616,1330,2140
68,summary_gpt4o_32_1,95.29803806595989,1330,1291
68,summary_gpt4o_67_1,106.27791093724908,1330,2589
68,summary_gpt4o_79_1,132.0042721978905,1330,3494
68,summary_gpt4o_75_1,139.04659368592024,1330,3110
68,summary_gpt4o_16_1,58.15886788270609,1330,889
68,summary_gpt4o_186_1,39.57093158545649,1330,8438
68,summary_gpt4o_86_1,140.12090993874085,1330,3016
68,summary_gpt4o_194_1,80.39840739409237,1330,5161
68,summary_gpt4o_4_1,25.51550852383002,1330,330
68,summary_gpt4o_8_1,48.16003136942504,1330,617
68,summary_gpt4o_191_1,85.74047932802478,1330,7015
68,summary_gpt4o_183_1,120.61399083031392,1330,3384
68,summary_gpt4o_83_1,123.55474820566474,1330,2641
68,summary_gpt4o_37_1,71.91578511545379,1330,2012
68,summary_gpt4o_54_1,99.68248893042256,1330,2625
68,summary_gpt4o_29_1,108.4457506840701,1330,1192
68,summary_gpt4o_58_1,116.16345491476386,1330,2431
68,summary_gpt4o_25_1,69.57911291007485,1330,1170
68,summary_gpt4o_46_1,127.76167386982809,1330,1962
68,summary_gpt4o_13_1,70.44425421229101,1330,833
68,summary_gpt4o_70_1,135.58102131930855,1330,2792
68,summary_gpt4o_170_1,99.6628339693666,1330,4716
68,summary_gpt4o_62_1,95.57266268024136,1330,1947
68,summary_gpt4o_44_1,105.72458668566514,1330,1696
68,summary_gpt4o_39_1,100.6387128333156,1330,2048
68,summary_gpt4o_27_1,103.83170207407296,1330,1517
68,summary_gpt4o_56_1,91.18042131246784,1330,2221
68,summary_gpt4o_48_1,115.30157676674662,1330,2356
68,summary_gpt4o_35_1,124.86874818121498,1330,1337
