recall_id,clause_id,clause_text,rephrased_text
0,1,"My daughter died,","My child passed away,"
0,2,twenty-eight years ago.,it was twenty-eight years back.
0,3,"I remember when she was at the hospital,","I recall her time in the hospital,"
0,4,they were moving everyone out of their beds.,where they were clearing the beds of patients.
0,5,They tried to move her.,They attempted to relocate her.
0,6,I told them not to move her from her bed,"I insisted they shouldn't shift her from her bed,"
0,7,because she was under ether.,since she was under the influence of anesthesia.
0,8,I told them that Marie was under ether,"I warned them about Marie being anesthetized,"
0,9,and not to move her.,urging them not to transfer her.
0,10,"They tried to move her anyway,","Nevertheless, they proceeded to attempt moving her,"
0,11,"and when they did,","and as they did so,"
0,12,she collapsed.,she fell to the ground.
0,13,She probably got a blood clot from it,"It's likely she developed a blood clot from that action,"
0,14,because they were talking about what could've caused it.,given they speculated about the potential causes.
0,15,"I still remember that day,","That day remains etched in my memory,"
0,16,I was at home,"while I was at my residence,"
0,17,and they called me to say that Marie was being discharged from the hospital.,receiving a call informing me of Marie's imminent release from medical care.
0,18,I had all the clothes laid out on the table.,I had prepared all her garments on the tabletop.
0,19,My husband was at work.,My spouse was occupied at his job.
0,20,I went there,"I made my way there,"
0,21,and I was praying for this woman who had a gall bladder operation.,offering prayers for a lady who had undergone gallbladder surgery.
0,22,I was praying to God,I beseeched the Almighty
0,23,to not take away this mother from her daughters.,not to deprive this mother of her children.
0,24,I saw a nurse running,"Observing a nurse in haste,"
0,25,and she came and asked me something.,she approached and inquired something of me.
0,26,"I asked her if she was running for my daughter,","I questioned whether she was hastening on account of my child,"
0,27,"and she said yes, come in.","to which she responded affirmatively, beckoning me inside."
0,28,I went in,"Entering,"
0,29,and saw my daughter sweating.,I beheld my daughter drenched in perspiration.
0,30,The beads of sweat were huge.,The sweat droplets were enormous.
0,31,"I started screaming ""You killed her, You killed my daughter!""","I began to shriek, ""You have slain her, you have slain my child!"""
0,32,A lady doctor Ms. Montique who was an assistant to the doctor,"Dr. Montique, an associate of the surgeon,"
0,33,who performed the surgery came to speak to me.,approached to converse with me.
0,34,"I screamed very loudly,","I yelled out with great volume,"
0,35,they wanted to inject me with something.,and they sought to administer an injection to me.
0,36,"I told them ""You killed my daughter and now you want to kill me.""","I protested, ""You've taken my child's life, now you aim to take mine."""
0,37,The receptionist kept calling my home,The front desk persistently phoned my residence
0,38,to tell us to come and pick up Marie since she was discharged.,to prompt us to collect Marie since she was ready for discharge.
0,39,My daughter told them that I had already left for the hospital.,My child informed them I had already departed for the medical facility.
0,40,They all came quickly because they were worried about me.,"Concerned for my well-being, they all arrived swiftly."
0,41,They took me back home.,They escorted me back to my abode.
0,42,"I started screaming when we reached home,","Upon arriving home, I began to wail,"
0,43,I was still in the car.,still seated in the automobile.
0,44,People were coming out of their homes,Neighbors emerged from their dwellings
0,45,to check what was going on.,to investigate the commotion.
0,46,"I kept screaming ""They killed her!"".","I continued to cry out, ""They have taken her life!"""
0,47,"My husband was sitting on the porch,","My spouse was perched on the veranda,"
0,48,and he asked me what was going on.,inquiring about the situation.
0,49,"I told him ""Marie is dead, they killed her.""","I informed him, ""Marie has perished, they are to blame."""
0,50,"I showed them pictures of my daughter,","I presented them with photographs of my girl,"
0,51,she was only eighteen.,who was merely eighteen years old.
0,52,"When her sister and my husband found out,","Upon hearing the news, her sister and my husband"
0,53,they collapsed.,were overcome with grief.
0,54,I told my youngest son,I instructed my youngest son
0,55,to go and tell my sisters Auntie Jenny and Auntie Millie what had happened.,"to inform my siblings, Auntie Jenny and Auntie Millie, of the tragedy."
0,56,"When he went to tell them what had happened,","As he relayed the news,"
0,57,they thought he was coming to tell them that Marie had come back home,"they assumed he was announcing Marie's return home,"
0,58,"but when they found out,","but upon learning the truth,"
0,59,they were shocked.,they were taken aback.
0,60,"My sister brought an orange earlier,","Earlier, my sister had brought a large orange,"
0,61,"a big orange,","an exceptionally sizable one,"
0,62,nothing like I had ever seen before.,unlike any I had seen before.
0,63,"The local store owner praised Marie a lot,","The proprietor of the local shop spoke highly of Marie,"
0,64,she said that Marie would always come to the store,mentioning how she would frequently visit the store
0,65,"and stand there,","and pause there,"
0,66,pointing at the steps.,gesturing towards the steps.
0,67,"""She would always stand there and look over"",","""She'd always pause there, gazing out,"""
0,68,"She was a quiet girl,","She was a reserved child,"
0,69,not much to talk.,not one for much conversation.
0,70,"She was a good girl,","She was a virtuous child,"
0,71,Marie.,that was Marie.
0,72,- So that's what happened.,"- And so, that is the tale."
1,1,The story was about a mother's reaction,The narrative centered on a maternal response
1,2,to the unexpected death,to her daughter's unforeseen demise
1,3,of her daughter Marie.,involving her child Marie.
1,4,She passed suddenly,Her departure was abrupt
1,5,from a blood clot,due to a thrombus
1,6,in her leg.,within her limb.
1,7,The mother had a breakdown,The matriarch experienced a collapse
1,8,"in the hospital,","within the medical facility,"
1,9,when she got home,and upon returning home
1,10,she told her husband and son,she informed her spouse and offspring
1,11,about the sudden passing,of the abrupt loss
1,12,and they both suffered heart attacks.,which led both to experience cardiac arrests.
1,13,The story continues,The tale progresses
1,14,with her family making preparations,as her kin arrange
1,15,for her daughter's funeral...,for the burial of her daughter...
3,1,My daughter died twenty-eight years ago.,My child passed away twenty-eight years prior.
3,2,It was the thirteenth of the month.,That day fell on the thirteenth.
3,3,She was operated on for appendicitis.,She underwent surgery for an appendectomy.
3,4,"The next morning, her older sister went to see her in the hospital.",Her elder sister visited her in the medical facility the following day.
3,5,She was still under ether.,She remained under the influence of ether.
3,6,They used a lot of ether for the operation.,A substantial amount of ether was utilized during her surgery.
3,7,There was a chair in the room.,A single chair stood within the chamber.
3,8,They just started getting people out of bed.,They had just begun to help patients out of their beds.
3,9,She asked the nurses.,She inquired with the nursing staff.
3,10,"It was the doctor's order, they replied.",They attributed it to the physician's directive.
3,11,They got her out of bed.,They assisted her in getting out of bed.
3,12,She suffered a blood clot.,She experienced a thrombosis.
3,13,She was put back to bed again.,She was returned to her bed once more.
3,14,They called us from the hospital.,The hospital reached out to us.
3,15,They called on a phone in a nearby store.,They made the call from a phone at a store close by.
3,16,We were informed about her discharge.,We received notification of her imminent release.
3,17,Rita was cooking.,Rita was in the midst of cooking.
3,18,She will finish the cooking.,She intended to complete the meal preparation.
3,19,Her dad is preparing upstairs.,Her father was getting ready upstairs.
3,20,He said to prepare coffee for her.,He instructed to brew coffee for her.
3,21,He said to get a cake.,He suggested acquiring a pastry.
3,22,I went to the hospital with her clothes.,I proceeded to the medical center with her attire.
3,23,She saw me coming into the hospital through her window.,She glimpsed my arrival at the hospital from her pane.
3,24,She was walking.,She was ambulating.
3,25,She fainted again.,She lost consciousness once more.
3,26,The nurses were running.,The medical nurses hastened.
